Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Executive Engineer,"O/O Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,DD - Demand Draft,Periodical maintenance of Ahju Kaflaun road km (VR-040) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),"Providing and laying built up spray grout, 25mm thick bituminous concrete in Km.0/0 to 2/0",As per bid documents ,NA ,"12,76,999",Civil Works - Roads,NA ,Tender,90.0,90.0,Ajhu,175015.0,NA ,NA ,NA ,Joginder Nagar,No ,No,"25,600",No,fixed,,EE Joginder Nagar,B and R Division HP.PWD. Joginder Nagar,PWD,PW-JND-B and R-EA-I-NIT- 2401-2500 dt. 04.05.2018,2018_PWD_21176_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,16-May-2018 01:00 PM,06-Jun-2018 11:30 AM,16-May-2018 01:00 PM,05-Jun-2018 05:00 PM,NA ,NA ,16-May-2018 01:00 PM,05-Jun-2018 05:00 PM,07-Jun-2018 04:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule F),500.0,EE Joginder Nagar,B and R Division HP.PWD. Joignder Nagar,No,AOC,Er BM Thakur,Internal,AE Lad Bharol Supdt. D.Man,Bhag Mal Thakur,07-Jun-2018 12:34 PM,07-Jun-2018 04:00 PM,techsummary_29906.pdf (303.01 KB),PWD,2018_PWD_21176_1,PW-JND-B and R-EA-I-NIT- 2401-2500 dt. 04.05.2018,Periodical maintenance of Ahju Kaflaun road km (VR-040) (other than PMGSY road) under Annual Maintenance plan for the year 2018-19 (Additional),16-Apr-2019,"INR 1,658,941",90.0,Bhag Mal Thakur,16-Apr-2019 03:18 PM,AOC176.pdf (434.00 KB),AOC,Er. B.M.Thakur,Internal,AE Lad Bharol Sr.DAO Supdt. HDM,Bhag Mal Thakur,09-Apr-2019 12:36 PM,finsummary_29906.pdf (323.96 KB),Finance,fbosummary,Bhag Mal Thakur,11-Jun-2018 12:23 PM,finance_29906.pdf,BOQ Comparative Chart,1.0,85686.0,G.P.ACHARYA,INR,"1,658,941",1.0,85686.0,G.P.ACHARYA,05-Jun-2018 03:17 PM,Accepted-AOC,AOC,16-Apr-2019 03:18 PM,Technical,summary,Bhag Mal Thakur,07-Jun-2018 12:28 PM,technical_29906.pdf,AOC
,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule F),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,85667.0,P. L. SHARMA,05-Jun-2018 09:57 AM,Rejected-Finance,L-2,09-Apr-2019 12:36 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.23),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rule No.21),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF (Employees Provident Funds Organization),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done and work in hand certificate(Gen.Rule No.19)Mini amount of work done as per Schedule-F,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of machineries, Tool, Plants (Indicated in Schedule F)",,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rule No.26.7),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
