S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Instrument Type,Tender Stage
1.0,97274.0,ANSHUL DHIMAN,INR,"1,131,676",Finance,Financial Bid of the said work open on 2.11.2018 successfully.,Sanjiv Kumar,27-Apr-2019 01:03 PM,finance_33086.pdf,BOQ Comparative Chart,Technical,Two bidders participated in this work and found responsive. Hence tender recommended by committee to open financial bid.,Sanjiv Kumar,29-Oct-2018 06:03 PM,technical_33086.pdf,1.0,97274.0,ANSHUL DHIMAN,10-Oct-2018 03:09 PM,Accepted-AOC,Lower Side,27-Apr-2019 01:06 PM,27-Apr-2019,"INR 788,580",90.0,Sanjiv Kumar,27-Apr-2019 01:06 PM,Awardchaluhi.pdf (245.00 KB),Financial Bid of the said work open successfully on 2.11.2018 and work awarded to Sh. Anshul Dhiman R/O Sakri,Er SK Sood,Internal,"Sr. D.A.O, Head Draughtsman, Assistant Engineer Baijnath, Superintendent GII, Executive Engineer",Sanjiv Kumar,27-Apr-2019 01:05 PM,finsummary_33086.pdf (181.98 KB),Er. S.K. Sood,Internal,Sh. Rajinder Chaudhary SR DAO Sh Ravi Rana DM Sh Ajeet Kumar Supdt GII Er Vaneet Sharma AE Baijnath,Sanjiv Kumar,29-Oct-2018 06:04 PM,02-Nov-2018 11:00 AM,techsummary_33086.pdf (756.01 KB),PWD,2018_PWD_23664_1,PWD-BD-NIT-2018-19/8212-40,C/O Link Road to Village Chaluhi km 0/00 to 1/600,AOC,Executive Engineer HPPWD Division Baijnath,Executive Engineer HPPWD Division Baijnath,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form as Indicated Schedule F.,PWD,PWD-BD-NIT-2018-19/8212-40,2018_PWD_23664_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,20-Sep-2018 02:00 PM,12-Oct-2018 11:00 AM,20-Sep-2018 02:00 PM,12-Oct-2018 10:30 AM,NA ,NA ,20-Sep-2018 02:00 PM,12-Oct-2018 10:30 AM,02-Nov-2018 11:00 AM,C/O Link Road to Village Chaluhi km 0/00 to 1/600,"P/L CC Pavement and C/O hill side Berm 1-3-6 in km 0/127 to 0/139, 0/300 to 0/360, 0/900 to 0/960, 1/200 to 1/238, 1/333 to 1/353, and 1/356 to 1/370) Edge wall 0/269 to 0/500, 0/586 to 0/690 left and U- Shape drain Km 0/425 to 0/490 R/ Side",Please refer Tender documents. ,NA ,"7,88,580",Civil Works - Roads,NA ,Tender,90.0,90.0,Chalui,176125.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Baijnath,No ,No,350.0,Executive Engineer HPPWD Division Baijnath,Baijnath,No,1.0,Bid release and open date change,Other,,"15,800",No,fixed,,Executive Engineer HPPWD Division Baijnath,Baijnath,1.0,DD - Demand Draft,AOC
,,,,,,,,,,,,,,,,2.0,97443.0,KAPIL CHAND,10-Oct-2018 04:35 PM,Rejected-Finance,Higher Side,27-Apr-2019 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Cost of Earnest Money as Indicated Schedule F.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,GST Registration and PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Machinery tool with proof i.c hiring of machinery affidavit required,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit of Both Gazatted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Undertaking that no arbitration / litigation with PWD in pending in any court of law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit furnished that contractor has not more than two work in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit information furnished with the bid Name of work is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
