S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,EEHPPWD Gohar,"Executive Engineer, Gohar Divisionk HP.PWD.Gohar.",Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0 SH Providing and laying Bituminious concrete 25 mm thick in single layer in km 4/0 to 6/0,SH Providing and laying Bituminious concrete 25 mm thick in single layer in km 4/0 to 6/0,Please refer Tender documents. ,NA ,"15,82,339",Civil Works,NA ,Rate Contract,120.0,60.0,Gohar,175029.0,NA ,NA ,NA ,EEHP.PWD.Gohar,No ,No,500.0,Gohar,Gohar,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,"31,300",Yes,fixed,,EEGohar,Gohar,PWD,18500-25 dt. 15.1.2018,2019_PWD_26371_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,30-Jan-2019 05:00 PM,15-Feb-2019 11:30 AM,30-Jan-2019 05:00 PM,14-Feb-2019 05:00 PM,NA ,NA ,30-Jan-2019 05:30 PM,14-Feb-2019 05:00 PM,22-Feb-2019 11:00 AM,AOC,PWD,2019_PWD_26371_1,18500-25 dt. 15.1.2018,Periodical Maintenance of Kot Devidarh road km. 0/0 to 19/0 SH Providing and laying Bituminious concrete 25 mm thick in single layer in km 4/0 to 6/0,EERamesh Singh,Internal,"Chaman lal AE, Rattan Lal Supdt.Bhagat Ram HDM",Ramesh Singh,21-Feb-2019 03:24 PM,22-Feb-2019 11:00 AM,techsummary_37318.pdf (372.37 KB),EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 01:14 PM,finsummary_37318.pdf (271.19 KB),18-Apr-2019,"INR 1,582,339",30.0,Ramesh Singh,18-Apr-2019 10:34 AM,1.pdf (385.00 KB),AOC,Finance,Financial Summary,Ramesh Singh,12-Apr-2019 01:12 PM,finance_37318.pdf,BOQ Comparative Chart,1.0,112608.0,A.A. ENTREPRENEURS,INR,"2,127,341.25",1.0,112608.0,A.A. ENTREPRENEURS,13-Feb-2019 07:44 PM,Accepted-AOC,Lowest,18-Apr-2019 10:34 AM,Technical,Technical Summery,Ramesh Singh,21-Feb-2019 02:55 PM,technical_37318.pdf,AOC
2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,112632.0,S.A ASSOCIATE,13-Feb-2019 09:50 PM,Rejected-AOC,second lowest,18-Apr-2019 10:34 AM,,,,,,AOC
3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
5.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40prcenRule No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
