Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er.Umesh Sharma,Internal,Supdt Gr II HDM and DA,Manoj Kumar Sehgal,24-Apr-2019 11:20 AM,finsummary_29678.pdf (722.65 KB),24-Apr-2019,"INR 666,420",90.0,Manoj Kumar Sehgal,24-Apr-2019 02:47 PM,Sanawagi.pdf (241.00 KB),AOC,PWD,2018_PWD_20993_1,PW-KMS-AB-NIT/2018-554-55 dt.20.4.2018,Construction of link road to village Snawagi Km 0/000 to 5/000SH Formation cutting 5/7 mtr wide road Km 2/720 to 3/450,Er.Umesh Sharma,Internal,"HDM, Supdt Gr-II, Sr.Assistant",Umesh Sharma,23-May-2018 03:27 PM,23-May-2018 03:30 PM,techsummary_29678.pdf (722.48 KB),Technical,Bid Openeing summary,Umesh Sharma,22-May-2018 12:22 PM,technical_29678.pdf,1.0,84606.0,DALIP SINGH GOVT CONTRACTOR,19-May-2018 05:57 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,1.0,84575.0,PARVIR SAIN,INR,"666,420",Finance,Technical bid evaluiation summary,Atul Gazta,23-May-2018 03:52 PM,finance_29678.pdf,BOQ Comparative Chart,AOC,500.0,EE Kumarsain,Kumarsain,No,1.0,DD - Demand Draft,PWD,PW-KMS-AB-NIT/2018-554-55 dt.20.4.2018,2018_PWD_20993_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (indicated in Schedule F),Executive Engineer,KUmarsain Division HPPWD Kumarsain,"21,300",No,fixed,,EE Kumarsain,Kumarsain,05-May-2018 05:00 PM,21-May-2018 11:00 AM,05-May-2018 05:30 PM,19-May-2018 06:00 PM,NA ,NA ,05-May-2018 05:30 PM,19-May-2018 06:00 PM,23-May-2018 03:30 PM,Construction of link road to village Snawagi Km 0/000 to 5/000SH Formation cutting 5/7 mtr wide road Km 2/720 to 3/450,Construction of link road to village Snawagi Km 0/000 to 5/000SH Formation cutting 5/7 mtr wide road Km 2/720 to 3/450,Please refer Tender documents. ,NA ,"10,64,324",Civil Works,NA ,Tender,90.0,90.0,Kumarsain,172029.0,NA ,NA ,NA ,Kumarsain,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,84599.0,Dev Raj Verma,19-May-2018 03:25 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,.pdf,Earnest Money Deposit (indicated in Schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,84607.0,DHEERAJ PARMAR,19-May-2018 04:46 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rule No 23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,84357.0,JIA LAL,16-May-2018 04:13 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,G.S.T Registration Number (Refer General Rule No 21),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,84610.0,parveen,19-May-2018 05:55 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number (PAN),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,84575.0,PARVIR SAIN,19-May-2018 05:33 PM,Accepted-AOC,AOC,24-Apr-2019 02:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration Number Refer General Rule 25-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,84592.0,SURENDER CHAUHAN,19-May-2018 03:45 PM,Rejected-Finance,Reject,24-Apr-2019 11:20 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done Certificate of similar nature (Refer General Rule No 19),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tool, Plant along with documentary proof of ownership (Refer Schedule F with ref",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 8 (Refer General Rule No 26.7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
