Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage
Er VK Aggarwal,Internal,TA Supttd DHD DAO AE Dhaulakuan,Vijay Kumar Aggarwal,12-Feb-2019 02:21 PM,12-Feb-2019 03:00 PM,techsummary_36511.pdf (1294.67 KB),Technical,Summary,Vijay Kumar Aggarwal,12-Feb-2019 01:29 PM,technical_36511.pdf,1.0,109631.0,KULDEEP SINGH,29-Jan-2019 05:13 PM,Rejected-Technical,Non responsive,12-Feb-2019 02:21 PM,Finance,Summary,Vijay Kumar Aggarwal,01-Apr-2019 12:03 PM,finance_36511.pdf,BOQ Comparative Chart,Er VK Aggarwal,Internal,TA Supttd DHD DAO AE,Vijay Kumar Aggarwal,01-Apr-2019 12:49 PM,finsummary_36511.pdf (19.54 KB),PWD,2019_PWD_25940_13,NIT No. 12456 - 95 dated 01.01.2019,Ordinary repair to Paonta Rajban Shillai Meenus Hatkoti road NH 72B (New NH 707) Km 0/0 to 161/715 (SH Repair of Pot holes between Km 0/0 to 46/0),01-Apr-2019,"INR 523,878",90.0,Vijay Kumar Aggarwal,01-Apr-2019 02:22 PM,award0_0to46_0.PDF (744.00 KB),Award,1.0,109766.0,SATISH KUMAR,INR,"690,525",AOC,Ordinary repair to Paonta Rajban Shillai Meenus Hatkoti road NH 72B (New NH 707) Km 0/0 to 161/715 (SH Repair of Pot holes between Km 0/0 to 46/0),Ordinary repair to Paonta Rajban Shillai Meenus Hatkoti road NH 72B (New NH 707) Km 0/0 to 161/715 (SH Repair of Pot holes between Km 0/0 to 46/0),refer tender document ,NA ,"5,23,878",Civil Works - Roads,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,PWD,NIT No. 12456 - 95 dated 01.01.2019,2019_PWD_25940_13,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,DD - Demand Draft,350.0,EE NH Division HPPWD Nahan,Nahan,No,15-Jan-2019 05:00 PM,30-Jan-2019 11:30 AM,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,NA ,NA ,15-Jan-2019 05:30 PM,30-Jan-2019 10:30 AM,12-Feb-2019 03:00 PM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form(Indicated in schedule F),Executive Engineer,Executive Engineer NH Division HPPWD Nahan,"10,500",No,fixed,,EE NH Division HPPWD Nahan,Nahan,AOC
,,,,,,,,,,,,2.0,109712.0,NASEEM AHMED,29-Jan-2019 08:42 PM,Rejected-Technical,Non responsive,12-Feb-2019 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BG - Bank Guarantee,,,,,,,,,,,,,,,,.pdf,Earnest Money(Indicate in Schedule F),,,,,,,,,AOC
,,,,,,,,,,,,3.0,109766.0,SATISH KUMAR,29-Jan-2019 11:18 PM,Accepted-AOC,First lowest,01-Apr-2019 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,.pdf,Contractors registration(Refer General Rule NO.23),,,,,,,,,AOC
,,,,,,,,,,,,4.0,109774.0,SHUPA RAM,30-Jan-2019 12:11 AM,Rejected-AOC,2nd lowest,01-Apr-2019 02:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,AOC
,,,,,,,,,,,,5.0,109769.0,Surya dev singh,30-Jan-2019 08:36 AM,Rejected-Technical,Non responsive,12-Feb-2019 02:21 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools, Plant(Refer Schedule F with reference to clause 18)",,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.8(Refer General Rule No.26.7),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand(Refer General Rule 28),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any additional information bidder likes to provide mentioned in Schdule D),,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Labour license and EPF allotment numbers,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of quantity,,,,,,,,,AOC
