Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,S.No,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
EE Ramesh Singh,Internal,Kehar Singh Supdt. Bhagat Ram HDM,Ramesh Singh,12-Apr-2019 12:50 PM,finsummary_37997.pdf (277.51 KB),18-Apr-2019,"INR 1,934,354",30.0,Ramesh Singh,18-Apr-2019 01:06 PM,7.pdf (374.00 KB),AOC,PWD,2019_PWD_26741_1,19777-96,Periodical Maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.9/0 to 11/0,EE Ramesh Singh,Internal,"Chaman Lal AE, Rattan Lal Supdt. Bhagat Ram HDM.",Ramesh Singh,26-Feb-2019 12:41 PM,26-Feb-2019 02:00 PM,techsummary_37997.pdf (387.33 KB),Technical,Technical Summery,Ramesh Singh,26-Feb-2019 12:06 PM,technical_37997.pdf,1.0,113450.0,A.A. ENTREPRENEURS,20-Feb-2019 12:08 PM,Rejected-AOC,2nd.Lowest,18-Apr-2019 01:06 PM,Finance,Financial Summary,Ramesh Singh,12-Apr-2019 12:47 PM,finance_37997.pdf,BOQ Comparative Chart,1.0,111822.0,Rajesh Thakur,INR,"2,327,763",AOC,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Periodical Maintenance on Chail Gohar Pandoh road km.0/0 to 24/0 SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.9/0 to 11/0,SH Providing and Laying Bituminous Concrete 30 mm thick in Single layer in km.9/0 to 11/0,Please refer Tender documents. ,NA ,"19,34,354",Civil Works,NA ,Rate Contract,90.0,60.0,Gohar,175029.0,NA ,NA ,NA ,Gohar,No ,No,500.0,EE Gohar,Gohar,Yes,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule F,EEHPPWDGohar,"Executive Engineer, Gohar Division, HP.PWD.Gohar",06-Feb-2019 05:00 PM,21-Feb-2019 11:30 AM,06-Feb-2019 05:00 PM,20-Feb-2019 05:00 PM,NA ,NA ,06-Feb-2019 05:30 PM,20-Feb-2019 05:00 PM,26-Feb-2019 02:00 PM,1.0,DD - Demand Draft,"36,600",Yes,fixed,,EE Gohar,Gohar,PWD,19777-96,2019_PWD_26741_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,111822.0,Rajesh Thakur,10-Feb-2019 03:50 PM,Accepted-AOC,Lowest,18-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,2.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule F,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,113656.0,S.A ASSOCIATE,20-Feb-2019 02:52 PM,Rejected-AOC,3rd.Lowest,18-Apr-2019 01:06 PM,,,,,,,,,,,,AOC,3.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Permanent Account Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Work done condition Minimum one similar work done of amount not less than 40 percent Rule N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity as per general rules No. 28.2a and work done / in hand as per General Rule No. 19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant refer schedule F with reference to clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of technical Manpower,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of litigation case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
