Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,S.No,Instrument Type,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
03-Apr-2019,"INR 608,636",90.0,Ajay Kumar Sharma,03-Apr-2019 11:49 AM,aoc.pdf (791.00 KB),AOC,Er. Ajay Kumar Sharma,Internal,"Sh. Inder Singh Sr. Asstt., Sh. Saran Singh Supdt. Gr.II, Sh. Ram Gopal Gupta HDM",Ajay Kumar Sharma,03-Apr-2019 11:47 AM,finsummary_38941.pdf (323.23 KB),Er Ajay Sharma,Internal,Saran Singh Supdt Ram gopal gupta HDM Inder Singh SA,Dalip Singh Tomar,05-Mar-2019 12:49 PM,05-Mar-2019 01:00 PM,techsummary_38941.pdf (336.87 KB),PWD,2019_PWD_27333_1,CB/Tender/2018-19-13040-13090 dt 11.01.2019,Restoration of rain damages to link road to village Melion Km 0/0 to 1/0 SH Providing laying and rolling of open-graded premix carpet 20 mm thick in km 0/0 to 1/0.,Technical,Summary,Dalip Singh Tomar,05-Mar-2019 12:40 PM,technical_38941.pdf,1.0,115591.0,JAI MAA NAINA DEVI,26-Feb-2019 02:03 PM,Rejected-Technical,Not qualified,05-Mar-2019 12:49 PM,Finance,Summary,Ajay Kumar Sharma,03-Apr-2019 11:43 AM,finance_38941.pdf,BOQ Comparative Chart,1.0,116033.0,Randhir Singh,INR,"750,666",AOC,Executive Engineer PWD Paonta Sahib,Executive Engineer PWD Paonta Sahib,1.0,Fee/PreQual/Technical,.pdf,Scanned copy Cost of tender indicated in schedule F at sr No 6.3,1.0,DD - Demand Draft,"12,200",Yes,fixed,,EE Paonta Sahib,Paonta Sahib,14-Feb-2019 06:00 PM,28-Feb-2019 11:30 AM,14-Feb-2019 06:00 PM,27-Feb-2019 05:00 PM,NA ,NA ,14-Feb-2019 06:00 PM,27-Feb-2019 05:00 PM,05-Mar-2019 01:00 PM,PWD,CB/Tender/2018-19-13040-13090 dt 11.01.2019,2019_PWD_27333_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,350.0,EE Paonta Sahib,Paonta Sahib,Yes,Restoration of rain damages to link road to village Melion Km 0/0 to 1/0 SH Providing laying and rolling of open-graded premix carpet 20 mm thick in km 0/0 to 1/0.,Restoration of rain damages to link road to village Melion Km 0/0 to 1/0 SH Providing laying and rolling of open-graded premix carpet 20 mm thick in km 0/0 to 1/0.,As per tender document ,NA ,"6,08,636",Civil Works - Roads,NA ,Tender,90.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,EE Paonta Sahib,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,115427.0,Nazar Ali,25-Feb-2019 09:19 PM,Rejected-Finance,L2,03-Apr-2019 11:47 AM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy Earnest money indicated in schedule F at sr No 6.5,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,115368.0,RAMNIK THAKUR,25-Feb-2019 07:34 PM,Rejected-Finance,L3,03-Apr-2019 11:47 AM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy Contractor registrations refer general rule sr. No 23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,116033.0,Randhir Singh,27-Feb-2019 12:28 PM,Accepted-AOC,L1,03-Apr-2019 11:49 AM,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy List of machinery tools and plants as per schedule-F Sr. No.6.19 Refer clause No 18 alo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy of Employees Provident Fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy From No 8 duly signed gen. Rule Sr. No 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy undertaking regarding uploaded documents are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Scanned copy any other information bidders like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
