Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,S.No.2,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Stage
Finance,Bid Opening Summary,Kamal Singh Pal,10-Apr-2019 10:57 AM,finance_30143.pdf,BOQ Comparative Chart,1.0,85568.0,Lok Pal Rathour,INR,"5,417,498",Technical,Bid Opening Summary,Yogesh Sharma,22-Jun-2018 08:20 PM,technical_30143.pdf,1.0,Tender Revocation,Tender Revoke due some administrative reason,22-Jun-2018 07:58 PM,Corrigendum.pdf ,14.69,Technical Opening,1.0,85592.0,Khyali Ram,02-Jun-2018 01:46 PM,Rejected-Technical,Non Responsive,22-Jun-2018 08:32 PM,10-Apr-2019,"INR 5,417,498",90.0,Kamal Singh Pal,10-Apr-2019 11:00 AM,AOC-CHAJPUR.pdf (219.00 KB),AOC,Er. Kamal Singh Pal,Internal,,Kamal Singh Pal,10-Apr-2019 10:59 AM,finsummary_30143.pdf (19.60 KB),Er K S Pal,Internal,EE Suptt Accountant Tender Clerk DM,Yogesh Sharma,22-Jun-2018 08:32 PM,23-Jun-2018 10:00 AM,techsummary_30143.pdf (231.09 KB),PWD,2018_PWD_21341_3,PW.CHD.CB-E-9/2018 1519- 1619 DTY 14.05.18,M/T Throoch to Chhajpur road km. 0/0 to 3/0,AOC,"59,000",No,fixed,,EE Chopal,Chopal,"2,000",EE Chopal,Chopal,No,EE Chopal,HPPWD CHOPAL,1.0,DD - Demand Draft,PWD,PW.CHD.CB-E-9/2018 1519- 1619 DTY 14.05.18,2018_PWD_21341_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,28-May-2018 11:30 AM,06-Jun-2018 11:00 AM,28-May-2018 11:30 AM,02-Jun-2018 05:00 PM,NA ,NA ,28-May-2018 11:30 AM,02-Jun-2018 05:00 PM,23-Jun-2018 10:00 AM,M/T Throoch to Chhajpur road km. 0/0 to 3/0,SH M/T works between km 0/0 to 3/0 under MNP.,Please refer Tender documents. ,NA ,"29,94,569",Civil Works - Roads,NA ,Tender,120.0,90.0,Chopal,171211.0,NA ,NA ,NA ,Chopal,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,2.0,85568.0,Lok Pal Rathour,01-Jun-2018 07:12 PM,Accepted-AOC,L-1 BIDDER,10-Apr-2019 11:00 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money (Indicated In Schedule F),AOC
,,,,,,,,,,,,,,,,,,,,,,,3.0,85570.0,Uttej Rathour,01-Jun-2018 07:25 PM,Rejected-Finance,L-2,10-Apr-2019 10:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (Refer General Rules No 23),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration (General Rules No 21),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand As Per General Rule 19,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plant(Refer Schedule F With Reference To Clause 18)",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 (Refer General Rules No.26.7),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him (General Rule No 16),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Funds(Refer General Rule 25 A),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Other Important Documents As Specified By The State In Proforma Of Schedule,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC
