EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
"2,00,000",No,fixed,,"State Health Society, Assam",Guwahati,eTENDER FOR ENTERING INTO RATE CONTRACT cum SUPPLY and EMPANELLMENT of DRUGS,e-TENDER FOR ENTERING INTO RATE CONTRACT cum SUPPLY and EMPANELLMENT of DRUGS,Please refer Tender documents. ,NA ,"10,00,00,000",Medicines,NA ,Rate Contract,180.0,60.0,"O/o MD, NHM, Assam",781005.0,"O/o MD, NHM,Assam ","O/o MD, NHM,Assam ",21-May-2018 03:00 PM ,"O/o MD, NHM, Assam",No ,No,"2,000","State Health Society, Assam",Guwahati,No,1.0,DD - Demand Draft,National Health Mission||State Programme Management Unit - NHM,3644/17-18/3633,2018_NHM_7128_1,Yes,Open Tender,Item Rate,Goods,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,"Court Fee/IPO, Tender Fee, EMD, Technical Bid",09-May-2018 11:00 AM,29-May-2018 03:00 PM,15-May-2018 04:00 PM,29-May-2018 02:00 PM,NA ,NA ,25-May-2018 03:00 PM,29-May-2018 02:00 PM,22-Jun-2018 10:55 AM,"MD, NHM, Assam","O/o MD, NHM,Assam",1.0,Extension Notice 2,Date,,AOC,National Health Mission||State Programme Management Unit - NHM,2018_NHM_7128_1,3644/17-18/3633,eTENDER FOR ENTERING INTO RATE CONTRACT cum SUPPLY and EMPANELLMENT of DRUGS,1,36288,ABBOTT HEALTHCARE PVT. LTD.,29-May-2018 12:52 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid/BoQ,,,,,,,,,,,,,,,,AOC,,,,,2,36409,Alpa Laboratories Limited,29-May-2018 01:27 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,3,36307,ANGLIFESCIENCES INDIA PVT LTD,28-May-2018 12:14 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,4,36432,ANGLO FRENCH DRUGS AND INDUSTRIES LIMITED,29-May-2018 12:45 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,5,36443,ASTRA LIFECARE INDIA PVT. LTD.,29-May-2018 11:21 AM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,6,36352,Bal Pharma Ltd,29-May-2018 07:36 AM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,7,36286,BDRPHARMACEUTICALS INTERNATIONAL PVT. LTD,25-May-2018 08:49 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,8,36334,BHARAT PARENTERALS LTD.,28-May-2018 07:05 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,9,36284,BOCHEM HEALTHCARE PVT. LTD.,26-May-2018 04:05 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,10,36446,CIRON DRUGS AND PHARMACEUTICALS PVT LTD,29-May-2018 01:31 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,11,36408,DAFFODILLS PHARMACEUTICALS LTD,28-May-2018 03:00 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Jun-2018 10:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,12,36283,Eskag Pharma Pvt. Ltd.,25-May-2018 05:22 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Jun-2018 10:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,13,36419,EUROLIFE HEALTHCARE PVT LTD,29-May-2018 12:38 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Jun-2018 10:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,14,36384,Hindustan Laboratories,28-May-2018 06:07 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,15,36401,IND SWIFT LIMITED,28-May-2018 06:15 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,16,36322,Kniss Laboratories Pvt Ltd,29-May-2018 10:20 AM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,17,36355,MODERN LABORATORIES,27-May-2018 04:53 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,18,36305,Nestor Pharmaceuticals Ltd.,26-May-2018 02:00 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,19,36433,OM BIOMEDIC PVT. LTD.,29-May-2018 12:55 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,20,36422,SHAMSHREE LIFESCIENCES LIMITED,28-May-2018 06:52 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,21,36412,SYDLER REMEDIES PVT LTD,28-May-2018 07:01 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Jun-2018 10:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,22,36381,SYNCOM HEALTHCARE LIMITED,28-May-2018 12:48 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,23,36439,Terrace Pharmaceuticals Pvt Ltd,29-May-2018 01:07 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,22-Jun-2018 10:33 AM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,24,36321,Theon Pharmaceuiticals Limited,28-May-2018 06:57 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,25,36293,Troikaa Pharmaceuticals Limited,29-May-2018 11:24 AM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,26,36312,UNICURE INDIA LTD,26-May-2018 12:09 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,27,36424,VENUS REMEDIES LIMITED,28-May-2018 07:23 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,28,36430,"Vivek Pharmachem (India) Ltd.,",28-May-2018 11:37 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,29,36428,VIVIMED LABS LIMITED,29-May-2018 01:02 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,30,36285,Wings Biotech,28-May-2018 03:46 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,31,36326,YELURI FORMULATIONS PRIVATE LIMITED,29-May-2018 12:20 PM,Accepted-AOC,L1,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,32,36425,ZEST PHARMA,28-May-2018 07:54 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,33,36398,Zim Laboratories Limited,29-May-2018 12:04 PM,Accepted-AOC,L2,01-Jan-2019 03:35 PM,AOC
