EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"31,000",No,fixed,,Nil,Nil,26-Apr-2022 10:30 AM,02-May-2022 11:30 AM,26-Apr-2022 10:30 AM,02-May-2022 09:00 AM,NA ,NA ,26-Apr-2022 10:30 AM,02-May-2022 09:00 AM,12-May-2022 11:30 AM,PWD,PW-JND-B and R-EA-I-NIT- 2111-35 dt. 16-04-2022,2022_PWD_59905_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Special repair to Govt. Degree Collage Joginder Nagar Tehsil Joginder Nagar District Mandi (H.P.),"Painting and distempering work in Administrative Block, Arts block and entrance gate",As Per SBD ,NA ,"15,49,344",Civil Works - Buildings,NA ,Tender,90.0,90.0,Joginder Nagar,175015.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),500.0,Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",AOC,PWD,2022_PWD_59905_1,PW-JND-B and R-EA-I-NIT- 2111-35 dt. 16-04-2022,Special repair to Govt. Degree Collage Joginder Nagar Tehsil Joginder Nagar District Mandi (H.P.),Executive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,10-May-2022 03:30 PM,12-May-2022 11:30 AM,techsummary_90593.pdf (297.50 KB),Execuutive Engineer,Internal,"Assistant Engineer Joginder Nagar, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,28-May-2022 04:55 PM,finsummary_90593.pdf (221.40 KB),31-May-2022,"INR 1,192,809",90.0,Sanjiv Kumar,31-May-2022 01:40 PM,awardletter.pdf (303.00 KB),Work awarded to the lowest contractor L-I,1.0,279996.0,Ayush Thakur,30-Apr-2022 06:28 PM,Rejected-Finance,Rejected due to L-3,28-May-2022 04:56 PM,Technical,Technical Bid opening summary,Sanjiv Kumar,10-May-2022 03:20 PM,technical_90593.pdf,1.0,279989.0,Om Prakash,INR,"1,192,809",Finance,Financial Bid opening Summary,Sanjiv Kumar,28-May-2022 04:48 PM,finance_90593.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money (Indicated in Schedule E),,,,,2.0,ICICI NEFT/RTGS,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,280031.0,Deepak Kumar,01-May-2022 04:55 PM,Rejected-Finance,Rejected due to L-4,28-May-2022 04:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,280014.0,Gopal Singh,01-May-2022 10:21 AM,Rejected-Finance,Rejected due to L-2,28-May-2022 04:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,280047.0,MANDEEP CONTRACTOR,02-May-2022 08:45 AM,Rejected-Finance,Rejected due to L-5,28-May-2022 04:56 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,5.0,279989.0,Om Prakash,01-May-2022 05:32 PM,Accepted-AOC,L-I,31-May-2022 01:40 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
