Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,dshala269-300,2021_PWD_47150_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"Construction of Parking on Dharamshala Khaniyara Road in Tehsil Dharamshala , Distt. Kangra HP",SH - Widening of road and Construction of Breast wall,Please refer Tender documents. ,NA ,"21,75,986",Civil Works,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,1.0,ICICI BANK,"40,150",No,fixed,,Nil,Nil,05-May-2021 10:00 AM,19-May-2021 11:30 AM,05-May-2021 10:00 AM,19-May-2021 11:00 AM,NA ,NA ,05-May-2021 10:00 AM,19-May-2021 11:00 AM,02-Jun-2021 05:00 PM,1.0,Fee/PreQual/Technical,.pdf,Contractors registration,Executive Engineer,"Executive Engineer, HP PWD Dharamshala Division",500.0,Nil,Nil,No,AOC,1.0,212176.0,atul thakur,14-May-2021 11:25 AM,Rejected-Finance,Due to Higher bidder,08-Jun-2021 11:14 AM,Technical,As per document attached,Sushil Kumar Dhadwal,19-May-2021 12:50 PM,technical_70847.pdf,1.0,212189.0,M/s Chamunda Holo Blocks Industries,INR,"2,459,697",Finance,As per document attached,Tarlok Dhiman,02-Jun-2021 05:08 PM,finance_70847.pdf,BOQ Comparative Chart,PWD,2021_PWD_47150_2,dshala269-300,"Construction of Parking on Dharamshala Khaniyara Road in Tehsil Dharamshala , Distt. Kangra HP",Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,02-Jun-2021 04:57 PM,02-Jun-2021 05:00 PM,techsummary_70847.pdf (210.73 KB),Er. S.K. Dhadwal,Internal,"Sh. Vikramjit DAO (Gr.I), Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA",Tarlok Dhiman,08-Jun-2021 11:14 AM,finsummary_70847.pdf (176.06 KB),07-May-2022,"INR 2,459,697",90.0,Tarlok Dhiman,08-May-2022 05:52 PM,IMG_0002.pdf (973.00 KB),Ravinder Kumar,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,.pdf,Online receipt of fee,,,,,,,AOC,2.0,212189.0,M/s Chamunda Holo Blocks Industries,19-May-2021 10:21 AM,Accepted-AOC,L1,08-May-2022 05:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,AOC,3.0,212523.0,Vinod Kumar,18-May-2021 09:50 PM,Rejected-Finance,Due to higher,08-Jun-2021 11:14 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
