Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :
Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,Annual Maintenance Plan for Khaira Chenchary Bye Pass Thandol to Khaira Bhuhal road Km 2/00 to 3/000,Providing and laying 30 mm thick Bituminous Concrete between Km 1/00 to 2/00 Gander to Kailan (Gander Siyara Kudana road) AMP PMGSY 2022-23,Please refer Tender documents. ,NA ,"7,72,482",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,"15,500",No,fixed,,Nil,Nil,1.0,ICICI BANK,PWD,AMP Khaira Chenchary Bye Pass Thandol,2022_PWD_59423_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,11-Apr-2022 05:00 PM,19-Apr-2022 11:30 AM,11-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,NA ,NA ,11-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,22-Apr-2022 11:00 AM,Finance,Summary,R.K Dhiman,23-Apr-2022 10:56 AM,finance_89929.pdf,BOQ Comparative Chart,1.0,277966.0,G.P.ACHARYA,INR,"1,296,000",1.0,277966.0,G.P.ACHARYA,18-Apr-2022 10:10 AM,Accepted-AOC,L1,28-Nov-2023,Technical,Summary,R.K Dhiman,21-Apr-2022 04:11 PM,technical_89929.pdf,PWD,2022_PWD_59423_1,AMP Khaira Chenchary Bye Pass Thandol,Annual Maintenance Plan for Khaira Chenchary Bye Pass Thandol to Khaira Bhuhal road Km 2/00 to 3/000,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,21-Apr-2022 04:12 PM,22-Apr-2022 11:00 AM,techsummary_89929.pdf (270.62 KB),Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,23-Apr-2022 10:58 AM,finsummary_89929.pdf (206.10 KB),17-May-2022,"INR 1,296,000",60.0,Vijay Kumar Verma,28-Nov-2023 02:49 PM,GPAcharya2.pdf (769.00 KB),Shri G.P. Acharya
,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,278158.0,Kulvinder,18-Apr-2022 03:36 PM,Rejected-Technical,Non Responsive,21-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,277982.0,M/S BRS Logistics,17-Apr-2022 12:30 PM,Rejected-Technical,Non Responsive,21-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,278084.0,RAKESH SHARMA,18-Apr-2022 10:01 AM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
