S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage
1.0,274804.0,V S SAINI,INR,"878,479",Finance,all are responsive,Baldev Singh,24-May-2022 02:45 PM,finance_89050.pdf,BOQ Comparative Chart,Technical,ALL ARE RESPONSIVE,Baldev Singh,05-Apr-2022 09:55 PM,technical_89050.pdf,1.0,274809.0,Sandan Sharma Govt. Contractor,03-Apr-2022 06:48 PM,Rejected-AOC,REJECTED,24-May-2022 02:46 PM,24-May-2022,"INR 916,334",120.0,Baldev Singh,24-May-2022 02:46 PM,award.pdf (430.00 KB),AWARDED TO VS SAINI,EE,Internal,DAO SUPDT HDM AE,Baldev Singh,24-May-2022 02:46 PM,finsummary_89050.pdf (97.21 KB),EE,Internal,DAO SUPDT TA,Baldev Singh,05-Apr-2022 09:56 PM,06-Apr-2022 10:00 AM,techsummary_89050.pdf (291.46 KB),PWD,2022_PWD_58893_2,PWI/CB/Tender/2021-10920-50,Periodic Renewal of PMGSY ROADS Bhogarwan to Palakhi road under AMP for the year 2022-23,AOC,PWD,PWI/CB/Tender/2021-10920-50,2022_PWD_58893_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,Periodic Renewal of PMGSY ROADS Bhogarwan to Palakhi road under AMP for the year 2022-23,Providing and laying 30 mm thick bituminous concrete in km. 0/0 to 0/750,Please refer Tender documents. ,NA ,"9,16,334",Civil Works - Roads,NA ,Tender,120.0,120.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,1.0,ICICI BANK,EXECUTIVE ENGINEER,HPPWD DIVSION INDORA,"18,500",No,fixed,,Nil,Nil,31-Mar-2022 09:00 AM,05-Apr-2022 10:00 AM,31-Mar-2022 09:00 AM,05-Apr-2022 09:00 AM,NA ,NA ,31-Mar-2022 09:00 AM,05-Apr-2022 09:00 AM,06-Apr-2022 10:00 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,AOC
,,,,,,,,,,,,,,,,2.0,274804.0,V S SAINI,04-Apr-2022 02:49 PM,Accepted-AOC,AWARDED,24-May-2022 02:46 PM,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,AOC
