Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
05-Apr-2022,"INR 1,687,421",90.0,Manoj Sood,26-May-2022 03:01 PM,460.pdf (404.00 KB),AOC,Er.B.M Thakur,Internal,"TA, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,28-Mar-2022 08:10 PM,finsummary_86555.pdf (993.73 KB),Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,24-Mar-2022 06:15 PM,25-Mar-2022 11:00 AM,techsummary_86555.pdf (1126.81 KB),PWD,2022_PWD_57356_1,19995-85 dated 24.2.2022,P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 19/00 to20/00),Technical,As per uploaded document,Manoj Sood,24-Mar-2022 06:05 PM,technical_86555.pdf,1.0,270712.0,M/S BRS Logistics,18-Mar-2022 02:51 PM,Rejected-Finance,Bidder is found L-2,28-Mar-2022 08:10 PM,Finance,Financial bid opening summary,Manoj Sood,28-Mar-2022 08:07 PM,finance_86555.pdf,BOQ Comparative Chart,1.0,268903.0,M/s Kamala Enterprises,INR,"2,908,125",AOC,P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 19/00 to20/00),P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 19/00 to20/00),Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,PWD,19995-85 dated 24.2.2022,2022_PWD_57356_1,Yes,Global Tenders,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,Executive Engineer,Palampur Division HPPWD Palampur,"32,900",Yes,fixed,,Nil,Nil,07-Mar-2022 10:00 AM,21-Mar-2022 11:20 AM,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,25-Mar-2022 11:00 AM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,500.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268903.0,M/s Kamala Enterprises,21-Mar-2022 08:53 AM,Accepted-AOC,L1,26-May-2022 03:01 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,AOC
