S.No,Instrument Type,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3
1.0,DD - Demand Draft,1.0,Fee/PreQual/Technical,.pdf,EMD and tender fee,"56,500",No,fixed,,Executive Engineer,Shimla,Executive engineer,SDA Complex Block No 27 Kasumpti,"1,500",Executive Engineer,Shimla,No,27-Apr-2022 11:00 AM,05-May-2022 12:00 PM,27-Apr-2022 11:00 AM,04-May-2022 05:00 PM,NA ,NA ,27-Apr-2022 11:00 AM,04-May-2022 05:00 PM,09-May-2022 10:30 AM,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Negtha Block Poanta sahib Distt Sirmour,As per DNIT,Please refer Tender documents. ,NA ,"32,59,656",Civil Works - Buildings,NA ,Tender,120.0,365.0,Negtha Poanta Sahib,171009.0,NA ,NA ,NA ,Shimla Kasumpti,No ,No,Directorate Rural Development and Panchayati Ra,Negtha Poanta sahib,2022_DRDPR_59871_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Internal,members,Rajesh Chandel,09-May-2022 01:07 PM,finsummary_90551.pdf (546.19 KB),1.0,279976.0,DK ENTERPRISE,INR,"3,145,039",Directorate Rural Development and Panchayati Ra,2022_DRDPR_59871_1,Negtha Poanta sahib,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Negtha Block Poanta sahib Distt Sirmour,Technical,BOS,Rajesh Chandel,07-May-2022 11:09 AM,technical_90551.pdf,Finance,BOS,Rajesh Chandel,09-May-2022 12:59 PM,finance_90551.pdf,BOQ Comparative Chart,31-May-2022,"INR 3,259,656",365.0,Rajesh Chandel,22-Jun-2023 03:56 PM,2022_59871_1.pdf (12507.00 KB),AOC,1,280357,ajay sharma,03-May-2022 06:49 PM,Rejected-Technical,Bids Note Recived,07-May-2022,Executive Engineer,Internal,Members,Rajesh Chandel,07-May-2022 04:03 PM,09-May-2022 10:30 AM,techsummary_90551.pdf (546.19 KB)
2.0,FDR - Fixed Deposit,,,.pdf,GST registration EPF no and PAN no. Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,280588,anil chauhan,04-May-2022 04:41 PM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,280575,Anil Kumar,04-May-2022 02:03 PM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
,,,,.pdf,Affidavit not more than two works in hand of this department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,280589,Balbir Singh,04-May-2022 02:23 PM,Rejected-AOC,L3,22-Jun-2023,,,,,,,
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,280201,DAVINDER SINGH,03-May-2022 11:25 AM,Rejected-AOC,L2,22-Jun-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,279976,DK ENTERPRISE,30-Apr-2022 02:39 PM,Accepted-AOC,L1,22-Jun-2023,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,280312,Gian Singh Chauhan,04-May-2022 11:27 AM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,280281,Inder Singh,03-May-2022 04:21 PM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,280599,rakesh kumar,04-May-2022 02:38 PM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,280311,Randeep ISngh,03-May-2022 04:34 PM,Rejected-Technical,Bids Note Recived,07-May-2022,,,,,,,
