Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
Executive Engineer,Executive Engineer HP PWD Dharamshala division,"16,010",No,fixed,,EE Dharamshala,Dharamshala,06-Aug-2020 10:00 AM,20-Aug-2020 11:00 AM,06-Aug-2020 10:00 AM,19-Aug-2020 05:00 PM,NA ,NA ,06-Aug-2020 10:00 AM,19-Aug-2020 05:00 PM,24-Aug-2020 04:50 PM,1.0,DD - Demand Draft,PWD,2343-73 dshala,2020_PWD_39593_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),C/O Souvenir Shop Near War Museum Dharamshala in Distt. Kangra HP (Deposit work ),SH - C/o Civil Work,Please refer Tender documents. ,NA ,"8,00,652",Civil Works - Buildings,NA ,Tender,120.0,180.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,350.0,EE Dharamshala,Dharamshala,No,AOC,Finance,As per document attached,Tarlok Dhiman,24-Aug-2020 05:20 PM,finance_58454.pdf,BOQ Comparative Chart,1.0,174141.0,Karan Sharma,INR,"812,994",1.0,174141.0,Karan Sharma,19-Aug-2020 03:13 PM,Accepted-AOC,L1,11-May-2022 11:26 AM,Technical,As per document attached,Sushil Kumar Dhadwal,20-Aug-2020 11:34 AM,technical_58454.pdf,PWD,2020_PWD_39593_2,2343-73 dshala,C/O Souvenir Shop Near War Museum Dharamshala in Distt. Kangra HP (Deposit work ),Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,24-Aug-2020 04:46 PM,24-Aug-2020 04:50 PM,techsummary_58454.pdf (217.70 KB),Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,09-May-2022 07:56 PM,finsummary_58454.pdf (536.67 KB),11-May-2022,"INR 812,994",180.0,Sushil Kumar Dhadwal,11-May-2022 11:26 AM,IMG.pdf (1446.00 KB),KARAN SHARMA,AOC
,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,.pdf,Earnest Money (Indicated in schedule F),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,174094.0,Munish Kumar,19-Aug-2020 02:19 PM,Rejected-Finance,L3,09-May-2022 07:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3.0,173789.0,PARDEEP KUMAR,19-Aug-2020 09:21 AM,Rejected-Finance,L2,09-May-2022 07:56 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (General rule 21),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him (General rule No.16),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number(EPF Number),,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
