Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Tender Stage
Technical,BOS,Jeet Singh Thakur,29-Oct-2021 03:40 PM,technical_78467.pdf,1.0,238060.0,Bhawinder Singh,26-Sep-2021 01:17 PM,Rejected-Finance,2nd lowest,24-Dec-2021 07:31 PM,Finance,BOS,Jeet Singh Thakur,24-Dec-2021 07:28 PM,finance_78467.pdf,BOQ Comparative Chart,1.0,238268.0,SURJEET KUMAR GOVT CONTRACTOR,INR,"1,771,066",13-May-2022,"INR 1,250,690",60.0,Jeet Singh Thakur,13-May-2022 05:11 PM,13162-68.pdf (1065.00 KB),Construction of link road to village Dadri Km. 0/0 to 2/260(SH Construction of Retaining wall at various Rds),EE,Internal,Assistant Engineer superintendent and senior assistant,Jeet Singh Thakur,24-Dec-2021 07:31 PM,finsummary_78467.pdf (214.06 KB),EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,29-Oct-2021 03:45 PM,03-Nov-2021 11:30 AM,techsummary_78467.pdf (228.74 KB),PWD,2021_PWD_52497_4,No.WA-II- 7680-779 dated 7.09.2021,Construction of link road to village Dadri Km. 0/0 to 2/260(SH Construction of Retaining wall at various Rds),AOC,Construction of link road to village Dadri Km. 0/0 to 2/260(SH Construction of Retaining wall at various Rds),Construction of link road to village Dadri Km. 0/0 to 2/260(SH Construction of Retaining wall at various Rds),Please refer Tender documents. ,NA ,"12,50,690",Civil Works,NA ,Tender,75.0,60.0,chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form only online mode through e-payment,1.0,ICICI BANK,"25,000",No,fixed,,Nil,Nil,21-Sep-2021 10:00 AM,28-Sep-2021 11:30 AM,21-Sep-2021 10:00 AM,27-Sep-2021 05:00 PM,NA ,NA ,21-Sep-2021 10:00 AM,27-Sep-2021 05:00 PM,03-Nov-2021 11:30 AM,500.0,Nil,Nil,No,PWD,No.WA-II- 7680-779 dated 7.09.2021,2021_PWD_52497_4,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,AOC
,,,,,2.0,237072.0,Meenu Gupta,27-Sep-2021 04:34 PM,Rejected-Finance,4th lowest,24-Dec-2021 07:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money only online mode through e-payment,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,238268.0,SURJEET KUMAR GOVT CONTRACTOR,27-Sep-2021 03:02 PM,Accepted-AOC,Work completed by the contractor,13-May-2022 05:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration ( Refer General Rule No.24.3 and as per invitation of bid ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4.0,238273.0,YASHWANT SINGH,27-Sep-2021 01:31 PM,Rejected-Finance,3rd lowest,24-Dec-2021 07:31 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of G.S.T. No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,"Form HPPWD 7/8,duly signed by the contractor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit/undertaking that information furnished with the bid is correct in all respect.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Work in hand /ongoing work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
