Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Construction of CHC building at Nihri, Distt. Mandi (HP)","SH C/o building portion with WS and SI, RWH System and site development",As per bid document ,NA ,"11,17,55,341",Civil Works,Building ,Tender,75.0,730.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer HPPWD Division Sunder Nagar,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,1.0,ICICI BANK,"22,35,200",No,fixed,,EE Sundernagar,Sundernagar,Executive Engineer HPPWD Division Sunder Nagar,O/O Executive Engineer HPPWD Division Sunder Nagar,12-Feb-2022 12:15 PM,22-Feb-2022 11:30 AM,12-Feb-2022 12:15 PM,21-Feb-2022 06:00 PM,NA ,NA ,12-Feb-2022 12:15 PM,21-Feb-2022 06:00 PM,28-Feb-2022 11:00 AM,PWD,PW-SNR-CB-E-Tender/Giriraj/ 21- 14106-11 dt. 3.2.2,2022_PWD_56743_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,"5,000",EE Sundernagar,Sundernagar,No,AOC,PWD,2022_PWD_56743_1,PW-SNR-CB-E-Tender/Giriraj/ 21- 14106-11 dt. 3.2.2,"Construction of CHC building at Nihri, Distt. Mandi (HP)",Er. D.R. Chauhan Executive Engineer,Internal,Er. Chaman Singh AE Nihri Sh. Sushil Kumar DAO Gr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Supdt Gr-II Accounts,Chaman Singh,25-Feb-2022 03:30 PM,28-Feb-2022 11:00 AM,techsummary_85490.pdf (967.69 KB),Chief Engineer(MZ) HPPWD Mandi,Internal,SE (D and W)MZ Mandi SE 1st Circle Mandi Executive Engineer (D) MZ Mandi Executive Engineer HPPWD Sundernagar Planning Officer(Bldg) MZ Mandi Dy Cont. (F and A) MZ Mandi,Chaman Singh,04-May-2022 05:02 PM,finsummary_85490.pdf (2035.39 KB),04-May-2022,"INR 97,674,164.56",730.0,Chaman Singh,04-May-2022 05:06 PM,AOCCHCNihri.pdf (2035.00 KB),AOC issued,1.0,265414.0,JEET KUMAR GUPTA,21-Feb-2022 05:36 PM,Rejected-AOC,Not being lowest,04-May-2022 05:06 PM,Technical,BOS,Chaman Singh,25-Feb-2022 03:26 PM,technical_85490.pdf,1.0,263816.0,S G Constructions,INR,"97,674,164.56",Finance,FBOS,Naresh Raj Chandel,02-Mar-2022 11:33 AM,finance_85490.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,263816.0,S G Constructions,21-Feb-2022 03:12 PM,Accepted-AOC,Being lowest,04-May-2022 05:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,265039.0,Suket Construction Co. Pvt. Ltd.,21-Feb-2022 04:32 PM,Rejected-AOC,Not being lowest,04-May-2022 05:06 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Detail of work done / in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff as indicated in Clause-32 and schedule F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
