Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.1,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
HP SIDC Limited,Job No. 1,2022_SIDC_56777_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,HPSIDC Shimla (HP),21-Feb-2022 11:00 AM,02-Mar-2022 11:00 AM,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,NA ,NA ,21-Feb-2022 11:00 AM,28-Feb-2022 05:00 PM,14-Mar-2022 11:00 AM,"60,400",No,fixed,,Nil,Nil,Providing and laying PPR pipeline 75mm (STP line supreme PN 10) from RCC sewerage tank at HPSIDC Ind. Area Baddi to CETP pipeline.,Providing and laying PPR pipeline 75mm (STP line supreme PN 10) from RCC sewerage tank at HPSIDC Ind. Area Baddi to CETP pipeline.,Please refer Tender documents. ,NA ,"35,23,404",Civil Works,NA ,Tender,120.0,120.0,Baddi,173205.0,NA ,NA ,NA ,HPSIDC Shimla (HP),No ,No,1.0,Corrigendum for item No. 2,Other,,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),AOC,Finance,Financial summary,Sushant Singh Negi,19-Mar-2022 01:14 PM,finance_85523.pdf,BOQ Comparative Chart,1.0,266962.0,Amardeep Singh,28-Feb-2022 12:16 PM,Rejected-Finance,second lowest bidder,19-Mar-2022 01:22 PM,Technical,Tender summary,Sushant Singh Negi,11-Mar-2022 06:41 PM,technical_85523.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,11-Mar-2022 06:43 PM,14-Mar-2022 11:00 AM,techsummary_85523.pdf (514.65 KB),1.0,267162.0,bhupinder chandel,INR,"3,015,902",31-Mar-2022,"INR 3,015,902",120.0,BHUP SINGH,07-May-2022 11:48 AM,bhupinder.pdf (2197.00 KB),Award letter,HP SIDC Limited,2022_SIDC_56777_1,Job No. 1,Providing and laying PPR pipeline 75mm (STP line supreme PN 10) from RCC sewerage tank at HPSIDC Ind. Area Baddi to CETP pipeline.,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,19-Mar-2022 01:22 PM,finsummary_85523.pdf (29.88 KB),AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,AOC,,,,,,,2.0,267162.0,bhupinder chandel,28-Feb-2022 04:36 PM,Accepted-AOC,AOC,07-May-2022 11:48 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,AOC,,,,,,,3.0,267145.0,Divya Construction Co.,28-Feb-2022 02:44 PM,Rejected-Technical,Govt./PSU work done certificate has not submitted,11-Mar-2022 06:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,AOC,,,,,,,4.0,266912.0,SHIV PAL,28-Feb-2022 02:58 PM,Rejected-Finance,Third lowest bidder,19-Mar-2022 01:22 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
