Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
23-Mar-2021 12:00 PM,01-Apr-2021 11:00 AM,23-Mar-2021 12:00 PM,31-Mar-2021 06:00 PM,NA ,NA ,23-Mar-2021 12:00 PM,31-Mar-2021 06:00 PM,05-Apr-2021 12:10 PM,"5,000",Nil,Nil,No,Executive Engineer Jubbal,HPPWD JUBBAL,PWD,PW-JD/E-Tender/2020-21 -9482-84 DT 17.03.21,2021_PWD_45863_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Providing Periodical Maintenance to Patsari- Nakrari-Jharag-Brall-Sheelghat road (RD from Sheeghat side) under AMP 20221-22,SH Providing Renewal Coat with 30mm thick Bitumenious Concrete in Km 7/0 to 9/0 and 10/0 to 18/0,Please refer Tender documents. ,NA ,"1,39,40,377",Civil Works - Roads,NA ,Tender,120.0,60.0,JUBBAL,171205.0,NA ,NA ,NA ,Jubbal,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost Of Tender as per Tender Document,"1,71,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,AOC,1.0,206728.0,Jai Chauhan,INR,"15,358,255",Finance,Financial Bid Opening Summary,Prem Pal Sharma,06-Apr-2021 03:47 PM,finance_69045.pdf,BOQ Comparative Chart,1.0,206895.0,AJAY SAUHTA,31-Mar-2021 03:03 PM,Rejected-Technical,Non-Responsive,05-Apr-2021 11:59 AM,Technical,Technical Bid Opening Summary,Prem Pal Sharma,05-Apr-2021 11:55 AM,technical_69045.pdf,Er. Ram Singh Thakur,Internal,,Prem Pal Sharma,05-Apr-2021 11:59 AM,05-Apr-2021 12:10 PM,techsummary_69045.pdf (579.19 KB),PWD,2021_PWD_45863_1,PW-JD/E-Tender/2020-21 -9482-84 DT 17.03.21,Providing Periodical Maintenance to Patsari- Nakrari-Jharag-Brall-Sheelghat road (RD from Sheeghat side) under AMP 20221-22,23-May-2022,"INR 15,358,255",60.0,Tarsem Singh,23-May-2022 01:25 PM,156.pdf (659.00 KB),Work is awarded to lowest rate contractor Sh. Jai Chauhan i.e L1,Executive Engineer,Internal,HDM Supdt. Supdt. PMGSY,Tarsem Singh,16-Sep-2021 12:34 PM,finsummary_69045.pdf (401.55 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,The Earnest Money as per Tender Document,,,,,,,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,2.0,206728.0,Jai Chauhan,30-Mar-2021 11:47 PM,Accepted-AOC,OK,23-May-2022 01:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration as per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,3.0,206746.0,LOKINDER RAITKA,31-Mar-2021 12:06 AM,Rejected-Finance,L2,16-Sep-2021 12:34 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration as per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done/ Work In Hand as per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List Of Machinery, Tool, Plantas per Tender Document",,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 as per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List Of Both Gazetted And Non-Gazetted Hppwd Employees Related To Him as per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit That Information Furnished With The Bid Is Correct In All Respect,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under Employees Provident Fundsas per Tender Document,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
