S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,253770.0,Unipro Techno Infrastructure Pvt Ltd,INR,"245,821,611","HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Anni,Irrigation and Public Health,HP",2021_HPIPH_54958_1,17509-60(Anni-1),"Augmentation of WSS Neether, WSS Anas, Moin, WSS Rathi Nallah Nagachow in GP Neether, Dehra and Kuthed in Nirmand block Distt. Kullu H.P.",Er.Ajeet Negi,Internal,Committee,AJEET KUMAR NEGI,17-May-2022 04:25 PM,finsummary_82414.pdf (3176.35 KB),17-May-2022,"INR 245,821,611",360.0,AJEET KUMAR NEGI,17-May-2022 04:34 PM,AOC.pdf (1746.00 KB),AOC,Finance,Summary,AJEET KUMAR NEGI,17-May-2022 04:06 PM,None,BOQ Comparative Chart,Technical,Summary,AJEET KUMAR NEGI,01-Feb-2022 03:24 PM,technical_82414.pdf,Er.Ajeet Negi,Internal,Committee,AJEET KUMAR NEGI,01-Feb-2022 03:26 PM,01-Feb-2022 03:30 PM,techsummary_82414.pdf (1151.51 KB),1.0,253822.0,A V RAMBABU INFRA PRIVATE LIMITED,05-Jan-2022 07:05 AM,Rejected-AOC,L3,17-May-2022 04:34 PM,AOC,"19,62,400",No,fixed,,EE JSD Anni,EE JSD Anni,"Augmentation of WSS Neether, WSS Anas, Moin, WSS Rathi Nallah Nagachow in GP Neether, Dehra and Kuthed in Nirmand block Distt. Kullu H.P.","Excavation, Construction of Trench weir, Desilting Tank cum Clear water tank, Water Treatment Plant 0.82MLD, Sump Well cum Storage Tank of 300000 litre capacity at Node No. 2,3,4,5, 100000 litre capacity at Node 2,2,3,6, sector storage tank 25000 Lit",Please refer Tender documents. ,NA ,"19,62,39,252",Civil Works,NA ,Tender,120.0,360.0,Nirmand,172023.0,Chief Engineer (MZ) JSV Mandi ,Chief Engineer (MZ) JSV Mandi ,31-Dec-2021 11:30 AM ,EE JSD Anni,No ,No,23-Dec-2021 03:00 PM,06-Jan-2022 11:30 AM,23-Dec-2021 03:00 PM,05-Jan-2022 05:00 PM,NA ,NA ,23-Dec-2021 03:00 PM,05-Jan-2022 05:00 PM,01-Feb-2022 03:30 PM,1.0,ICICI BANK,"JS Division,Anni","EE,JSD Anni","2,500",EE JSD Anni,EE JSD Anni,Yes,1.0,Fee/PreQual/Technical,.pdf,Earnest Money,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Anni,Irrigation and Public Health,HP",17509-60(Anni-1),2021_HPIPH_54958_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,253951.0,HARJEET SINGH,04-Jan-2022 09:29 PM,Rejected-AOC,L2,17-May-2022 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,.pdf,"Copy of PAN No. Income Tax, GST registration and certificate of registration with Himachal Prade",,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,253705.0,R K ENGINNERS SALES LTD,04-Jan-2022 04:01 PM,Rejected-AOC,L4,17-May-2022 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of undertaking and authorisation of DSC,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,253770.0,Unipro Techno Infrastructure Pvt Ltd,04-Jan-2022 06:22 PM,Accepted-AOC,L1,17-May-2022 04:34 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Average annual financial turnover during the last three years ending 31st March of the previous,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Experience of having successfully completed similar works during last seven years ending last day,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Pump Characteristics curves,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Layout plan fitted on uploaded site contour plan and flow diagram of WTP,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of orm,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,AOC
