Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Tender Stage
Technical,Technical bid opening summary,Rajinder Singh,05-Mar-2022 06:42 PM,technical_85541.pdf,1,263562,Ajmer Singh,23-Feb-2022 08:01 PM,Rejected-Finance,Due to L2,14-Mar-2022 05:27 PM,Finance,Financial bid opening Summary,Rajinder Singh,14-Mar-2022 05:21 PM,finance_85541.pdf,BOQ Comparative Chart,1.0,266199.0,MVD Bhambhu JV,INR,"115,928,233",27-May-2022,"INR 154,439,236",270.0,Rajinder Singh,27-May-2022 11:59 AM,NHAward.pdf (1124.00 KB),Award letter dated 31.03.2022,Executive Engineer,Internal,HDM DAO SUPDT AEBeri AEIIBlp,Rajinder Singh,14-Mar-2022 05:26 PM,finsummary_85541.pdf (940.78 KB),Executive Engineer,Internal,AE Beri AR2BLP SUPDT DAO HDM,Rajinder Singh,08-Mar-2022 05:30 PM,08-Mar-2022 05:35 PM,techsummary_85541.pdf (716.53 KB),PWD,2022_PWD_56795_1,PW-BLP1-CB-eproc/21-14679-720 dt 28.1.22,Periodical maintenance and protection work on Chandigarh Mandi Manali road KM 127/0 to 156/750.,AOC,"5,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender form and EMD refer in schedule E.,"5,00,000",No,fixed,,Nil,Nil,Periodical maintenance and protection work on Chandigarh Mandi Manali road KM 127/0 to 156/750.,"P/L 50mm thick dense graded bitumen macadam, sign board, centre line, zebra crossing etc.",Please refer Tender documents. ,NA ,"15,44,39,236",Civil Works - Roads,"P/L 50mm thick dense graded bitumen macadam, sign  ",Tender,120.0,90.0,Bilaspur,174001.0,NA ,NA ,NA ,"Division No.1, HPPWD Bilaspur.",No ,No,Executive Engineer,"Division No.1, HPPWD Bilaspur.",14-Feb-2022 06:55 PM,24-Feb-2022 11:00 AM,14-Feb-2022 06:55 PM,24-Feb-2022 10:30 AM,NA ,NA ,14-Feb-2022 06:55 PM,24-Feb-2022 10:30 AM,08-Mar-2022 05:35 PM,PWD,PW-BLP1-CB-eproc/21-14679-720 dt 28.1.22,2022_PWD_56795_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Regarding change in time period allowed nine month instead of three months.,Other,,1.0,ICICI BANK,AOC
,,,,,2,264791,DCC BUILDCON PVT. LTD.,24-Feb-2022 10:11 AM,Rejected-Finance,Due to L6,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Contractor Registration refer general rule 24.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,3,265952,Dinesh Kumar Sharma Const. (P) Ltd,24-Feb-2022 08:33 AM,Rejected-Finance,Due to L10,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,GST PAN EPF and latest income tax return refer General Rule.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,4,266163,MSC Roads and Bridges Private Limited,23-Feb-2022 06:24 PM,Rejected-Finance,Due to L2,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Work done certificate and work in hand certificate duly signed by the Concerned EE refer General Rul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,5,265984,M/s Satish Kumar Sharma,24-Feb-2022 10:15 AM,Rejected-Finance,Due to L7,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,"List of machinery, Tools refer in schedule F with reference to Clause 18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6,266065,M/S SUKHDEV SHARMA CONTRACTOR,24-Feb-2022 10:15 AM,Rejected-Technical,Non responsive on the written request of the Contractor,08-Mar-2022 05:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit of correctness of all documents.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7,266199,MVD Bhambhu JV,23-Feb-2022 09:42 PM,Accepted-AOC,Due to L1,27-May-2022 11:59 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Form No. 7/8 of SBD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,8,265988,OM PARKASH SHARMA AND SONS,23-Feb-2022 08:28 PM,Rejected-Finance,Due to L9,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Financial turn over for the last five years.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,9,264438,S.S. Associates,23-Feb-2022 06:40 PM,Rejected-Finance,Due to L5,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,.pdf,Affidavit regarding no relative working in HPPWD.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,10,263759,S.S.Chauhans Construction Private Limted,23-Feb-2022 07:10 PM,Rejected-Finance,Due to L3,14-Mar-2022 05:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
