Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 14674-744 dated 21-01-22,2022_HPIPH_56019_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,"25,100",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,Providing FHTC by Improvement of LWSS to Mehal Preet Nagar and its adjoining habitations under JJM in GP Tikkeri Kuthar Tehsil Pachhad Distt. Sirmour HP,Repair of pump house cum attendant Qtr 2nd stage of LWSS Mehal Preet Nagar and C/o RCC sumpwell 25000 ltrs cap. 2 No for stage 1st and 2nd stage and C/O RCC main storage tank 90000 ltrs cap. 1 No.).,Please refer Tender documents. ,NA ,"12,52,838",Civil Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,22-Jan-2022 05:00 PM,29-Jan-2022 11:30 AM,22-Jan-2022 05:00 PM,29-Jan-2022 11:00 AM,NA ,NA ,22-Jan-2022 05:00 PM,29-Jan-2022 11:00 AM,31-Jan-2022 05:40 PM,AOC,1.0,259000.0,KAMLENDER SINGH,27-Jan-2022 05:39 PM,Rejected-Finance,Reject,17-May-2022 04:47 PM,Er. Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,31-Jan-2022 05:34 PM,31-Jan-2022 05:40 PM,techsummary_84185.pdf (316.57 KB),Technical,Technical Bid Opening Summary,Ashish Rana,31-Jan-2022 05:31 PM,technical_84185.pdf,Finance,Finanial Bid Opening Summary,Ashish Rana,31-Jan-2022 05:57 PM,finance_84185.pdf,BOQ Comparative Chart,17-May-2022,"INR 1,252,838",90.0,Ashish Rana,17-May-2022 04:52 PM,AOC.pdf (809.00 KB),Award to Contractor,ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,17-May-2022 04:46 PM,finsummary_84185.pdf (808.74 KB),"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_56019_1,NHN-SMROO-722- 14674-744 dated 21-01-22,Providing FHTC by Improvement of LWSS to Mehal Preet Nagar and its adjoining habitations under JJM in GP Tikkeri Kuthar Tehsil Pachhad Distt. Sirmour HP,1.0,259298.0,RAVI DUTT CONTRACTOR,INR,"1,118,213",AOC
,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Cost of Tender as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,259026.0,Pradeep Kumar,27-Jan-2022 06:07 PM,Rejected-Finance,Reject,17-May-2022 04:47 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Registration in HPJSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,259298.0,RAVI DUTT CONTRACTOR,28-Jan-2022 12:32 PM,Accepted-AOC,AOC,17-May-2022 04:52 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN and GST registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Underatking joint Venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
