Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
13-May-2022,"INR 951,036",30.0,Jeet Singh Thakur,13-May-2022 06:42 PM,2.7051.pdf (1286.00 KB),"Repair of Govt. Degree College at Chamba H.P Providing fencing to open land , grill in verandah and outside painting",EE,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,22-Sep-2021 05:14 PM,finsummary_75521.pdf (147.79 KB),Executive Engineer,Internal,Assistant Engineer Superintendent and Senior Assistant,Jeet Singh Thakur,19-Aug-2021 12:07 PM,23-Aug-2021 11:30 AM,techsummary_75521.pdf (763.41 KB),PWD,2021_PWD_50497_1,NO.PWC-WA-II- 4999-5099 dated 23.7.21,"Repair of Govt. Degree College at Chamba H.P Providing fencing to open land , grill in verandah and outside painting",Technical,BOS,Jeet Singh Thakur,18-Aug-2021 06:28 PM,technical_75521.pdf,1.0,227609.0,Darshan Kumar,04-Aug-2021 07:04 PM,Accepted-AOC,Work completed by the contractor on 9-01-2022,13-May-2022 06:42 PM,Finance,BOS,Jeet Singh Thakur,22-Sep-2021 05:02 PM,None,BOQ Comparative Chart,1.0,227609.0,Darshan Kumar,INR,"1,316,273",AOC,28-Jul-2021 05:00 PM,06-Aug-2021 11:30 AM,28-Jul-2021 05:00 PM,05-Aug-2021 05:00 PM,NA ,NA ,28-Jul-2021 05:00 PM,05-Aug-2021 05:00 PM,23-Aug-2021 11:30 AM,Executive Engineer Chamba Division HPPWD Chamba,Executive Engineer Chamba Division HPPWD Chamba,PWD,NO.PWC-WA-II- 4999-5099 dated 23.7.21,2021_PWD_50497_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"19,020",No,fixed,,Nil,Nil,"Repair of Govt. Degree College at Chamba H.P Providing fencing to open land , grill in verandah and outside painting","Repair of Govt. Degree College at Chamba H.P Providing fencing to open land , grill in verandah and outside painting",Please refer Tender documents. ,NA ,"9,51,036",Civil Works,NA ,Tender,75.0,30.0,Chamba,176310.0,NA ,NA ,NA ,Executive Engineer Chamba Division HPPWD Chamba,No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form only mode through e-payment,350.0,Nil,Nil,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227401.0,Mayank Mahajan,04-Aug-2021 11:51 PM,Rejected-Finance,2nd lowest,22-Sep-2021 05:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Earnest Money only mode through e-payment,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227712.0,M/s Sunny Mandla,05-Aug-2021 03:25 PM,Rejected-Finance,4th lowest,22-Sep-2021 05:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227548.0,sudhir kumar govt contractor,04-Aug-2021 04:20 PM,Rejected-Finance,3rd lowest,22-Sep-2021 05:14 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST registration No.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of ongoing /Work in hand,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of Machinery,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD form -7/8,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit /undertaking that information furnished with the bid is correct in all respect.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN No.,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
