Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Stage
Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,02-Feb-2022 03:48 PM,finsummary_82145.pdf (341.43 KB),19-May-2022,"INR 1,440,700",90.0,Kishan Lal Chaudhary,19-May-2022 04:44 PM,aoc.pdf (968.00 KB),AOC,PWD,2021_PWD_54778_3,Tender/2021-22 -8603-22 dated 13.12.2021,Construction of link road Simbal Bara to Harizan Basti Khairni km 0/0 to 5/0. (SH- Providing and Laying G.S.B. G-II and G-III at various RDs between km 2/020 to 3/050) under SCSP.,Er. K. L. Chaudhary,Internal,"Sh. Sanjeet Sinha DAO, Sh. Sanjeev Goel Supdt. Gr.II, Smt. Usha Aggarwal HDM",Kishan Lal Chaudhary,01-Jan-2022 11:54 AM,01-Jan-2022 12:30 PM,techsummary_82145.pdf (750.70 KB),Technical,Bid Opening Summary,Kishan Lal Chaudhary,31-Dec-2021 11:27 AM,technical_82145.pdf,1.0,252355.0,JAVED KHAN,27-Dec-2021 09:08 PM,Accepted-AOC,Completed,19-May-2022 04:44 PM,1.0,252355.0,JAVED KHAN,INR,"1,008,490",Finance,Fin Bid Opening Summary,Kishan Lal Chaudhary,02-Feb-2022 03:32 PM,finance_82145.pdf,BOQ Comparative Chart,AOC,Construction of link road Simbal Bara to Harizan Basti Khairni km 0/0 to 5/0. (SH- Providing and Laying G.S.B. G-II and G-III at various RDs between km 2/020 to 3/050) under SCSP.,Construction of link road Simbal Bara to Harizan Basti Khairni km 0/0 to 5/0. (SH- Providing and Laying G.S.B. G-II and G-III at various RDs between km 2/020 to 3/050) under SCSP.,Please refer tender document ,NA ,"14,40,700",Civil Works - Roads,NA ,Tender,75.0,90.0,Paonta Sahib,173025.0,NA ,NA ,NA ,Paonta Sahib,No ,No,20-Dec-2021 04:30 PM,29-Dec-2021 11:00 AM,20-Dec-2021 05:00 PM,29-Dec-2021 10:30 AM,NA ,NA ,20-Dec-2021 05:00 PM,29-Dec-2021 10:30 AM,01-Jan-2022 12:30 PM,1.0,ICICI BANK,"36,500",No,fixed,,Nil,Nil,Executive Engineer,Executive Engineer HPPWD Division Paonta Sahib District Sirmour (HP),500.0,Nil,Nil,No,PWD,Tender/2021-22 -8603-22 dated 13.12.2021,2021_PWD_54778_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender- indicated in schedule E at Sr. No. (ii),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,251870.0,Nazar Ali,28-Dec-2021 06:06 PM,Rejected-Finance,L2,02-Feb-2022 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money-indicated in schedule f at sr. No. (I),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,252964.0,SANCHIT GOEL,28-Dec-2021 07:24 PM,Rejected-Finance,L5,02-Feb-2022 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration- refer general rule sr. No 24.3,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,252986.0,SONU SHARMA,29-Dec-2021 10:19 AM,Rejected-Finance,L3,02-Feb-2022 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration(Refer General Rule No.24.4)and Permanent account number,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,252842.0,VAJID,28-Dec-2021 04:18 PM,Rejected-Finance,L4,02-Feb-2022 03:48 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of incomplete works in hand general rule sr. No 28.1 duly signed by the concerned officer.,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bid will be rejected if any incomplete work noticed beyond stipulated period without genuine reasons,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Machinery as per schedule F Sr.No.24.6Ref.Cl- No.18( i.e.R.C,purchase bills,ownership/Affidavit etc.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"If contractor takes machinery on hire basis, affidavit is required from the owner/provider a/w proof",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of EPF,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form no HPPWD-7/8 duly signed.,AOC
