Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Tender Stage,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,NO.18865-72 DATED 15.03.2022,2022_PWD_58562_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"2,000",EE Kullu Division,EE Kullu Division,No,"60,800",No,fixed,,EE Kullu Division,EE Kullu Division,25-Mar-2022 10:20 AM,01-Apr-2022 10:30 AM,25-Mar-2022 10:20 AM,31-Mar-2022 05:00 PM,NA ,NA ,25-Mar-2022 10:20 AM,31-Mar-2022 05:00 PM,02-Apr-2022 02:15 PM,Er. Vinay Kumar Hazri,"EE Kullu Division HP.PWD, Kullu.",1.0,DD - Demand Draft,Annual maintenance plan for the year 2022-2023 on Badah Pahnallah road to Shilihar Km. 0/0 to 9/700 SH Providing and laying Bituminous concrete in Km. 6/0 to 8/0 and C/O PCC drain Road Number HP0602VR044122207.,Annual maintenance plan for the year 2022-2023 on Badah Pahnallah road to Shilihar Km. 0/0 to 9/700 SH Providing and laying Bituminous concrete in Km. 6/0 to 8/0 and C/O PCC drain Road Number HP0602VR044122207.,Annual maintenance plan for the year 2022-2023 on Badah Pahnallah road to Shilihar Km. 0/0 to 9/700 SH Providing and laying Bituminous concrete in Km. 6/0 to 8/0 and C/O PCC drain Road Number HP0602VR044122207.  ,NA ,,Civil Works - Others,NA ,Tender,90.0,30.0,Kullu,175101.0,NA ,NA ,NA ,Kullu,No ,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security.",1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,AOC,1.0,274149.0,varnag banasari infra construction pvt ltd,INR,"3,161,234",Finance,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 12:43 PM,finance_88556.pdf,BOQ Comparative Chart,1.0,274283.0,durga parasd contruction,31-Mar-2022 04:07 PM,Rejected-Finance,BEING 3RD LOWEST BIDDER,05-Apr-2022 01:07 PM,Technical,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,01-Apr-2022 04:49 PM,technical_88556.pdf,PWD,2022_PWD_58562_1,NO.18865-72 DATED 15.03.2022,Annual maintenance plan for the year 2022-2023 on Badah Pahnallah road to Shilihar Km. 0/0 to 9/700 SH Providing and laying Bituminous concrete in Km. 6/0 to 8/0 and C/O PCC drain Road Number HP0602VR044122207.,Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,01-Apr-2022 05:07 PM,02-Apr-2022 02:15 PM,techsummary_88556.pdf (237.67 KB),Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 01:07 PM,finsummary_88556.pdf (232.89 KB),02-May-2022,"INR 3,161,234",30.0,Vinay Kumar Hazri,10-May-2022 02:23 PM,Awardletter-58562-AOC.pdf (324.00 KB),AWARD LETTER,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,AOC,,,,,,,,,,,,2.0,274165.0,SANDEEP KUMAR SHARMA,31-Mar-2022 12:34 PM,Rejected-Finance,BEING 2ND LOWEST BIDDER,05-Apr-2022 01:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,AOC,,,,,,,,,,,,3.0,274149.0,varnag banasari infra construction pvt ltd,31-Mar-2022 11:31 AM,Accepted-AOC,BEING 1ST LOWEST BIDDER,10-May-2022 02:23 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate of similar nature of work.,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Scanned copy of authentication of ownership of machinery required for above works such as paver, Hot",,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form of bid as specified in Section-8,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
