Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Cost of tender Form (Indicated in Schedule E),"19,400",No,fixed,,Nil,Nil,Executive Engineer,"O/o Executive Engineer, B and R Division, HPPWD, Joginder Nagar",1.0,ICICI BANK,27-Apr-2022 10:00 AM,04-May-2022 11:30 AM,27-Apr-2022 10:00 AM,02-May-2022 05:00 PM,NA ,NA ,27-Apr-2022 10:00 AM,02-May-2022 05:00 PM,12-May-2022 11:30 AM,PWD,PW-JND-B and R-EA-I-NIT- 2882-2906 dt. 19-04-2022,2022_PWD_59959_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Construction of Restoration of road Sandha to Balotu Mohal (Lad-Bharol Utpur Sandhapattan road Km. 0/0 to 10/0,Improvement and widening of narrow reaches and sharp curves between Km. 2/800 to 9/305,As Per SBD ,NA ,"9,71,858",Civil Works - Roads,NA ,Tender,90.0,90.0,Sandha to Balotu,175032.0,NA ,NA ,NA ,"E.E. B and R Division, HPPWD, Joginder Nagar",No ,No,350.0,Nil,Nil,No,AOC,PWD,2022_PWD_59959_1,PW-JND-B and R-EA-I-NIT- 2882-2906 dt. 19-04-2022,Construction of Restoration of road Sandha to Balotu Mohal (Lad-Bharol Utpur Sandhapattan road Km. 0/0 to 10/0,Executive Engineer,Internal,"Assistant Engineer Lad-Bharol, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,10-May-2022 03:35 PM,12-May-2022 11:30 AM,techsummary_90663.pdf (764.98 KB),Executive Engineer,Internal,"Assistant Engineer Lad-Bharol, Divisional Accountant, Head Draughtsman, Superintendent Gr-II,",Sanjiv Kumar,28-May-2022 04:44 PM,finsummary_90663.pdf (204.11 KB),31-May-2022,"INR 1,000,734",90.0,Sanjiv Kumar,31-May-2022 01:50 PM,awardlatter.pdf (500.00 KB),Work awarded to the lowest contractor L-I,1.0,279964.0,Tej Singh,30-Apr-2022 01:33 PM,Accepted-AOC,L-I,31-May-2022 01:50 PM,Technical,Technical Bid opening summary,Sanjiv Kumar,10-May-2022 03:23 PM,technical_90663.pdf,Finance,Financial bid opening summary,Sanjiv Kumar,28-May-2022 04:41 PM,finance_90663.pdf,BOQ Comparative Chart,1.0,279964.0,Tej Singh,INR,"1,000,734",AOC
,,.pdf,Earnest money (Indicated in Schedule E),,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279967.0,Vinod Kumar,30-Apr-2022 02:00 PM,Rejected-Finance,Rejected due to L-2,28-May-2022 04:44 PM,,,,,,,,,,,,,,,,,AOC
,,.pdf,Contractors Registration (General Rule No.20),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,GST Registration Document Refer HPPWD-6 16(3),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"Work done and work in hand certificate(Gen.Rule No.16,26.2b)Miniamount of workdone asper Schedule-F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of machineries Indicated in Sch.F contractor must upload the proofof ownershipof machinery,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Form No.7 and 8 duly signed on judiciary paper (General Rules and directions in Schedule A to F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit of both Gazetted and non gazetted Officer HPPWD employees related to him (Gen.Rule No.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit regarding all the information furnished with the bid is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
