Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
Chief Engineer,Internal,,Arun Kumar Sharma,11-Feb-2022 03:06 PM,11-Feb-2022 03:10 PM,techsummary_84029.pdf (388.43 KB),1.0,258575.0,HARJEET SINGH,02-Feb-2022 11:21 AM,Accepted-AOC,L1,11-May-2022 01:45 PM,Finance,Sh. Harjeet Singh found eligible as per NIT,Arun Kumar Sharma,18-Feb-2022 10:10 AM,finance_84029.pdf,BOQ Comparative Chart,Technical,Both the contractors found eligible as per NIT terms and Conditions,Arun Kumar Sharma,11-Feb-2022 03:03 PM,technical_84029.pdf,11-May-2022,"INR 75,949,045",536.0,Arun Kumar Sharma,11-May-2022 01:45 PM,AWARDWORK.pdf (24.00 KB),"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",2022_HPIPH_55897_1,20136-235,C O LWSS Beas River to 16 Tanki Shaladhara in Phati Kharahal Tehsil and district Kullu,1.0,258575.0,HARJEET SINGH,INR,"75,949,045",Chief Engineer,Internal,,Arun Kumar Sharma,11-May-2022 11:56 AM,finsummary_84029.pdf (25.45 KB),AOC,Executive Engineer,JSV Division Kullu,19-Jan-2022 05:30 PM,04-Feb-2022 11:30 AM,20-Jan-2022 10:00 AM,03-Feb-2022 05:00 PM,NA ,NA ,20-Jan-2022 10:00 AM,03-Feb-2022 05:00 PM,11-Feb-2022 03:10 PM,1.0,Fee/PreQual/Technical,.pdf,Earnest Money as per NIT,"6,39,600",Yes,fixed,,EE,JSV Division No.1 Kullu,1.0,ICICI BANK,C O LWSS Beas River to 16 Tanki Shaladhara in Phati Kharahal Tehsil and district Kullu,"Site development of pump house, C O RCC sump well cum storage tank, sector storage tanks at various locations, C O 3 Nos pump house and boundary wall for pump houses Stage-1,2and 3, wire crate protection, laying jointing testing of GMS pipe for tank",Please refer Tender documents. ,NA ,"6,39,57,312",Civil Works,NA ,Tender,180.0,NA ,Kullu,175101.0,NA ,NA ,NA ,JSV Division Kullu,No ,No,"HP Irrigation and Public Health||Kullu Circle,Irrigation and Public Health,HP||Kullu-I,Irrigation and Public Health,HP",20136-235,2022_HPIPH_55897_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,500",EE,JSV Division No.1 Kullu,No,AOC
,,,,,,,2.0,260705.0,HYDRAULIC ENGINEERING COMPANY,02-Feb-2022 07:02 PM,Rejected-Finance,L2,11-May-2022 11:56 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Cost of tender form as per NIT,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Certificate of registration as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,"PAN No. GST, ITR and EPF Registration as per NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Scanned copy of undertaking as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,DSC authorization as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Average annual financial turnover as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Experience as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,.pdf,Technical Bid as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
