EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
"7,49,945",Yes,fixed,,EE JSV Nagrota Bagwan,EE JSV Nagrota Bagwan,Er.Rahul Dhiman EE,JSV Division Nagrota Bagwan,"HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",NGB-KNG01-773,2022_HPIPH_57174_1,Yes,Open Tender,Item Wise,Works,2.0,No,No,Both(Online/Offline),No,No,No,24-Feb-2022 05:00 PM,11-Mar-2022 11:30 AM,24-Feb-2022 05:00 PM,11-Mar-2022 11:00 AM,NA ,NA ,24-Feb-2022 05:00 PM,11-Mar-2022 11:00 AM,29-Mar-2022 05:05 PM,Construction of FIS Gadul Kuhl in GP Chahari in Tehsil Nagrota Bagwan,Construction of FIS Gadul Kuhl in GP Chahari in Tehsil Nagrota BagwanSH_construction of RCC lining in main kuhl,Please refer Tender documents. ,NA ,"7,49,94,381",Civil Works,NA ,Tender,90.0,730.0,Nagrota Bagwan,176047.0,NA ,NA ,NA ,Nagrota Bagwan,No ,No,1.0,ICICI BANK,"2,500",EE JSV Division Nagrota B,EE JSV Division Nagrota Bagwan,No,1.0,Fee/PreQual/Technical,.pdf,Scanned copy of Cost of Form (online mode)or offline mode as per NIT,AOC,Er. Rahul Dhiman,Internal,Smt. Kanchan Bala HDM Smt. Anita Rana Supdt Gr.-1,Rahul Dhiman,21-May-2022 12:29 PM,finsummary_86289.pdf (201.85 KB),1.0,268859.0,M/s Surindera Traders,INR,"754,030","HP Irrigation and Public Health||Dharamshala Circle,Irrigation and Public Health,HP||Nagrota Bagwan",2022_HPIPH_57174_1,NGB-KNG01-773,Construction of FIS Gadul Kuhl in GP Chahari in Tehsil Nagrota Bagwan,Technical,Technical bid opened on dt.03.11.2022,Rahul Dhiman,29-Mar-2022 04:55 PM,technical_86289.pdf,Finance,Financial bid opened on dated 29.03.2022,Rahul Dhiman,21-May-2022 12:26 PM,finance_86289.pdf,BOQ Comparative Chart,21-May-2022,"INR 74,994,381",730.0,Rahul Dhiman,21-May-2022 12:37 PM,Awardletter.pdf (953.00 KB),Award letter,1.0,268886.0,HARJEET SINGH,10-Mar-2022 09:15 PM,Rejected-Finance,Highest Amount,21-May-2022 12:29 PM,Er.Sunil Kanotra CE JSV (DZ),Internal,Er.Kamal Sharama AE(D) Er Rahul dhiman EE Nagrota B Er.Sushil Katoch EE(D) Er.Rohit Dubey SE Er.Vikas Bakshi SE (D),Rahul Dhiman,29-Mar-2022 04:59 PM,29-Mar-2022 05:05 PM,techsummary_86289.pdf (450.62 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,.pdf,Scanned copy of EMD as per NIT conditions,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268859.0,M/s Surindera Traders,11-Mar-2022 08:50 AM,Accepted-AOC,1st Lowest,21-May-2022 12:37 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Enlistment,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scanned copy of Income Tax/GST/EPF etc.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Annual turnover last 3 years as per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work done certificate as Per NIT,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC Authorization undertaking affidavit etc.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.pdf,Form6,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Termsandconditions,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
