Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Cover No,Cover,Document Type,Description,Name,Address,S.No,Corrigendum Title,Corrigendum Type,View,S.No.1,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Technical,as per uploaded document,Dalip singh Patial,05-Feb-2022 03:46 PM,technical_83717.pdf,1.0,257623.0,Deepak Sood,21-Jan-2022 07:15 AM,Accepted-AOC,Lowest Bidder,22-May-2022 07:25 PM,1.0,257623.0,Deepak Sood,INR,"1,322,225",Finance,as per uploaded document,Dalip singh Patial,22-May-2022 07:16 PM,finance_83717.pdf,BOQ Comparative Chart,Er. Dalip Singh Patial Executive Engineer,Internal,as per uploaded document,Dalip singh Patial,22-May-2022 07:20 PM,finsummary_83717.pdf (20.48 KB),22-May-2022,"INR 1,068,964",365.0,Dalip singh Patial,22-May-2022 07:25 PM,Award5720-1.pdf (568.00 KB),awarded to lowest bidder vide no.9226-31,PWD,2022_PWD_55720_1,Elect. Division HPPWD Palampur,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- Providing wiring for VRV/VRV AC System in Block-A, Block-B, Block-C therein)",Er. Dalip Singh Patial Executive Engineer,Internal,Sh. Naresh Singh Supdt. Sh. Manoj Kumar Sr. Asstt. Sh. Atula Nag JDM,Dalip singh Patial,05-Feb-2022 03:48 PM,07-Feb-2022 11:30 AM,techsummary_83717.pdf (234.76 KB),AOC,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment towards the cost of bid documents and Earnest Money Deposited,Executive Engineer,Elect. Division HPPWD Palampur,1.0,corrigendum,Date,,1.0,ICICI BANK,15-Jan-2022 09:00 AM,27-Jan-2022 11:30 AM,15-Jan-2022 09:00 AM,27-Jan-2022 10:00 AM,NA ,NA ,15-Jan-2022 09:00 AM,27-Jan-2022 10:00 AM,07-Feb-2022 11:30 AM,PWD,Elect. Division HPPWD Palampur,2022_PWD_55720_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"21,400",No,fixed,,Nil,Nil,500.0,Nil,Nil,No,"C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- Providing wiring for VRV/VRV AC System in Block-A, Block-B, Block-C therein)","C/O Centre of Excellence in Mental Health for Dr. RPGMC Kangra at Tanda. (SH- Providing wiring for VRV/VRV AC System in Block-A, Block-B, Block-C therein)",Please refer Tender documents. ,NA ,"10,68,964",Electrical Works,NA ,Tender,120.0,365.0,Kangra at Tanda in Distt. Kangra,176001.0,NA ,NA ,NA ,Palampur,No ,No,AOC
,,,,,2.0,257658.0,JAMWAL ELECTRICAL WORKS,21-Jan-2022 12:37 PM,Rejected-Finance,L2,22-May-2022 07:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Valid registration certificate in appropriate class in HPPWD Electrical,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,3.0,257669.0,Trilochan Singh,22-Jan-2022 11:59 AM,Rejected-Finance,L3,22-May-2022 07:20 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,EPF registration certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Latest ITR filed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate (Minimum one Work not less than 40 percent of estimated cost),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Form-8 (GCC) printed on judicial papers duly signed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding correctness of bid documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Affidavit regarding no relative working in the department as per enlistment rules 2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill Of Quantities (BOQ),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
