Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No.1,Bank Name,S.No.2,Category,Sub Category,Sub Category Description,Format/File,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage
"Renovation / reconstruction of building at BBMB Colony Slapper for NDRF, Distt. Mandi (HP).","SH Repair work o f building portion and WS and SI, Septic tank, soak pit and Rain water harvesting tank.",As per bid document ,NA ,"3,99,85,384",Civil Works,NA ,Tender,75.0,270.0,Sundernagar,175018.0,NA ,NA ,NA ,O/O Executive Engineer Sunder Nagar Division HPPWD,No ,No,PWD,PW-SNR-CB-E-Tender/2nd Call/NDRF/ 21- 13625-30 dt.,2022_PWD_56195_1,Yes,Open Tender,Percentage,Works,2.0,No,No,Both(Online/Offline),No,No,No,1.0,Corrigendum of date extension,Date,,Executive Engineer,"Executive Engineer HPPWD Division Sunder Nagar, Distt. Mandi (HP).","5,000",EE Sundernagar,Sundernagar,No,1.0,ICICI BANK,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,29-Jan-2022 09:00 AM,15-Feb-2022 11:30 AM,29-Jan-2022 09:00 AM,14-Feb-2022 06:00 PM,NA ,NA ,29-Jan-2022 09:00 AM,14-Feb-2022 06:00 PM,21-Feb-2022 11:30 AM,1.0,Fee/PreQual/Technical,.pdf,Cost of tender indicated in schedule E,"7,99,800",No,fixed,,EE Sundernagar,Sundernagar,AOC,Er. D.R. Chauhan Executive Engineer,Internal,Er. Hitesh Sharma AE Dehar Sh. Sushil Kumar DAOGr-I Sh. Dinesh Kumar HDM Sh. Rattan Lal Supdt. Gr-II (Accounts),Chaman Singh,19-Feb-2022 01:52 PM,21-Feb-2022 11:30 AM,techsummary_84470.pdf (943.77 KB),PWD,2022_PWD_56195_1,PW-SNR-CB-E-Tender/2nd Call/NDRF/ 21- 13625-30 dt.,"Renovation / reconstruction of building at BBMB Colony Slapper for NDRF, Distt. Mandi (HP).",19-May-2022,"INR 36,986,476.66",270.0,Hitesh Sharma,19-May-2022 05:16 PM,AOCNDRF.pdf (1640.00 KB),AOC issued to L-1,Chief Engineer(MZ) HPPWD Mandi,Internal,"SE 1st Circle, HPPWD Mandi SE (D) MZ, Executive Engineer Sundernagar Division, Planning Officer (Buildings) MZ HPPWD Mandi",Hitesh Sharma,19-May-2022 05:14 PM,finsummary_84470.pdf (1639.66 KB),1.0,261352.0,Ajmer Singh,14-Feb-2022 02:46 PM,Rejected-Finance,Not found lowest,19-May-2022 05:14 PM,Technical,BOS,Naresh Raj Chandel,17-Feb-2022 01:18 PM,technical_84470.pdf,1.0,263401.0,JEET KUMAR GUPTA,INR,"36,986,476.66",Finance,FBOS,Chaman Singh,21-Feb-2022 03:41 PM,finance_84470.pdf,BOQ Comparative Chart,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,.pdf,The earnest money indicated in schedule E,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,2.0,263401.0,JEET KUMAR GUPTA,14-Feb-2022 04:36 PM,Accepted-AOC,Being responsive and Lowest,19-May-2022 05:16 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,.pdf,Contractors registration refer general rules No.23,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,3.0,263371.0,SHIV RAM,14-Feb-2022 01:49 PM,Rejected-Technical,Being non responsive,19-Feb-2022 01:52 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,.pdf,GST registration alongwith latest uploaded return as per general rules No. 21,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,4.0,263060.0,Suket Construction Co. Pvt. Ltd.,12-Feb-2022 11:59 AM,Rejected-Finance,Not found lowest,19-May-2022 05:14 PM,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Miscellaneous ,Laboratory Equipment Details ,Laboratory Equipment Details ,,,,,,,,,,,,,.pdf,Detail of work done / in hand / Bidding Capacity as per general rules No. 16 and 26.,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Miscellaneous ,Existing Work Order Commitment ,Ongoing Work Order Details with percentage of work completed ,,,,,,,,,,,,,.pdf,Latest ITR Return,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,.pdf,"List of machinery, tool, plant alongwith documentary proof refer schedule F with reference to clause",,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of technical staff as indicated in Clause-32 and schedule F,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7/8 prefer General Rules No. 26.7,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazetted and non-gazetted HPPWD Employees related to him General Rule No. 16,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
