Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Name,Address,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
21-May-2022,"INR 54,800,000",730.0,Vijay Kumar Aggarwal,23-May-2022 03:49 PM,AOC_60MTR_55982_2.pdf (977.00 KB),Awarded to M/s Ankush Engineers and Contractors Pvt. Ltd.,Er. V. K. Aggarwal,Internal,EE D CHD DHD DAO Suptd,Vijay Kumar Aggarwal,31-Mar-2022 03:12 PM,finsummary_84144.pdf (1051.19 KB),Er. V. K. Aggarwal,External,Er. Dinkar Sharma EE(D) Lekh Raj CHD Siya Ram Rai DAO Ravinder Sharma DHD Vipan Kumar Suptd.,Vijay Kumar Aggarwal,24-Mar-2022 04:43 PM,29-Mar-2022 11:00 AM,techsummary_84144.pdf (6024.93 KB),PWD,2022_PWD_55982_2,NAHAN 8951-80 CRIF EPC,C/o 60.00 meter span PSC Box Girder Bridge at RD 0/350 over Markanda River on Moginand to Suketi Road under CRIF,Finance,FINANCIAL SUMMARY,Vijay Kumar Aggarwal,29-Mar-2022 04:33 PM,finance_84144.pdf,BOQ Comparative Chart,1.0,267258.0,M/s Ankush Engineers & Contractors Pvt. Ltd.,INR,"54,800,000",Technical,TECHNICAL SUMMARY,Vijay Kumar Aggarwal,09-Mar-2022 01:11 PM,technical_84144.pdf,1,268054,Ajay Kumar Sharma,06-Mar-2022 01:09 PM,Rejected-Finance,L3,31-Mar-2022 03:12 PM,AOC,PWD,NAHAN 8951-80 CRIF EPC,2022_PWD_55982_2,Yes,Open Tender,Lump-sum,Works,2.0,No,No,Online,No,No,No,21-Jan-2022 05:00 PM,07-Mar-2022 11:30 AM,21-Jan-2022 05:00 PM,07-Mar-2022 11:00 AM,NA ,NA ,09-Feb-2022 05:00 PM,07-Mar-2022 11:00 AM,29-Mar-2022 11:00 AM,C/o 60.00 meter span PSC Box Girder Bridge at RD 0/350 over Markanda River on Moginand to Suketi Road under CRIF,"C/o 5/7 meter Wide Road, C/o Retaining Walls, Breast Walls, Providing Cross-Drainage Works, P/L Metalling and Tarring, C/o V-Shape Drains, Essential Parapets and Road Side Furniture in Km 0/0 to 1/405",As per Bidding Documents ,NA ,"9,21,10,839",Civil Works,Bidges and Roads ,Tender,120.0,730.0,Nahan,173001.0,Nahan ,"Office of the Superintending Engineer, 12th Circle, HPPWD Nahan 173001 ",01-Feb-2022 02:30 PM ,HPPWD Division Nahan,No ,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,Executive Engineer,"Office of the Executive Engineer, HPPWD B and R Division Nahan 173001",1.0,Fee/PreQual/Technical,.pdf,Receipt of Cost of Tender and Earnest Money Payment,"18,42,210",No,fixed,,Nil,Nil,1.0,CORRIGENDUM,Other,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,267630,HINDUSTAN INFRA,06-Mar-2022 07:29 PM,Rejected-Finance,L5,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,.rar,All Technical Documents as per RFP,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,268024,Inder Singh Chauhan,06-Mar-2022 02:54 AM,Rejected-Finance,L6,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.rar,Any other Document,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,268208,Krishna Construction Co.,06-Mar-2022 06:35 PM,Rejected-Finance,L2,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Bill of Quantity,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,267258,M/s Ankush Engineers & Contractors Pvt. Ltd.,06-Mar-2022 09:10 PM,Accepted-AOC,L1,23-May-2022 03:49 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,268098,M/s KHARA CONTRACTORS,07-Mar-2022 10:33 AM,Rejected-Finance,L10,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,268088,M/s Krishna Construction Company,07-Mar-2022 10:48 AM,Rejected-Finance,L9,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,267348,M/s Maan Builders,05-Mar-2022 12:44 PM,Rejected-Finance,L4,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,267939,M/s National Construction co.,06-Mar-2022 03:09 PM,Rejected-Finance,L8,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,268122,RANA BUILDERS,06-Mar-2022 12:19 PM,Rejected-Finance,L7,31-Mar-2022 03:12 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
