Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Category,Sub Category,Sub Category Description,Format/File,S.No.1,Instrument Type,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
25-Mar-2022 09:00 AM,01-Apr-2022 10:25 AM,25-Mar-2022 09:00 AM,31-Mar-2022 05:00 PM,NA ,NA ,25-Mar-2022 09:00 AM,31-Mar-2022 05:00 PM,02-Apr-2022 02:15 PM,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security.","2,34,200",EE Kullu Division,EE Kullu Division,No,Annual maintenance plan for the year 2022-2023 on Kullu Shilabadhani road Km. 0/0 to 15/0 SH Providing and laying Bituminous concrete in Km. 3/0 to 9/0 and C/O PCC drain Road Number HP0602VR0131004.,Annual maintenance plan for the year 2022-2023 on Kullu Shilabadhani road Km. 0/0 to 15/0 SH Providing and laying Bituminous concrete in Km. 3/0 to 9/0 and C/O PCC drain Road Number HP0602VR0131004.,Annual maintenance plan for the year 2022-2023 on Kullu Shilabadhani road Km. 0/0 to 15/0 SH Providing and laying Bituminous concrete in Km. 3/0 to 9/0 and C/O PCC drain Road Number HP0602VR0131004. ,NA ,,Civil Works - Others,NA ,Tender,90.0,60.0,Kullu,175101.0,NA ,NA ,NA ,Kullu,No ,No,Er. Vinay Kumar Hazri,"Kullu Division HP.PWD, Kullu",PWD,NO.18865-72 DATED 15.03.2022,2022_PWD_58556_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"5,000",No,fixed,,EE Kullu Division,EE Kullu Division,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,1.0,DD - Demand Draft,AOC,Er. Vinay Kumar Hazri,Internal,AS PER SUMMARTY ATTACHED,Kali Dass Kashyap,01-Apr-2022 05:05 PM,02-Apr-2022 02:15 PM,techsummary_88550.pdf (232.09 KB),PWD,2022_PWD_58556_1,NO.18865-72 DATED 15.03.2022,Annual maintenance plan for the year 2022-2023 on Kullu Shilabadhani road Km. 0/0 to 15/0 SH Providing and laying Bituminous concrete in Km. 3/0 to 9/0 and C/O PCC drain Road Number HP0602VR0131004.,02-May-2022,"INR 12,289,574",60.0,Vinay Kumar Hazri,10-May-2022 02:35 PM,Awardletter-58556-AOC.pdf (321.00 KB),AWARD LETTER,Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 12:58 PM,finsummary_88550.pdf (219.09 KB),1.0,274154.0,SANDEEP KUMAR SHARMA,INR,"12,289,574",Finance,AS PER SUMMARTY ATTACHED,Kali Dass Kashyap,05-Apr-2022 12:52 PM,finance_88550.pdf,BOQ Comparative Chart,1.0,274154.0,SANDEEP KUMAR SHARMA,31-Mar-2022 11:26 AM,Accepted-AOC,BEING IST LOWEST BIDDER,10-May-2022 02:35 PM,Technical,AS PER SUMMAY ATTACHED,Kali Dass Kashyap,01-Apr-2022 04:47 PM,None,AOC
,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,2.0,FDR - Fixed Deposit,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274238.0,VARNAGCONSTRUCTIONS,31-Mar-2022 04:08 PM,Rejected-Finance,BEING 2ND LOWEST BIDDER,05-Apr-2022 12:59 PM,,,,,,AOC
,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Scanned copy of work done certificate of similar nature of work.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,"Scanned copy of authentication of ownership of machinery required for above works such as paver, Hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,.pdf,Form of bid as specified in Section-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
