Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,1. All requisite documents are required to be submitted as per Clause 12.1 and 12.2 of SBD,20-Jan-2022 10:30 AM,28-Jan-2022 12:30 PM,20-Jan-2022 10:30 AM,28-Jan-2022 10:30 AM,NA ,NA ,20-Jan-2022 10:30 AM,28-Jan-2022 10:30 AM,14-Feb-2022 11:00 AM,PWD,C/O 153.348 mtrs span (5 span of 30.00 metre each,2022_PWD_55785_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"5,000",Nil,Nil,No,1.0,ICICI BANK,C/O 153.348 mtrs span (5 span of 30.00 metre each C/C) Box girder Bridge over Sukkar Khad on Bara Khalaut Nandal Suddar Batlahu Jorghat Jorghat road at RD. 3/435,SH C/O Bridge including both side approaches and C/O 6.00 metre RCC slab culvert at RD 3/590) under Nabard RIDF-XXVII,Please refer Tender documents. ,NA ,,Civil Works - Bridges,NA ,Tender,75.0,540.0,Barsar,174305.0,NA ,NA ,NA ,EE Barsar,No ,No,Executive Engineer,Executive Engineer Barsar Division HPPWD Barsar,"12,13,000",No,fixed,,Nil,Nil,AOC,1.0,259193.0,MSC Roads and Bridges Private Limited,27-Jan-2022 11:35 PM,Rejected-Technical,Non Responsive,10-Feb-2022 01:00 PM,Technical,Attached,Vinod Kanwar,10-Feb-2022 12:57 PM,technical_83827.pdf,1.0,259177.0,SUMESH KUMAR,INR,"54,540,000",Finance,ATTACHED,Vinod Kanwar,14-Feb-2022 12:56 PM,finance_83827.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Tender Asstt, Supdt, DAO, HDM",Vinod Kanwar,10-Feb-2022 01:00 PM,14-Feb-2022 11:00 AM,techsummary_83827.pdf (1493.49 KB),PWD,2022_PWD_55785_1,C/O 153.348 mtrs span (5 span of 30.00 metre each,C/O 153.348 mtrs span (5 span of 30.00 metre each C/C) Box girder Bridge over Sukkar Khad on Bara Khalaut Nandal Suddar Batlahu Jorghat Jorghat road at RD. 3/435,05-May-2022,"INR 54,540,000",540.0,Dev Raj,05-May-2022 10:19 AM,A.O.C.pdf (566.00 KB),Attached,Executive Engineer,Internal,"Tender Assistant, Supdt, DAO, HDM",Vinod Kanwar,14-Feb-2022 01:05 PM,finsummary_83827.pdf (344.15 KB),AOC
,,.pdf,2. Submission of Original documents as per clause 12.2 (D) Form of bid Technical-Financial Part-II.,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,259094.0,M.S JAGDISH CHAND GUPTA,27-Jan-2022 08:52 PM,Rejected-Finance,L1L2L3L4,14-Feb-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,3. Similar nature of works executed (Clause 4.4 of ITB) Works in hand (Clause 4.4 of ITB) Machinerie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,258972.0,M/s National Construction co.,27-Jan-2022 05:01 PM,Rejected-Finance,L1L2L3L4,14-Feb-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,"4. Scanned copy of the certificates showing detail of similar nature of works, works in hand and",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,258793.0,OM PARKASH SHARMA AND SONS,27-Jan-2022 05:41 PM,Rejected-Finance,L1L2L3L4,14-Feb-2022 01:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,5. Affidavit regarding correctness of certificates (Clause 4.4 of ITB) Similar nature of work execut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,259177.0,SUMESH KUMAR,28-Jan-2022 01:25 AM,Accepted-AOC,L1,05-May-2022 10:19 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,6. Annual Turn over Certificates from Charted Accountant for Last Five Financial years with breakup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,7. Contractor Registration Certificate (Clause 3 of ITB) Form of bid for Technical Qualification Pa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,8. Copy of PAN Card issued vide Income Tax Authorities (Clause 4.4 of ITB) Submission of Original Do,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,9. Online Bid Security shall be furnished in the amount specified in the appendix to ITB (Clause 16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,10. Online cost of Bid Document (Clause 8.2 of ITB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
