S.No,Bank Name,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
1.0,ICICI BANK,Executive Engineer Division No-IHPPWD Shimla-3,Executive Engineer Division No-IHPPWD Shimla-3,"5,000",Nil,Nil,No,"Annual Periodical Maintenance of roads i.e. Chotta Shimla Kasumpti Panthaghatti RD 0/00 to 2/385 , Kasumpti Vikas Nagar RD. 0/00 to 0/500, BrocK Hurst Vikas Nagar Rd 0/00 to 0/510 Under Sub Division No-VIII Kasumpti Shimla-9","Providing renewal coat with 30mm thick Bitumenious concrete Surface on roads Chotta Shimla Panthaghatti Rd. 0/00 to 2/385 , Kasumpti Vikas Nagar Rd 0/00 to 0/500, BrockHurst Vikas Nagar RD 0/00 to 0/510 , Internal Coloney road Kasumpti Rd. 0/00 to 2/",As per SBD ,NA ,,Civil Works,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,Executive Engineer Division No-IHPPWD Shimla-3,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form with UTR No (as per Schedule F),"3,83,400",No,fixed,,Nil,Nil,11-Apr-2022 06:00 PM,18-Apr-2022 11:00 AM,11-Apr-2022 06:00 PM,18-Apr-2022 10:00 AM,NA ,NA ,11-Apr-2022 06:00 PM,18-Apr-2022 10:00 AM,18-Apr-2022 04:10 PM,PWD,SD-I-CTR-Tender/21-22-73 dt 2-4-2022,2022_PWD_59406_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,1.0,276987.0,lov vij govt contractor,15-Apr-2022 09:12 PM,Rejected-Finance,2nd Lowest,29-May-2022 12:25 PM,Technical,Bid opening summary,Sudhir Kumar Gupta,18-Apr-2022 03:56 PM,technical_89948.pdf,1.0,277730.0,P K Construction Shimla Pvt Ltd,INR,"20,296,896",Finance,Bid opening summary,Sudhir Kumar Gupta,29-May-2022 12:22 PM,finance_89948.pdf,BOQ Comparative Chart,PWD,2022_PWD_59406_2,SD-I-CTR-Tender/21-22-73 dt 2-4-2022,"Annual Periodical Maintenance of roads i.e. Chotta Shimla Kasumpti Panthaghatti RD 0/00 to 2/385 , Kasumpti Vikas Nagar RD. 0/00 to 0/500, BrocK Hurst Vikas Nagar Rd 0/00 to 0/510 Under Sub Division No-VIII Kasumpti Shimla-9",ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShVaibhavJindalDAO,Sudhir Kumar Gupta,18-Apr-2022 03:57 PM,18-Apr-2022 04:10 PM,techsummary_89948.pdf (520.19 KB),ErSudhirGupta,Internal,ShSureshKumarHDMShManojKumarSupdtShAnilkumarantalsrDAO,Sudhir Kumar Gupta,29-May-2022 12:25 PM,finsummary_89948.pdf (1491.78 KB),29-May-2022,"INR 19,168,161",30.0,Sudhir Kumar Gupta,29-May-2022 12:27 PM,AOC59406_2.pdf (1492.00 KB),AOC,AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD with UTR No (As per schedule F),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,277780.0,naresh vij govt contractor,17-Apr-2022 09:53 PM,Rejected-Finance,3rd Lowest,29-May-2022 12:25 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor registration (Refer General rule No.23),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,277730.0,P K Construction Shimla Pvt Ltd,16-Apr-2022 01:07 PM,Accepted-AOC,Awarded,29-May-2022 12:27 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration (Refer General rule No.18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (As per Performa given in General rule No.16 counter signed by EE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate (As per Performa given in General rule No.16 countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Report of charted Accountant showing total annual volume in last five years (Ref. gen. Rule No.26.2a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under EPF and Miscellaneous provision Act. 1952 (latest copy of Return),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Machinery tools and plants (As per schedule F with reference to clause 18),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 8 (submit the original as per schedule time and date),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
