Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Tender Stage
04-May-2022,"INR 78,497,654",547.0,Rattan Kumar Sharma,04-May-2022 11:15 AM,11.pdf (306.00 KB),AOC,Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,16-Mar-2022 04:08 PM,finsummary_85789.pdf (295.63 KB),Executive Engineer,Internal,SUPERINTENDENT G-II DAO HDM,Rattan Kumar Sharma,16-Mar-2022 03:08 PM,16-Mar-2022 03:15 PM,techsummary_85789.pdf (1754.47 KB),PWD,2022_PWD_56910_1,Sangrah 11308-58 dated 17.02.2022,Up gradation of MT on Dalyanoo Pullilani Nainidhar road km. 0/0 to 22/800. (Portion in km. 12/0 to 22/800).,Technical,Summary,Rattan Kumar Sharma,14-Mar-2022 11:41 AM,technical_85789.pdf,1.0,268937.0,Arya Construction Company,10-Mar-2022 04:31 PM,Accepted-AOC,AOC,04-May-2022 11:15 AM,1.0,268937.0,Arya Construction Company,INR,"78,497,654",Finance,SUMMARY,Rattan Kumar Sharma,16-Mar-2022 03:49 PM,finance_85789.pdf,BOQ Comparative Chart,AOC,1.0,Fee/PreQual/Technical,.pdf,Earnest money and cost of form online receipt,Up gradation of MT on Dalyanoo Pullilani Nainidhar road km. 0/0 to 22/800. (Portion in km. 12/0 to 22/800).,"SH Improvement of formation deficiencies, Retaining structure ,C/O Cross-drainage works, Road side drain, parapets, Road furniture, Paver Block, Essential edges, ,6.00 mtr span slab culverts, Box Culverts , W Metal crash barrier and Providing Met",Please refer Tender documents. ,NA ,"9,35,12,231",Civil Works,NA ,Tender,75.0,547.0,Sangrah,173023.0,NA ,NA ,NA ,"Executive Engineer, HPPWD Division Sangrah",No ,No,"5,000",Nil,Nil,No,"18,70,250",No,fixed,,Nil,Nil,PWD,Sangrah 11308-58 dated 17.02.2022,2022_PWD_56910_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,24-Feb-2022 05:00 PM,11-Mar-2022 11:00 AM,24-Feb-2022 05:30 PM,10-Mar-2022 05:00 PM,NA ,NA ,24-Feb-2022 05:30 PM,10-Mar-2022 05:00 PM,16-Mar-2022 03:15 PM,"Executive Engineer, HPPWD Division Sangrah","Executive Engineer, HPPWD Division Sangrah",1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,267833.0,Inder Singh Chauhan Construction Co.,09-Mar-2022 12:27 PM,Rejected-Technical,Not Qualified,16-Mar-2022 03:08 PM,,,,,,,,,,,,AOC,,,.pdf,Contractors registrations,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268961.0,M/S CHAUHAN CONSTRUCTION,10-Mar-2022 11:50 AM,Rejected-Finance,L2,16-Mar-2022 04:08 PM,,,,,,,,,,,,AOC,,,.pdf,Copies of original documents as per Contract Clause 4.2(a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,267913.0,Ranjeet Singh,09-Mar-2022 07:49 PM,Rejected-Technical,Not Qualified,16-Mar-2022 03:08 PM,,,,,,,,,,,,AOC,,,.pdf,Total monitor value of Civil Const. works as per clause 4.2(b),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Experience in works of similar nature as per Clause 4.2(c),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,evidence of owner ship of major items named in 4.2(d) with clause 4.4 B(b)(I) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,detail of Tech. personnel proposed to be employed for the Contract defined in clause 4.4B(b) (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,financial profit and loss statements and auditor report for five yr as per per Clause 4.2(f),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Credit and other financial resources as per Clause 4.2(g),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Authority to seek references as per Clause 4.2 (h) of ITB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Information reg. any litigation or arbitration as per Clause 4.2(I),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The proposal for sub contracting the components as per Clause 4.2(j),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The proposed programme of Construction as per 4.2 (k),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Financial turnover as per Clause 4.4A (a),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of PAN Card/GST/EPF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An affidavit that the information furnished is correct as per Clause 4.4B (a) as per format,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work done certificate as per Clause 4.4A(b)/ Existing Commitment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,The bidder must not have in his employment the near relation as per Clause 4.4B(c) (i) and (ii),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Part-II of the Bid as per Section-6 and 7 a/w item rates offered by the Employer for Routine Mainten,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Q.I. as per Section 3 (1.3.1), (1.3.2) (1.3.3) (1.3.4) (1.3.5) (1.3.6) (1.3.9)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Any other information bidder would like to provide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,Finance,.xls,Bill of quantity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
