Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
EE,Internal,HDM AE TA DOA Supdtt,Baldev Singh,24-May-2022 02:03 PM,finsummary_87972.pdf (99.37 KB),24-May-2022,"INR 4,904,006",60.0,Baldev Singh,24-May-2022 02:05 PM,award.pdf (418.00 KB),Awarded to sandan sharma,PWD,2022_PWD_58227_5,PWI/CB/Tender/2021-9918-48,Periodic Renewal of PMGSY ROADS Mohtli Sirat Chhounchar Baleer road under AMP for the year 2022-23,EE,Internal,DAO SUPDT HDM AE,Baldev Singh,01-Apr-2022 05:16 PM,01-Apr-2022 05:30 PM,techsummary_87972.pdf (227.54 KB),1.0,274044.0,Sandan Sharma Govt. Contractor,INR,"4,412,890",Finance,all are admitted,Baldev Singh,24-May-2022 02:01 PM,finance_87972.pdf,BOQ Comparative Chart,Technical,ALL ARE RESPONSIVE,Baldev Singh,01-Apr-2022 05:15 PM,technical_87972.pdf,1.0,274223.0,M/s R.K Mahajan Govt Contractor,31-Mar-2022 06:32 PM,Rejected-AOC,Rejected,24-May-2022 02:05 PM,AOC,EXECUTIVE ENGINEER,HPPWD DIVISION INDORA,Periodic Renewal of PMGSY ROADS Mohtli Sirat Chhounchar Baleer road under AMP for the year 2022-23,"Providing and laying 30 mm thick bituminous concrete in km. 1/0 to 2/0 , 2/0 to 3/0 , 3/0 to 4/0 and 4/0 to 5/0",Please refer Tender documents. ,NA ,"49,04,006",Civil Works - Roads,NA ,Tender,120.0,60.0,INDORA,176401.0,NA ,NA ,NA ,O/O. EXECUTIVE ENGINEER,No ,No,1.0,ICICI BANK,PWD,PWI/CB/Tender/2021-9918-48,2022_PWD_58227_5,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"74,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender document,"2,000",Nil,Nil,No,18-Mar-2022 09:00 AM,01-Apr-2022 10:00 AM,18-Mar-2022 09:00 AM,01-Apr-2022 09:00 AM,NA ,NA ,18-Mar-2022 09:00 AM,01-Apr-2022 09:00 AM,01-Apr-2022 05:30 PM,1.0,DATE EXTENSION,Date,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,271912.0,rajat thakur govt contractor,31-Mar-2022 01:22 PM,Rejected-AOC,Rejected,24-May-2022 02:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,274044.0,Sandan Sharma Govt. Contractor,31-Mar-2022 07:09 PM,Accepted-AOC,Awarded,24-May-2022 02:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,271180.0,V S SAINI,29-Mar-2022 05:37 PM,Rejected-AOC,Rejected,24-May-2022 02:05 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work Done certificate and work in hand certificate,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of Machineries, Tools and Plants",,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and non Gazetted officers HP.PWD. Employees related to him,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN Numbers,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid is correct in all respects,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employees provident funds certificate,,,,,,,,,,,,,,,,,,AOC
