S.No,Bank Name,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage
1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and cost of Form,Executive Engineer,Executive Engineer HP PWD DHaramshala,"1,500",Nil,Nil,No,08-Mar-2022 09:00 AM,21-Mar-2022 03:30 PM,08-Mar-2022 09:00 AM,21-Mar-2022 03:00 PM,NA ,NA ,08-Mar-2022 09:00 AM,21-Mar-2022 03:00 PM,24-Mar-2022 03:30 PM,PWD,dshala 11516-46,2022_PWD_57542_10,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"49,780",No,fixed,,Nil,Nil,Periodic Maintenance of Chetru Sheela Dari Road under AMP 2022-23 Rural Road in Distt. Kangra HP,SH - Providing and Laying 30mm thick Bituminous Concrete laying with Paver Finisher and hot thermoplastic compound 2.5mm thick Centre line in km 2/000 to 3/000,Please refer Tender documents. ,NA ,"28,15,538",Civil Works,NA ,Tender,75.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,AOC,05-May-2022,"INR 2,973,713",90.0,Sushil Kumar Dhadwal,05-May-2022 06:06 PM,10.pdf (1623.00 KB),NAVNEET THAKUR,1.0,269965.0,Navneet Thakur,INR,"2,973,713",Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,19-Apr-2022 08:37 PM,finsummary_86993.pdf (176.08 KB),PWD,2022_PWD_57542_10,dshala 11516-46,Periodic Maintenance of Chetru Sheela Dari Road under AMP 2022-23 Rural Road in Distt. Kangra HP,Finance,As per document attached,Tarlok Dhiman,24-Mar-2022 04:23 PM,finance_86993.pdf,BOQ Comparative Chart,Er S.K.Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ravi Kant Supdt. Smt. Anita Kumari JDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,24-Mar-2022 03:29 PM,24-Mar-2022 03:30 PM,techsummary_86993.pdf (694.09 KB),Technical,As per document attached,Sushil Kumar Dhadwal,22-Mar-2022 01:21 PM,technical_86993.pdf,1.0,270678.0,NAVNEET SHARMA,19-Mar-2022 06:14 PM,Rejected-Finance,L2,19-Apr-2022 08:37 PM,AOC
2.0,ICICI NEFT/RTGS,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,269965.0,Navneet Thakur,19-Mar-2022 06:10 PM,Accepted-AOC,L1,05-May-2022 06:06 PM,AOC
,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,.pdf,List of machinery including Hot Mix plant and vibrator roller with proof and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
