Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Bank Name,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date
Technical,Summary,R.K Dhiman,21-Apr-2022 04:14 PM,technical_89933.pdf,1.0,277965.0,G.P.ACHARYA,18-Apr-2022 10:11 AM,Accepted-AOC,L1,28-Nov-2023,1.0,277965.0,G.P.ACHARYA,INR,"1,296,000",Finance,Summary,R.K Dhiman,23-Apr-2022 10:52 AM,finance_89933.pdf,BOQ Comparative Chart,Executive Engineer,Internal,"Executive Engineer, HDM, Supdt G-II",R.K Dhiman,23-Apr-2022 10:55 AM,finsummary_89933.pdf (204.90 KB),18-May-2022,"INR 1,296,000",60.0,Vijay Kumar Verma,28-Nov-2023 02:53 PM,GPAcharya3.pdf (764.00 KB),Shri G.P. Acharya,PWD,2022_PWD_59426_1,AMP for Lahat to Rit Via Gungar Dib road,Annual Maintenance Plan for Lahat to Rit Via Gungar Dib road Km 1/00 to 1/510,Executive Engineer,Internal,"Executive Engineer, DA, HDM, Supdt G-II",R.K Dhiman,21-Apr-2022 04:16 PM,22-Apr-2022 11:00 AM,techsummary_89933.pdf (269.08 KB),Annual Maintenance Plan for Lahat to Rit Via Gungar Dib road Km 1/00 to 1/510,Providing and laying 30 mm thick Bituminous Concrete between Km 2/00 to 3/00 Gander to Kailan (Gander Siyara Kudana road) AMP PMGSY 2022-23,Please refer Tender documents. ,NA ,"7,72,482",Civil Works - Roads,NA ,Tender,75.0,60.0,Jaisinghpur,176095.0,NA ,NA ,NA ,Jaisinghpur,No ,No,1.0,ICICI BANK,Executive Engineer,"Executive Engineer, HPPWD Division Jaisinghpur",PWD,AMP for Lahat to Rit Via Gungar Dib road,2022_PWD_59426_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,The valid enlistment/registration of contractor in appropriate class,"15,500",No,fixed,,Nil,Nil,11-Apr-2022 05:00 PM,19-Apr-2022 11:30 AM,11-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,NA ,NA ,11-Apr-2022 05:00 PM,18-Apr-2022 05:00 PM,22-Apr-2022 11:00 AM
,,,,,2.0,278172.0,Kulvinder,18-Apr-2022 03:37 PM,Rejected-Technical,Non Responsive,21-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST/PAN/ EPF,,,,,,,,,,,,,,,
,,,,,3.0,277981.0,M/S BRS Logistics,17-Apr-2022 12:20 PM,Rejected-Technical,Non Responsive,21-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done detail/work in hand in last five year with base year indicated in performa of Schedule F i,,,,,,,,,,,,,,,
,,,,,4.0,278080.0,RAKESH SHARMA,18-Apr-2022 10:04 AM,Rejected-Finance,Rejected due to higher rates bidder L2,23-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate and one work not less than 40 percent of estimated cost in similar nature,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery along with photo copy of RC and staff,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding no near relative working in HPPWD department attested by notary / 1st class maji,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the contractor has not more than two work in hand attested by notary / 1st class maji,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with the bid (Name of work) is correct in all respect. attested,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 duly signed on judicial paper.,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cost of tender form (Indicated in schedule F),,,,,,,,,,,,,,,
