Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Corrigendum Title,Corrigendum Type,View,Cover No,Cover,Document Type,Description,S.No.1,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
29-Apr-2022,"INR 60,921,015",540.0,Suresh Kumar Walia,02-May-2022 11:15 AM,Award.pdf (996.00 KB),Award,Executive Engineer,Internal,"AE Nagrota Bagwan , Sr DAO, Supdt, HDM, TA",Suresh Kumar Walia,03-Jan-2022 03:35 PM,finsummary_81718.pdf (193.50 KB),Executive Engineer,Internal,"AE Nagrota Bagwan, Sr DAO , Supdt, HDM, TA",Suresh Kumar Walia,29-Dec-2021 03:46 PM,01-Jan-2022 03:00 PM,techsummary_81718.pdf (307.26 KB),PWD,2021_PWD_54567_1,PWD- Civil-10546-75-Tanda,"Construction of Civil Hospital (New Block) 70 Nos. Bedded Building at Nagrota Bagwan in Distt Kangra (Himachal Pradesh) (Deposit Work) (SH-Construction of Civil work includes water supply and Sanitary Installation, Rain Water harvesting system etce",1.0,251282.0,Ashwani Kumar,INR,"68,811,471",Finance,Sum,Suresh Kumar Walia,03-Jan-2022 03:33 PM,finance_81718.pdf,BOQ Comparative Chart,Technical,Sum,Suresh Kumar Walia,29-Dec-2021 03:42 PM,technical_81718.pdf,1.0,251282.0,Ashwani Kumar,21-Dec-2021 04:51 PM,Accepted-AOC,Award,02-May-2022 11:15 AM,AOC,"Construction of Civil Hospital (New Block) 70 Nos. Bedded Building at Nagrota Bagwan in Distt Kangra (Himachal Pradesh) (Deposit Work) (SH-Construction of Civil work includes water supply and Sanitary Installation, Rain Water harvesting system etce","Construction of Civil Hospital (New Block) 70 Nos. Bedded Building at Nagrota Bagwan in Distt Kangra (Himachal Pradesh) (Deposit Work) (SH-Construction of Civil work includes water supply and Sanitary Installation, Rain Water harvesting system etc",Please refer Tender documents. ,NA ,"6,09,21,015",Civil Works - Buildings,NA ,Tender,120.0,540.0,Tanda,176002.0,NA ,NA ,NA ,O/o Executive Engineer HP PWD Division Tanda,No ,No,1.0,Corrigendum,Date,,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of Tender form,1.0,ICICI BANK,"5,000",Nil,Nil,No,"5,00,000",No,fixed,,Nil,Nil,PWD,PWD- Civil-10546-75-Tanda,2021_PWD_54567_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,Executive Engineer,O/o Executive Engineer HP PWD Division Tanda,10-Dec-2021 05:00 PM,27-Dec-2021 11:30 AM,10-Dec-2021 05:00 PM,25-Dec-2021 06:00 PM,NA ,NA ,10-Dec-2021 05:00 PM,25-Dec-2021 06:00 PM,01-Jan-2022 03:00 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,252009.0,M/s Kulwinder Singh and Co.,25-Dec-2021 04:28 PM,Rejected-Finance,Lowest 3,03-Jan-2022 03:35 PM,AOC,,,,,,,,,,,,,,,,,,,2.0,Corrigendum,Other,,,,.pdf,Contractor registration,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,251116.0,M/s Surindera Traders,25-Dec-2021 05:11 PM,Rejected-Finance,Lowest 2,03-Jan-2022 03:35 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,250987.0,Ujjawal Singh,22-Dec-2021 03:22 PM,Rejected-Technical,Not Fulfill criteria,29-Dec-2021 03:46 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PAN No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with bid namely ( ) are true and correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD and no relation gazetted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Under taking that no arbitration/litigation with PWD is pending in any court of Law,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No 8 duly signed on Judicial Paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Bidding Capacity a/w Balance sheets for the last 5 year duly signed by C.A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EPF No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
