Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,Cover No,Cover,Document Type,Description,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
Er. Sushil Kumar Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,13-Sep-2021 03:28 PM,finsummary_77246.pdf (174.21 KB),08-May-2022,"INR 2,018,171",120.0,Tarlok Dhiman,08-May-2022 06:26 PM,IMG_0009.pdf (894.00 KB),NISHANT KAPOOR,PWD,2021_PWD_51674_1,Dshala 3742-71,Repair for old building of R.T.O. office at Dharamshala in Distt. Kangra HP (Deposit work),Er. Sushil Kumar Dhadwal,Internal,Members Sh. Vikramjit DAO (Gr.I) Sh. Ashok Kumar Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,08-Sep-2021 05:08 PM,08-Sep-2021 05:10 PM,techsummary_77246.pdf (866.52 KB),Technical,As,Tarlok Dhiman,03-Sep-2021 09:17 PM,technical_77246.pdf,1.0,233137.0,Mohinder Singh,01-Sep-2021 05:04 PM,Rejected-Technical,Not qulifying the tender criteria,08-Sep-2021 05:08 PM,1.0,233676.0,Nishant Kapoor,INR,"2,018,171",Finance,As per document attached,Tarlok Dhiman,08-Sep-2021 05:41 PM,finance_77246.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,Fee/PreQual/Technical,.pdf,Receipt of online payment,PWD,Dshala 3742-71,2021_PWD_51674_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,26-Aug-2021 10:00 AM,03-Sep-2021 11:00 AM,26-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,NA ,NA ,26-Aug-2021 10:00 AM,02-Sep-2021 05:00 PM,08-Sep-2021 05:10 PM,1.0,ICICI BANK,500.0,Nil,Nil,No,"34,900",No,fixed,,Nil,Nil,Repair for old building of R.T.O. office at Dharamshala in Distt. Kangra HP (Deposit work),Construction of 1 No. Hall 2nd floor and repair of building civil / Water supply and Sanitary installation work),Please refer Tender documents. ,NA ,"18,23,475",Civil Works,NA ,Tender,120.0,120.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,233676.0,Nishant Kapoor,02-Sep-2021 04:46 PM,Accepted-AOC,L1,08-May-2022 06:26 PM,,,,,,,,,,,,AOC,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,233395.0,Sanjeev Kumar,02-Sep-2021 12:08 PM,Rejected-Finance,DUE TO HIGHER RATES,13-Sep-2021 03:28 PM,,,,,,,,,,,,AOC,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,233245.0,Vinod,01-Sep-2021 05:15 PM,Rejected-Finance,DUE TO HIGHER RATES,13-Sep-2021 03:28 PM,,,,,,,,,,,,AOC,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
