S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
1.0,ICICI BANK,"82,450",No,fixed,,Nil,Nil,PWD,20051-20100 dated 25.02.2022,2022_PWD_57537_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"2,000",Nil,Nil,No,"P/M of balance work of Rathan Ropa Kapoor Basti Dattal Ghar via Jagraina road under Rural road (HP0402VR016919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick BC with paver finisher at RD 0/0 to 0/400, 1/0 to 3/400, 3/500 to 3/800 , 3/830 to 4/450","P/M of balance work of Rathan Ropa Kapoor Basti Dattal Ghar via Jagraina road under Rural road (HP0402VR016919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick BC with paver finisher at RD 0/0 to 0/400, 1/0 to 3/400, 3/500 to 3/800 , 3/830 to 4/450",Please refer Tender documents. ,NA ,,Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,Executive Engineer,Palampur Division HPPWD Palampur,07-Mar-2022 11:00 AM,19-Mar-2022 11:30 AM,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 11:00 AM,19-Mar-2022 11:00 AM,28-Mar-2022 12:00 PM,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,AOC,1.0,270724.0,M/S BRS Logistics,18-Mar-2022 03:12 PM,Rejected-Finance,Bidder is found L-2,31-Mar-2022 04:02 PM,Technical,as per uploaded document,Manoj Sood,27-Mar-2022 03:42 PM,technical_86813.pdf,Finance,as per uploaded document,Manoj Sood,31-Mar-2022 03:59 PM,finance_86813.pdf,BOQ Comparative Chart,1.0,268892.0,M/s Kamala Enterprises,INR,"6,657,891.5",Er. B.M. Thakur Executive Engineer,Internal,"TA, Supdt., HDM, DAO, AE Plamapur, AE to EE",Manoj Sood,27-Mar-2022 03:44 PM,28-Mar-2022 12:00 PM,techsummary_86813.pdf (1203.49 KB),PWD,2022_PWD_57537_1,20051-20100 dated 25.02.2022,"P/M of balance work of Rathan Ropa Kapoor Basti Dattal Ghar via Jagraina road under Rural road (HP0402VR016919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick BC with paver finisher at RD 0/0 to 0/400, 1/0 to 3/400, 3/500 to 3/800 , 3/830 to 4/450",25-Apr-2022,"INR 4,120,950",90.0,Manoj Sood,27-May-2022 11:54 AM,1554.pdf (451.00 KB),AOC,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE Palampur, AE to EE",Manoj Sood,31-Mar-2022 04:02 PM,finsummary_86813.pdf (625.64 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractor Registration,AOC,2.0,268892.0,M/s Kamala Enterprises,18-Mar-2022 09:47 PM,Accepted-AOC,L-1,27-May-2022 11:54 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
