Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
08-Mar-2022 05:00 PM,15-Mar-2022 11:00 AM,08-Mar-2022 06:00 PM,14-Mar-2022 05:00 PM,NA ,NA ,09-Mar-2022 10:00 AM,14-Mar-2022 05:00 PM,17-Mar-2022 03:40 PM,Annual maintenance of various roads under Shimla Division No-III SH- providing renewal coat of bitumen concrete under AMP 2022-23,Annual maintenance of various roads under Shimla Division No-III SH- providing renewal coat of bitumen concrete under AMP 2022-23,As per SBD ,NA ,"79,45,912",Civil Works - Roads,NA ,Tender,75.0,30.0,Shimla,171003.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,"1,58,920",No,fixed,,Nil,Nil,PWD,30782-99dt.26-02-2022,2022_PWD_57684_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",1.0,Corrigendum,Other,,"2,000",Nil,Nil,No,AOC,PWD,2022_PWD_57684_1,30782-99dt.26-02-2022,Annual maintenance of various roads under Shimla Division No-III SH- providing renewal coat of bitumen concrete under AMP 2022-23,EESHIMLADIVISIONNOIII,Internal,HarnamSinghsr.Asstt.RSThakurSupdtPadamSharmaHDM,Parveen Kumar Verma,17-Mar-2022 03:29 PM,17-Mar-2022 03:40 PM,techsummary_87075.pdf (348.17 KB),EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,21-Mar-2022 10:32 AM,finsummary_87075.pdf (268.51 KB),21-Apr-2022,"INR 7,945,912",90.0,Parveen Kumar Verma,09-May-2022 12:19 PM,AOC.pdf (399.00 KB),AOC,1.0,269206.0,lov vij govt contractor,INR,"8,317,358",Finance,Financial Evaluation Summary,Parveen Kumar Verma,21-Mar-2022 09:52 AM,finance_87075.pdf,BOQ Comparative Chart,1.0,269206.0,lov vij govt contractor,14-Mar-2022 03:04 PM,Accepted-AOC,L1,09-May-2022 12:19 PM,Technical,Bid opening summary,Parveen Kumar Verma,17-Mar-2022 03:22 PM,technical_87075.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,269161.0,naresh vij govt contractor,13-Mar-2022 07:27 PM,Rejected-Finance,Due to L3,21-Mar-2022 10:32 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268954.0,shubham construction,14-Mar-2022 07:51 AM,Rejected-Finance,Due to L2,21-Mar-2022 10:32 AM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of MachineryTools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in handcertificate as per schedule F (6.10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
