Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated on :.1,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,Tender Stage
27-Dec-2021,"INR 925,006",60.0,Rajesh Kumar,18-May-2022 03:09 PM,Award.pdf (713.00 KB),Award letter,"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head Draughtsman, Jia Lal, Draughtsman",Vijay Kumar Chauhan,29-Nov-2021 12:47 PM,finsummary_79124.pdf (397.00 KB),"Er. Vijay Kumar Chauhanm, Xen.",Internal,"L.R. Shandil, Head D/man, Kewal Ram, Supdt. Gr-II Leela Verma, Sr. Asstt.",Vijay Kumar Chauhan,23-Oct-2021 03:00 PM,06-Nov-2021 11:00 AM,techsummary_79124.pdf (791.49 KB),PWD,2021_PWD_52915_2,THD/CB-Tender/2021-6894-6908,Restoration of rain damages on Matiana Baragoan road km. 0.00 to 25.810,Technical,Bid Opening summary,Vijay Kumar Chauhan,21-Oct-2021 09:45 AM,technical_79124.pdf,1.0,240590.0,Brij Lal Bhardwaj,16-Oct-2021 12:32 PM,Rejected-Finance,Being higher rates,29-Nov-2021 12:47 PM,1.0,240574.0,MANOJ SHARMA,INR,"1,112,859",Finance,Financial Bid Opening Summary,Vijay Kumar Chauhan,09-Nov-2021 04:27 PM,finance_79124.pdf,BOQ Comparative Chart,AOC,PWD,THD/CB-Tender/2021-6894-6908,2021_PWD_52915_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt/UTR No. of EMD and cost of tender form,"18,600",No,fixed,,Nil,Nil,Restoration of rain damages on Matiana Baragoan road km. 0.00 to 25.810,Construction of Retaining wall at RD 17.315 to 17.345,As per GCC ,NA ,"9,25,006",Civil Works - Roads,NA ,Tender,60.0,60.0,Theog Tehsil Theog Distt. Shimla HP,171201.0,NA ,NA ,NA ,Theog Division,No ,No,07-Oct-2021 03:00 PM,18-Oct-2021 11:00 AM,07-Oct-2021 05:00 PM,16-Oct-2021 05:00 PM,NA ,NA ,07-Oct-2021 05:00 PM,16-Oct-2021 05:00 PM,06-Nov-2021 11:00 AM,1.0,ICICI BANK,350.0,Nil,Nil,No,Executive Engineer,"Theog Division, H.P.P.W.D., Theog Distt. Shimla, HP",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,240574.0,MANOJ SHARMA,16-Oct-2021 02:18 PM,Accepted-AOC,Being L1,18-May-2022 03:09 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor Registration Ref. general rule and direction 24.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,240491.0,Sheshav Thakur,16-Oct-2021 10:27 AM,Rejected-Finance,Being higher rates,29-Nov-2021 12:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,GST Registration Ref. general rule and direction 24.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,240625.0,Sunil Hetta,16-Oct-2021 03:15 PM,Rejected-Finance,Being Higher rates,29-Nov-2021 12:47 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Work in Hand Certificate countersigned by EE.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,"List of Machinery, Tools and plants 24.6 G.R and direction as per Schedule- F ref. clause-18 of GCC",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Form No-7/8 in G.C.C. duly signed by the bidder and witnesses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Proof of Registration under EPF and miscellaneous provision Act 1952.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Contractor shall give affidavit regarding list of both Gazette and non-gazette HPPWD Employees relat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of documents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,.pdf,All other obligatory documents required as per G.C.C.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
