S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
1.0,279669.0,Koyla Engineering Works,INR,"392,989.56",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_59723_1,184619/DB/2022-23-363-70 Dated 19.04.2022,Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA Sub-Station 22/0.4 KV Thach under Electrical Sub-Division HPSEBL Chhatri.,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,17-May-2022 02:32 PM,finsummary_90343.pdf (460.18 KB),1.0,279629.0,DEEP ELECTRICAL SERVICES,27-Apr-2022 06:27 PM,Rejected-Finance,L-4,17-May-2022 02:32 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,04-May-2022 10:55 AM,04-May-2022 11:30 AM,techsummary_90343.pdf (459.78 KB),17-May-2022,"INR 512,318",90.0,Sushil Kumar,17-May-2022 02:59 PM,Award_jobNo.09_2022_23Thach.pdf (1518.00 KB),Awarded to Koyla Engineering Works (L-1) Which found lowest,Technical,attache,Sushil Kumar,04-May-2022 10:53 AM,technical_90343.pdf,Finance,attached,Sushil Kumar,17-May-2022 02:21 PM,finance_90343.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-363-70 Dated 19.04.2022,2022_HPSEB_59723_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,"1,180",Nil,Nil,No,Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA Sub-Station 22/0.4 KV Thach under Electrical Sub-Division HPSEBL Chhatri.,Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA Sub-Station 22/0.4 KV Thach under Electrical Sub-Division HPSEBL Chhatri.,please refer tender document  ,N/A ,"5,12,318",Supply and Erection,Electrical Works ,Tender,180.0,90.0,CHHATRI,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,"12,808",No,fixed,,Nil,Nil,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog",1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,20-Apr-2022 04:50 PM,28-Apr-2022 12:00 PM,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,NA ,NA ,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,04-May-2022 11:30 AM,AOC
,,,,,,,,,,,,,,,2.0,279650.0,Gupta Agencies,28-Apr-2022 07:38 AM,Rejected-Finance,L-6,17-May-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,AOC
,,,,,,,,,,,,,,,3.0,279669.0,Koyla Engineering Works,28-Apr-2022 07:51 AM,Accepted-AOC,found lowest,17-May-2022 02:59 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,4.0,279546.0,SUNEEL THAKUR ELECTRICAL,27-Apr-2022 02:49 PM,Rejected-Finance,L-2,17-May-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,5.0,279697.0,TILAK RAJ,28-Apr-2022 09:25 AM,Rejected-Finance,L-3,17-May-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,6.0,278974.0,VINAY ENTERPRISES,27-Apr-2022 07:39 AM,Rejected-Finance,L-5,17-May-2022 02:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,AOC
