Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No.1,Corrigendum Title,Corrigendum Type,View,Name,Address,Tender Stage,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :,Document :,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.1,Financial Bid Opening Date:,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
Proposal for Landfill Mining of Boragaon Dumpsite at Guwahati as Per CPCB Guidelines for Legacy Waste Disposal 2019,Proposal for Landfill Mining of Boragaon Dumpsite at Guwahati as Per CPCB Guidelines for Legacy Waste Disposal 2019,Please refer Tender documents. ,NA ,"1,72,50,00,000",Miscellaneous Works,NA ,Tender,180.0,NA ,"PANBAZAR, GUWAHATI",781001.0,NA ,NA ,NA ,"Office of the Commissioner, GMC, Panbazar, GHY-01",No ,No,1.0,DD - Demand Draft,"30,000","The Commissioner, Guwahati Municipal Corporation",Guwahati,No,Guwahati Municipal Corporation,GER/DIV-VI/62/2020/6 DATED 25/06/2021,2021_GMC_22694_1,Yes,Open Tender,EOI,Works,2.0,No,No,Offline,No,No,No,"30,00,000",No,fixed,,"The Commissioner, Guwahati Municipal Corporation",Guwahati,1.0,Fee/PreQual/Technical,.pdf,FEES,27-Aug-2021 09:00 AM,19-Feb-2022 02:00 PM,27-Aug-2021 09:00 AM,18-Feb-2022 02:00 PM,NA ,NA ,27-Aug-2021 09:00 AM,18-Feb-2022 02:00 PM,16-May-2022 03:45 PM,1.0,DATE 6,Date,,"The Commissioner, Guwahati Municipal Corporation","Office of the Commissioner, Guwahati Municipal Corporation, Panbazar, Guwahati-01",AOC,18-May-2022,INR 1175.0,1095.0,MANOJIT BUJARBARUAH,19-May-2022 09:23 AM,AOC_172.pdf (241.00 KB),Proposal for Landfill Mining of Boragaon Dumpsite at Guwahati as Per CPCB Guidelines for Legacy Waste Disposal 2019,Guwahati Municipal Corporation,2021_GMC_22694_1,GER/DIV-VI/62/2020/6 DATED 25/06/2021,Proposal for Landfill Mining of Boragaon Dumpsite at Guwahati as Per CPCB Guidelines for Legacy Waste Disposal 2019,1,129602,AAKANKSHA ENTERPRISES,18-Feb-2022 12:34 PM,Rejected-Technical,Details in Technical Evaluation Sheet,16-May-2022 03:32 PM,Finance,The financial Bids are opened and considered for further Financial Evaluation.,MANOJIT BUJARBARUAH,16-May-2022 03:57 PM,finance_35056.pdf,BOQ Comparative Chart,1.0,122567.0,ZIGMA GLOBAL ENVIRON SOLUTIONS PRIVATE LIMITED,INR,1175.0,Additional Commissioner,Internal,"Chief Engineer, GMC, Chief Account and Audit Officer, Executive Engineer",Deepankar Kakati,16-May-2022 03:32 PM,16-May-2022 03:45 PM,techsummary_35056.pdf (3254.33 KB),Additional Commissioner,Internal,"Chief Engineer, GMC, CAAO, GMC, Executive Engineer",MANOJIT BUJARBARUAH,16-May-2022 05:23 PM,finsummary_35056.pdf (366.38 KB),Technical,Cost of Bid documents / Bid Security / Technical Bids submitted by the bidders have been considered for further Evaluation.,MANORANJAN BHARALI,19-Feb-2022 03:01 PM,technical_35056.pdf,AOC
,,,,,,,,,,,,,,,,,,2.0,BC - Bankers Cheque,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,EMD,,,,,,,,,,2.0,PREBID REPLIES,Technical Bid,,,,AOC,,,,,,,,,,,,2,129622,EASTERN ORGANIC FERTILIZER PRIVATE LIMITED,17-Feb-2022 10:50 PM,Rejected-Technical,Details in Technical Evaluation Sheet,16-May-2022 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,3.0,BG - Bank Guarantee Irrevocable,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,TECHNICAL DOCUMENTS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,3,132246,ENVIRONMENTAL TECHNO,16-Feb-2022 05:49 PM,Rejected-Technical,Details in Technical Evaluation Sheet,16-May-2022 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,4.0,FDR - Fixed Deposit Receipt,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,RFP,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,4,132995,INTELLIC SYSTEMS,17-Feb-2022 11:41 AM,Rejected-AOC,Work allotted to the lowest bidder,19-May-2022 09:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,5.0,DCR - Deposit at call receipt,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,5,133020,"National Federation of Farmers Procurement Processing and Retailing Cooperatives of India Ltd, NACOF",17-Feb-2022 04:50 PM,Rejected-Technical,Details in Technical Evaluation Sheet,16-May-2022 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,FINANCIAL PROPOSAL,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,6,132965,Origin ITFS Pvt.Ltd,18-Feb-2022 10:34 AM,Rejected-AOC,Work allotted to the lowest bidder,19-May-2022 09:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,7,124479,SAGAR MOTORS,13-Jan-2022 12:13 PM,Rejected-Technical,Details in Technical Evaluation Sheet,16-May-2022 03:32 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,8,123092,Solar Sewage Basic Infrastructure Pvt Ltd,16-Nov-2021 01:14 PM,Not Admitted-Fee/PreQual/Technical,Others-The Hard copy of the bid not received during the opening.,19-Feb-2022 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,9,129614,VERDE MONDE INFRAPROJECTS PVT. LTD.,15-Jan-2022 06:40 PM,Not Admitted-Fee/PreQual/Technical,"Others-The original hard copy of tender fees amounting to Rs. 30,000 not received during opening.",19-Feb-2022 03:01 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,10,122567,ZIGMA GLOBAL ENVIRON SOLUTIONS PRIVATE LIMITED,18-Feb-2022 07:27 AM,Accepted-AOC,Work allotted to the lowest bidder,19-May-2022 09:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
