Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Cover No,Cover,Document Type,Description,S.No,Bank Name,Tender Stage,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated on :,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
C/o link road to village Jeehan upto Shamshan Ghat km 0/0 to 2/0,SH C/o Sub grade GSB C.C. pavement in km 0/0 to 0/635,Please refer Tender documents. ,NA ,"9,99,322",Civil Works - Roads,NA ,Tender,60.0,30.0,Hamirpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,C/o link road to village Jeehan upto Shamshan Ghat,2021_PWD_50449_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,350.0,Nil,Nil,No,EE Hamirpur,Executive Engineer HPPWD Hamirpur,"20,000",No,fixed,,Nil,Nil,28-Jul-2021 09:00 AM,04-Aug-2021 11:30 AM,28-Jul-2021 09:00 AM,04-Aug-2021 10:30 AM,NA ,NA ,28-Jul-2021 09:00 AM,04-Aug-2021 10:30 AM,20-Aug-2021 03:30 PM,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,1.0,ICICI BANK,AOC,PWD,2021_PWD_50449_1,C/o link road to village Jeehan upto Shamshan Ghat,C/o link road to village Jeehan upto Shamshan Ghat km 0/0 to 2/0,EE Hamirpur,Internal,SupdtHDMSupdtABAEtoEE,Vivek Sharma,17-Aug-2021 07:09 PM,20-Aug-2021 03:30 PM,techsummary_75472.pdf (1060.64 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,30-Sep-2021 07:31 PM,finsummary_75472.pdf (708.68 KB),02-May-2022,"INR 677,868",30.0,Vivek Sharma,02-May-2022 06:18 PM,awardjeehan.pdf (318.00 KB),Award,1.0,227396.0,Mukesh,INR,"677,867.5",Finance,Attached,Vivek Sharma,30-Sep-2021 07:27 PM,finance_75472.pdf,BOQ Comparative Chart,1.0,227378.0,ankush kapil,03-Aug-2021 08:30 PM,Rejected-Finance,l2,30-Sep-2021 07:31 PM,Technical,Attached,Vivek Sharma,17-Aug-2021 06:27 PM,technical_75472.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,2.0,ICICI NEFT/RTGS,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,227396.0,Mukesh,03-Aug-2021 10:05 PM,Accepted-AOC,l1,02-May-2022 06:18 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,227368.0,RAJESH KUMAR GOVT CONT.,03-Aug-2021 06:31 PM,Rejected-Finance,l3,30-Sep-2021 07:31 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,227372.0,RAMESH CHAND GOVT. CONTRACTOR,04-Aug-2021 09:21 AM,Rejected-Finance,l4,30-Sep-2021 07:31 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST and EPF Registration latest clearance statement,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Pan No,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Detail of machinery as per SBD,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,PWD Form No 8 in SBD duly signed by the bidder and Witness with complete address,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
