Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated On :.1,Financial Bid Opening Date:,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Stage
HP SIDC Limited,2022_SIDC_59201_1,Job No. 3,Construction of Veterinary Hospital at Thanakalan Distt. Una (HP).,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,05-May-2022 12:41 PM,finsummary_89629.pdf (32.97 KB),1.0,276897.0,M/S Parminder Singh Bagga Govt Contractor,INR,"5,607,623",08-May-2022,"INR 5,607,623",240.0,Sushant Singh Negi,25-May-2022 02:45 PM,thanakalan.pdf (1594.00 KB),Award letter,1.0,278094.0,Chander Kumar,18-Apr-2022 01:18 PM,Rejected-Technical,Inappropriate contractor registration class as per tender conditions,28-Apr-2022 03:56 PM,Technical,Tender details,Sushant Singh Negi,28-Apr-2022 03:53 PM,technical_89629.pdf,SE,Internal,"DM, Manager(F), AE(HQ), EE(HQ)",Sushant Singh Negi,28-Apr-2022 03:56 PM,29-Apr-2022 11:00 AM,techsummary_89629.pdf (517.51 KB),Finance,Financial summary,Sushant Singh Negi,05-May-2022 12:35 PM,finance_89629.pdf,BOQ Comparative Chart,AOC,08-Apr-2022 11:00 AM,19-Apr-2022 11:00 AM,08-Apr-2022 11:00 AM,18-Apr-2022 05:00 PM,NA ,NA ,08-Apr-2022 11:00 AM,18-Apr-2022 05:00 PM,29-Apr-2022 11:00 AM,"73,800",No,fixed,,Nil,Nil,Executive Engineer,HPSIDC Shimla,1.0,ICICI BANK,HP SIDC Limited,Job No. 3,2022_SIDC_59201_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,Fee/PreQual/Technical,.pdf,Appropriate Contractor registration (as per tender condition),"5,100",Nil,Nil,No,Construction of Veterinary Hospital at Thanakalan Distt. Una (HP).,Construction of Veterinary Hospital at Thanakalan Distt. Una (HP).,Please refer Tender documents. ,NA ,"44,22,217",Civil Works - Buildings,NA ,Tender,120.0,240.0,Una,174307.0,NA ,NA ,NA ,HPSIDC Shimla,No ,No,AOC
,,,,,,,,,,,,,,,,,,,,,,2.0,278257.0,Gaurav Kumar,18-Apr-2022 03:47 PM,Rejected-Finance,Third lowest bidder,05-May-2022 12:41 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,.pdf,Signed copy of agreement form and approved make for materials,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,3.0,277505.0,Kapil Rana,16-Apr-2022 05:18 PM,Rejected-Finance,Second lowest bidder,05-May-2022 12:41 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information furnished with the bid documents is true and correct.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,4.0,276897.0,M/S Parminder Singh Bagga Govt Contractor,18-Apr-2022 11:23 AM,Accepted-AOC,AOC,25-May-2022 02:45 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that you have not more than 2 works in hand each of Rs.100 lakh or above in any department,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,5.0,278042.0,Sanjay Kumar,18-Apr-2022 03:00 PM,Rejected-Finance,Fourth lowest bidder,05-May-2022 12:41 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of EPF registration No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,6.0,277820.0,Shallu Malik Govt Contractor,16-Apr-2022 03:57 PM,Rejected-Finance,Fifth lowest bidder,05-May-2022 12:41 PM,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof copy of GST registration No.,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of latest ITR and pan card,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of receipt of EMD and cost of form,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of successfully completed work done certificate (as per tender conditions),,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,AOC
