S.No,Instrument Type,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.2,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On
1.0,DD - Demand Draft,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Khodri Block Poanta Sahib Distt Sirmour,As per DNIT,Please refer Tender documents. ,NA ,"32,59,656",Civil Works - Buildings,NA ,Tender,120.0,365.0,Khodri Poanta Sahib,171009.0,NA ,NA ,NA ,Shimla Kasumpti,No ,No,"1,500",Executive Engineer,Shimla,No,1.0,Fee/PreQual/Technical,.pdf,EMD and tender fee,27-Apr-2022 11:00 AM,05-May-2022 12:00 PM,27-Apr-2022 11:00 AM,04-May-2022 05:00 PM,NA ,NA ,27-Apr-2022 11:00 AM,04-May-2022 05:00 PM,09-May-2022 10:30 AM,"56,500",No,fixed,,Executive Engineer,Shimla,Executive engineer,SDA Complex Block No 27 Kasumti,Directorate Rural Development and Panchayati Ra,Khodri Poanta sahib,2022_DRDPR_59932_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Executive Engineer,Internal,Comittee,Rajesh Chandel,09-May-2022 01:03 PM,finsummary_90627.pdf (533.45 KB),1.0,280309.0,Inder Singh,INR,"2,996,171",Directorate Rural Development and Panchayati Ra,2022_DRDPR_59932_1,Khodri Poanta sahib,Construction Panchayat Community Centre Panchayat Ghar in Gram Panchayat Khodri Block Poanta Sahib Distt Sirmour,Finance,BOS,Rajesh Chandel,09-May-2022 01:01 PM,finance_90627.pdf,BOQ Comparative Chart,Technical,BOS,Rajesh Chandel,07-May-2022 10:57 AM,technical_90627.pdf,31-May-2022,"INR 3,259,656",365.0,Rajesh Chandel,24-Jun-2023 12:15 PM,2022_DRDPR_59932_1.pdf (6407.00 KB),AOC,Executive Engineer,Internal,Members,Rajesh Chandel,07-May-2022 04:07 PM,09-May-2022 10:30 AM,techsummary_90627.pdf (533.45 KB),1,280365,ajay sharma,03-May-2022 07:22 PM,Rejected-Technical,Bids Not Recived,07-May-2022
2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration EPF no and PAN no. Contractor registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,280576,anil chauhan,04-May-2022 04:04 PM,Rejected-Technical,Bids Not Recived,07-May-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,280579,Anil Kumar,04-May-2022 02:10 PM,Rejected-AOC,L2,24-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit not more than two works in hand of this department,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,280580,Balbir Singh,04-May-2022 02:14 PM,Rejected-Technical,Bids Not Recived,07-May-2022
,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,280303,DK ENTERPRISE,03-May-2022 04:25 PM,Rejected-Technical,Bids Note Recived,07-May-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,280340,Gulab Singh,04-May-2022 12:15 PM,Rejected-Technical,Bids Not Recived,07-May-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,280309,Inder Singh,03-May-2022 04:54 PM,Accepted-AOC,L1,24-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,280594,rakesh kumar,04-May-2022 02:30 PM,Rejected-AOC,L3,24-Jun-2023
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,280315,Randeep ISngh,03-May-2022 05:04 PM,Rejected-Technical,Bids Not Recived,07-May-2022
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,280381,saurabh sharma,03-May-2022 08:21 PM,Rejected-Technical,Bids Not Recived,07-May-2022
