Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.2,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
EXECUTIVE ENGINEER,EE JS Division Chauntra,"2,500",EE CHAUNTRA,CHAUNTRA/JOGINDER NAGAR,No,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP",10466-515 datd 15.11.2021,2021_HPIPH_53650_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,"2,47,900",Yes,fixed,,EE CHAUNTRA,CHAUNTRA/JOGINDER NAGAR,1.0,Fee/PreQual/Technical,.pdf,Cost of Tende form,"PLWSS to GP Tikari Mushehara, Bharyara, Chauntra and Prain Sainthal etc. in Tehsil Joginder Nagar District Mandi H.P under JJM SH Co intake , Sed. Tank, filter bed, Main storage tank sector storage tank, Laying, Jointing and testing of Rising Main ,S","PLWSS to GP Tikari Mushehara, Bharyara, Chauntra and Prain Sainthal etc. in Tehsil Joginder Nagar District Mandi H.P under JJM SH Co intake , Sed. Tank, filter bed, Main storage tank sector storage tank, Laying, Jointing and testing of Rising Main ,S",Please refer Tender documents. ,NA ,"2,15,39,638",Civil Works - Water Works,NA ,Tender,120.0,270.0,Chauntra,175032.0,NA ,NA ,NA ,JS DIVISION CHAUNTRA,No ,No,17-Nov-2021 11:45 AM,18-Dec-2021 11:30 AM,17-Nov-2021 11:45 AM,17-Dec-2021 05:00 PM,NA ,NA ,17-Nov-2021 11:45 AM,17-Dec-2021 05:00 PM,21-Jan-2022 12:45 PM,1.0,ICICI BANK,1.0,date and time,Date,,AOC,Dr. Sham Kumar Sharma CE HMR,Internal,"K.S Bhatia SE, Deepak Garg SE DMR, Rajesh kanugoo EED, Yogesh Kumar EED, Iqwal Singh AC, Vijay Kumar Bansal AED, Amar Singh Sr. Assitt.",Yogesh Kapoor,05-May-2022 04:09 PM,finsummary_80310.pdf (731.64 KB),"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP",2021_HPIPH_53650_1,10466-515 datd 15.11.2021,"PLWSS to GP Tikari Mushehara, Bharyara, Chauntra and Prain Sainthal etc. in Tehsil Joginder Nagar District Mandi H.P under JJM SH Co intake , Sed. Tank, filter bed, Main storage tank sector storage tank, Laying, Jointing and testing of Rising Main ,S",1.0,248330.0,YOG RAJ,INR,"20,707,127",05-May-2022,"INR 21,539,638",270.0,Yogesh Kapoor,05-May-2022 04:11 PM,20award.pdf (485.00 KB),Estimated cost,Technical,3 Nos Bidder out of 4 found elgible to opent the financil bid as per proceding uploaed,Yogesh Kapoor,21-Jan-2022 12:33 PM,technical_80310.pdf,Finance,Three Nos bidder BOQ and comparative chart downloaded successfully.,Yogesh Kapoor,07-Mar-2022 03:29 PM,finance_80310.pdf,BOQ Comparative Chart,1.0,245741.0,SANGRAM NAIK,28-Nov-2021 08:48 PM,Rejected-Finance,other then lowest bidder,05-May-2022 04:09 PM,Er. Sham Kumar Sharma,Internal,k.s Bhatia se D Deepak Garg SE DMR Bharam Dass EE D Yogesh Kapoor EE CTR iqwal singh AC Vijay Kumar Bansal AE D Rajesh Kumar Sr. Asistant,Yogesh Kapoor,21-Jan-2022 12:38 PM,21-Jan-2022 12:45 PM,techsummary_80310.pdf (1111.25 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest money,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,2.0,Regarding Eligiblity information,Other,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,245686.0,Sarbjit Singh Katoch,28-Nov-2021 01:28 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,21-Jan-2022 12:33 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of Registation as Per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,248207.0,SS RANA CONSTRUCTION PRIVATE LIMITED,15-Dec-2021 06:06 PM,Rejected-Finance,other then lowest bidder,05-May-2022 04:09 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Financial turn over as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,248330.0,YOG RAJ,09-Dec-2021 03:45 PM,Accepted-AOC,Lowest Bidder,05-May-2022 04:11 PM,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,DSC authorization and undertaking as PER NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"PAN, GST ,ITR and EPF as PER NIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Technical information as per NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Undetaking regarding provision of contrat labour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
