Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Tender Stage,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,S.No,Bank Name,Tender Stage
EE Dehra,Internal,DAO Dehra DHD Dehra Superintendent Dehra,Dinesh Kumar Dhiman,01-May-2022 01:30 PM,finsummary_86481.pdf (168.43 KB),05-May-2022,"INR 619,955",90.0,Dinesh Kumar Dhiman,05-May-2022 06:31 PM,Award-57293-1.pdf (742.00 KB),Award of work issued,PWD,2022_PWD_57293_1,EE Dehra letter No.11877-81 dated 23.02.2022,C/O Link road PWD store Bharoli to NH-88 via Forest Rest House Bharoli,EE Dehra,Internal,DAO Dehra Superintendent Dehra DHD Dehra,Dinesh Kumar Dhiman,24-Mar-2022 09:04 PM,25-Mar-2022 11:00 AM,techsummary_86481.pdf (379.04 KB),1.0,268016.0,Shubham Dadwal,INR,"619,955",Finance,Financial bid opening summary,Dinesh Kumar Dhiman,01-May-2022 01:12 PM,finance_86481.pdf,BOQ Comparative Chart,Technical,Bid opening summary,Dinesh Kumar Dhiman,24-Mar-2022 08:58 PM,technical_86481.pdf,1.0,268410.0,ashish chaudhry,07-Mar-2022 07:36 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:30 PM,AOC,PWD,EE Dehra letter No.11877-81 dated 23.02.2022,2022_PWD_57293_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,C/O Link road PWD store Bharoli to NH-88 via Forest Rest House Bharoli,P/L Cement concrete pavement from RD 0/0 to 0/200) OTNP,Before uploading of tender please refer to bidding document for all conditions/instructions ,NA ,"6,11,054",Civil Works,Repair of road ,Tender,75.0,90.0,Dehra,177101.0,NA ,NA ,NA ,Dehra,No ,No,03-Mar-2022 10:00 AM,10-Mar-2022 11:30 AM,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,03-Mar-2022 10:00 AM ,07-Mar-2022 05:00 PM ,03-Mar-2022 10:00 AM,09-Mar-2022 06:00 PM,25-Mar-2022 11:00 AM,350.0,Nil,Nil,No,"13,000",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of form and earnest money,Executive Engineer,HPPWD Division Dehra,1.0,ICICI BANK,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268753.0,Ashok Kumar,09-Mar-2022 02:44 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of GST Registration,,,2.0,ICICI NEFT/RTGS,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,268718.0,Deep kumar Govt. Contractor,09-Mar-2022 12:00 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of valid enlistment,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,268552.0,mukesh kumar,09-Mar-2022 12:16 PM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 8 duly signed,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,268675.0,PARMINDER SINGH RANA,09-Mar-2022 09:13 AM,Rejected-Finance,Rejected being highest bidder,01-May-2022 01:30 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding correctness of bid showing name of bid duly attested from competent authority,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,268016.0,Shubham Dadwal,09-Mar-2022 03:30 PM,Accepted-AOC,work awarded,05-May-2022 06:31 PM,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding list of near relative works as officer/officials in HPPWD duly attested,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of PAN card,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Copy of registration under EPF,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,AOC
