Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,Name,Address,S.No,Instrument Type,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Er. Sushil Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Sh. Ravi Dutt Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,09-May-2022 01:22 PM,finsummary_62893.pdf (536.67 KB),11-May-2022,"INR 1,235,733",90.0,Sushil Kumar Dhadwal,11-May-2022 11:16 AM,Kaagaz_20220511_100551786671.pdf (1614.00 KB),SHRI PARDEEP KUMAR,PWD,2020_PWD_42406_6,dshala 5282-5311,Improvement / Repair of Kangra Art Gallery at Dharamshala in Distt. Kangra HP (Deposit work),Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Supdt. Gr. II Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Tarlok Dhiman,07-Dec-2020 03:08 PM,07-Dec-2020 03:15 PM,techsummary_62893.pdf (227.10 KB),Technical,As per document attached,Tarlok Dhiman,26-Nov-2020 02:06 PM,technical_62893.pdf,1.0,188888.0,pardeep kumar,23-Nov-2020 04:49 PM,Accepted-AOC,L1,11-May-2022 11:16 AM,1.0,188888.0,pardeep kumar,INR,"1,235,733",Finance,as per document attached,Tarlok Dhiman,07-Dec-2020 04:43 PM,finance_62893.pdf,BOQ Comparative Chart,AOC,Executive Engineer,Executive Engineer HP PWD Division Dharamshala,1.0,DD - Demand Draft,350.0,EE Dharamshala,Dharamshala,No,PWD,dshala 5282-5311,2020_PWD_42406_6,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,Improvement / Repair of Kangra Art Gallery at Dharamshala in Distt. Kangra HP (Deposit work),"SH - Balance work for Repair of general Toilet Portion, Providing and Fixing UPVC windows on first floor and providing water Tank With Stand",Please refer Tender documents. ,NA ,,Civil Works,NA ,Tender,120.0,90.0,Dharamshala,176215.0,NA ,NA ,NA ,dharamshala,No ,No,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender Form (Indicated in schedule F),"17,450",No,fixed,,EE Dharamshala,Dharamshala,12-Nov-2020 02:00 PM,26-Nov-2020 11:00 AM,12-Nov-2020 02:00 PM,25-Nov-2020 05:00 PM,NA ,NA ,12-Nov-2020 02:00 PM,25-Nov-2020 05:00 PM,07-Dec-2020 03:15 PM,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,188908.0,Sunil Rana,23-Nov-2020 05:15 PM,Rejected-Finance,L2,09-May-2022 01:22 PM,,,,,,,,,,,,AOC,,,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Earnest Money duly pledged and updated (Indicated in schedule F),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Contractors registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate (General rule 19),,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"List of machinery and staff (Essential for tarring works i.e. Hot Mix plant , paver finisher with pr",,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,AOC
