S.No,Revocation Title,Revocation Description,Published Date,Document Name,Document Size(in KB),Revocated To,Type :,Summary :,Updated By :,Updated On :,Document :,S.No.1,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.2,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.3,Updated on :.1,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Tender Stage,Cover No,Cover,Document Type,Description,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,S.No,Bank Name,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage
1.0,Corrigendum,Corrigendum,15-Feb-2022 06:07 PM,GasotaF.pdf ,908.73,Technical Opening,Technical,Attached,Vivek Sharma,15-Feb-2022 06:11 PM,technical_84680.pdf,1.0,261513.0,AASHISH KUMAR,06-Feb-2022 09:43 PM,Rejected-Finance,l1,10-Mar-2022 05:24 PM,1.0,261515.0,SATISH KUMAR SHARMA,INR,"4,947,330.3",Finance,Attached,Vivek Sharma,10-Mar-2022 05:20 PM,finance_84680.pdf,BOQ Comparative Chart,05-May-2022,"INR 4,763,290",60.0,Sanjay Katoch,05-May-2022 07:07 PM,AwardG.pdf (1265.00 KB),Award,EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,10-Mar-2022 05:24 PM,finsummary_84680.pdf (728.19 KB),EE Hamirpur,Internal,SupdtHDMSrDAOAEtoEE,Vivek Sharma,15-Feb-2022 06:15 PM,17-Feb-2022 03:30 PM,techsummary_84680.pdf (922.71 KB),PWD,2022_PWD_56325_1,Gosata Mahadev Temple Distt. Hamirpur,Development and Beautification of the area in and around the Gosata Mahadev Temple Distt. Hamirpu,AOC,1.0,Fee/PreQual/Technical,.pdf,Contractor Registration,"75,600",No,fixed,,Nil,Nil,"2,000",Nil,Nil,No,01-Feb-2022 06:00 PM,07-Feb-2022 11:00 AM,01-Feb-2022 06:00 PM,07-Feb-2022 10:30 AM,NA ,NA ,01-Feb-2022 06:00 PM,07-Feb-2022 10:30 AM,17-Feb-2022 03:30 PM,1.0,ICICI BANK,EE Hamirpur,Executive Engineer HPPWD Hamirpur,Development and Beautification of the area in and around the Gosata Mahadev Temple Distt. Hamirpu,SH Providing and fixing Glass Mosaic Tiles Stainless steel railing and water jets etc,Please refer Tender documents. ,NA ,"45,38,410",Civil Works - Buildings,NA ,Tender,60.0,60.0,Hmrpur,177001.0,NA ,NA ,NA ,Hamirpur,No ,No,PWD,Gosata Mahadev Temple Distt. Hamirpur,2022_PWD_56325_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC
,,,,,,,,,,,,2.0,261549.0,BONSRA CONSTRUCTION COMPANY,07-Feb-2022 08:18 AM,Rejected-Technical,Rejected,15-Feb-2022 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand certificate counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,3.0,261388.0,Kanwar Abhishek,06-Feb-2022 08:44 PM,Rejected-Technical,Rejected,15-Feb-2022 06:15 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Work in hand/work done detail counter signed by Engineer-in-Charge as per General rules direction-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,4.0,261515.0,SATISH KUMAR SHARMA,06-Feb-2022 09:47 PM,Accepted-AOC,l1,05-May-2022 07:07 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of online receipt of EMD and Cost of Tender form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit that information furnished with the bid true and corrects,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,GST and EPF Registration latest clearance statement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,An Affidavit the contr. should not have more two works at a time each of Rs. 100 lacs in any circle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Copy of Pan No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,"Detail of machinery as per SBD with proof RC, Affidavit/lease agreement for hired Machinery.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,.pdf,Working Programme,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
