Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
500.0,Nil,Nil,No,P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 17/00 to 18/00),P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 17/00 to 18/00),Please refer Tender documents. ,NA ,"16,87,421",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,Executive Engineer,Palampur Division HPPWD Palampur,"32,900",No,fixed,,Nil,Nil,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,07-Mar-2022 10:00 AM,21-Mar-2022 11:30 AM,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,25-Mar-2022 11:00 AM,PWD,19995-85 dated 24.2.2022,2022_PWD_57353_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,AOC,Er.B.M Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,24-Mar-2022 06:48 PM,25-Mar-2022 11:00 AM,techsummary_86553.pdf (1127.11 KB),PWD,2022_PWD_57353_1,19995-85 dated 24.2.2022,P/M of Dharamshala Dadh Palamplur Holta Chadiyar Sandhol road Km 0/00 to 90/00 under (MAJOR DISTRICT ROAD) (HP 0402 MDR078) (AMP 2022-23) Phase-I (SW- P/L 30mm thick Bituminous Concrete with Paver Finisher in Km 17/00 to 18/00),05-Apr-2022,"INR 1,687,421",90.0,Manoj Sood,26-May-2022 03:22 PM,420.pdf (411.00 KB),AOC,Er.B.M Thakur,Internal,"TA, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,28-Mar-2022 08:18 PM,finsummary_86553.pdf (940.79 KB),1.0,268911.0,M/s Kamala Enterprises,INR,"2,908,125",Finance,Financial bid opening summary,Manoj Sood,28-Mar-2022 08:16 PM,finance_86553.pdf,BOQ Comparative Chart,1.0,270701.0,M/S BRS Logistics,18-Mar-2022 02:54 PM,Rejected-Finance,Bidder is found L-2,28-Mar-2022 08:18 PM,Technical,As per uploaded document,Manoj Sood,24-Mar-2022 06:46 PM,technical_86553.pdf,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,268911.0,M/s Kamala Enterprises,21-Mar-2022 08:46 AM,Accepted-AOC,L-1,26-May-2022 03:22 PM,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
