Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Name,Address,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,S.No,Bank Name,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :,Updated On :,Document :,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.3,Updated on :,Document :.3,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.4,Updated on :.1,AOC document :,AOC Description :,Tender Stage
PWD,dshala269-300,2021_PWD_47150_3,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"32,050",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Contractors registration,Executive Engineer,"Executive Engineer, HP PWD Dharamshala Division",500.0,Nil,Nil,No,1.0,ICICI BANK,"Construction of Parking near Kali Mata Mandir Kotwali Bazar G.C.D.M. road ( portion Gandhi Park to Kala Pull ) in Tehsil Dharamshala, Distt. Kangra HP","SH - Providing and Laying Soling, Concrete and Paver Block flooring at RD 13/120 to 13/270",Please refer Tender documents. ,NA ,"16,36,530",Civil Works,NA ,Tender,120.0,60.0,Dharamshala,176215.0,NA ,NA ,NA ,Dharamshala,No ,No,05-May-2021 10:00 AM,19-May-2021 11:30 AM,05-May-2021 10:00 AM,19-May-2021 11:00 AM,NA ,NA ,05-May-2021 10:00 AM,19-May-2021 11:00 AM,02-Jun-2021 05:00 PM,AOC,1.0,212173.0,atul thakur,14-May-2021 10:34 AM,Rejected-Finance,DUE TO HIGHER BIDDER,08-Jun-2021 11:23 AM,Technical,As per document attached,Sushil Kumar Dhadwal,19-May-2021 12:53 PM,technical_70848.pdf,Finance,As per document attached,Tarlok Dhiman,02-Jun-2021 05:10 PM,finance_70848.pdf,BOQ Comparative Chart,1.0,211362.0,M/s Chamunda Holo Blocks Industries,INR,"1,524,000",PWD,2021_PWD_47150_3,dshala269-300,"Construction of Parking near Kali Mata Mandir Kotwali Bazar G.C.D.M. road ( portion Gandhi Park to Kala Pull ) in Tehsil Dharamshala, Distt. Kangra HP",Er S.K.Dhadwal,Internal,Sh. Vikramjit DAO (Gr.I) Supdt. Sh. Suresh Kumar HDM Sh. Vipan Kumar TA,Sushil Kumar Dhadwal,02-Jun-2021 04:58 PM,02-Jun-2021 05:00 PM,techsummary_70848.pdf (374.48 KB),Er. S.K.Dhadwal,Internal,"Sh. Vikramjit DAO (Gr.I), Supdt., Sh. Suresh Kumar HDM Sh. Vipan Kumar TA",Tarlok Dhiman,08-Jun-2021 11:23 AM,finsummary_70848.pdf (176.06 KB),07-May-2022,"INR 1,524,000",60.0,Tarlok Dhiman,08-May-2022 06:02 PM,IMG_0004.pdf (968.00 KB),RAVINDER KUMAR,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Online receipt of fee,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,212195.0,Kapil Sharma,16-May-2021 03:27 PM,Rejected-Finance,DUE TO HIGHER BIDDER,08-Jun-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,3.0,212873.0,manish dhadwal,19-May-2021 10:25 AM,Rejected-Finance,DUE TO HIGHER BIDDER,08-Jun-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,4.0,211362.0,M/s Chamunda Holo Blocks Industries,16-May-2021 03:24 PM,Accepted-AOC,L1,08-May-2022 06:02 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Machinery and staff,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,5.0,212702.0,Nishant Kapoor,18-May-2021 09:50 PM,Rejected-Finance,DUE TO HIGHER BIDDER,08-Jun-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Form No. 7 and 8 Duly signed on judicial paper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,6.0,212524.0,Vinod Kumar,18-May-2021 09:52 PM,Rejected-Finance,DUE TO HIGHER BIDDER,08-Jun-2021 11:23 AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,List of both gazzetted or non gazzetted officers HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that information furnished with name of work is correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that the contractor has not more than two works in hand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident fund Number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
