Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.1,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated On :,Financial Bid Opening Date:,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Tender Stage,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,S.No,Instrument Type,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,S.No.1,Category,Sub Category,Sub Category Description,Format/File,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Tender Stage
Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 04:38 PM,finsummary_88736.pdf (222.24 KB),02-May-2022,"INR 3,348,986",30.0,Vinay Kumar Hazri,10-May-2022 02:26 PM,Awardletter-58674-AOC.pdf (323.00 KB),AWARD LETTER,PWD,2022_PWD_58674_1,NO.18865-72 DATED 15.03.2022,Annual maintenance plan for the year 2022-2023 on Neoli Tharman Jagot road Km. 0/0 to 8/0 SH Providing and laying Bituminous concrete in Km. 1/0 to 3/0 and C/O PCC drain Road Number HP0602VR000723202.,Er. Vinay Kumar Hazri,Internal,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,04-Apr-2022 04:46 PM,04-Apr-2022 05:00 PM,techsummary_88736.pdf (231.50 KB),Technical,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,04-Apr-2022 04:42 PM,technical_88736.pdf,1.0,274256.0,durga parasd contruction,31-Mar-2022 03:22 PM,Rejected-Finance,BEING 2ND LOWEST BIDDER,05-Apr-2022 04:38 PM,Finance,AS PER SUMMARY ATTACHED,Kali Dass Kashyap,05-Apr-2022 04:25 PM,finance_88736.pdf,BOQ Comparative Chart,1.0,274174.0,varnag banasari infra construction pvt ltd,INR,"3,348,986",AOC,26-Mar-2022 04:50 PM,02-Apr-2022 10:30 AM,26-Mar-2022 04:50 PM,01-Apr-2022 05:00 PM,NA ,NA ,26-Mar-2022 04:50 PM,01-Apr-2022 05:00 PM,04-Apr-2022 05:00 PM,"2,000",EE Kullu Division,EE Kullu Division,No,1.0,Fee/PreQual/Technical,.pdf,"Cost of Tender Documents, EMD/Bid Security.",1.0,DD - Demand Draft,PWD,NO.18865-72 DATED 15.03.2022,2022_PWD_58674_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Offline,No,No,No,"64,400",No,fixed,,EE Kullu Division,EE Kullu Division,1.0,Certificate Details ,Permanent Account Number ,Permanent Account Number Details ,,Annual maintenance plan for the year 2022-2023 on Neoli Tharman Jagot road Km. 0/0 to 8/0 SH Providing and laying Bituminous concrete in Km. 1/0 to 3/0 and C/O PCC drain Road Number HP0602VR000723202.,Annual maintenance plan for the year 2022-2023 on Neoli Tharman Jagot road Km. 0/0 to 8/0 SH Providing and laying Bituminous concrete in Km. 1/0 to 3/0 and C/O PCC drain Road Number HP0602VR000723202.,Annual maintenance plan for the year 2022-2023 on Neoli Tharman Jagot road Km. 0/0 to 8/0 SH Providing and laying Bituminous concrete in Km. 1/0 to 3/0 and C/O PCC drain Road Number HP0602VR000723202. ,NA ,,Civil Works - Roads,NA ,Tender,90.0,30.0,Kullu,175101.0,NA ,NA ,NA ,Kullu,No ,No,Er. Vinay Kumar Hazri,"EE Kullu Division HP.PWD, Kullu.",AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,274174.0,varnag banasari infra construction pvt ltd,31-Mar-2022 12:38 PM,Accepted-AOC,BEING 1ST LOWEST BIDDER,10-May-2022 02:26 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of Registration/Enlistment with H.P.P.W.D. Deptt. as per general rule No.23.,2.0,FDR - Fixed Deposit,,,,,,,,,,,,,,,,,,,,,2.0,Certificate Details ,Sales Tax/VAT ,Sales Tax/VAT ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of PAN and TIN and Income Tax clearance certificate.,,,,,,,,,,,,,,,,,,,,,,,3.0,Certificate Details ,Bidders Address Format ,Bidders Address Format Details ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of work done certificate of similar nature of work.,,,,,,,,,,,,,,,,,,,,,,,4.0,Certificate Details ,Affidavit regarding correctness of bid ,Required in tender document in bidder file 1 ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Scanned copy of GST as per general rule-21.,,,,,,,,,,,,,,,,,,,,,,,5.0,Machinery Details ,Machinery Details ,Machinery Details ,HP_Machinery.xls,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Any other information as bidder/firm may like to provide.,,,,,,,,,,,,,,,,,,,,,,,6.0,Work Details ,Work Completed Certificate Copies ,Work Completed Certificate Copies ,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Affidavit regarding information furnished is correct.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,"Scanned copy of authentication of ownership of machinery required for above works such as paver, Hot",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,.pdf,Form of bid as specified in Section-8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
