Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No,Bank Name,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Cover No,Cover,Document Type,Description,Tender Stage
Technical,as per uploaded document,Manoj Sood,28-Mar-2022 12:07 PM,technical_86547.pdf,1.0,270744.0,M/S BRS Logistics,18-Mar-2022 02:41 PM,Accepted-AOC,L1,26-May-2022 02:15 PM,1.0,270744.0,M/S BRS Logistics,INR,"1,941,244",Finance,as per uploaded document,Manoj Sood,31-Mar-2022 11:57 AM,finance_86547.pdf,BOQ Comparative Chart,"Er. B.M. Thakur, EE",Internal,"TA, Supdt, HDM, DAO, AE Gopalpur , AE to EE",Manoj Sood,31-Mar-2022 12:00 PM,finsummary_86547.pdf (685.42 KB),05-Apr-2022,"INR 1,149,056",90.0,Manoj Sood,26-May-2022 02:14 PM,350.pdf (401.00 KB),AOC,PWD,2022_PWD_57346_1,19995-85 dated 24.2.2022,Periodical Maintenance of Dadh Jhikla (Durga Mata Mandir) to Khatehar road via Harizan Basti Km 0/00 to 2/500 under (Village Roads) (HP0402VR008919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous Concrete with Paver finisher in Km 1/00 to 2,Er. B.M. Thakur,Internal,"T/A, Supdt, HDM, DAO, AE Gopalpur, AE to EE",Manoj Sood,28-Mar-2022 12:09 PM,28-Mar-2022 03:00 PM,techsummary_86547.pdf (1166.06 KB),AOC,500.0,Nil,Nil,No,PWD,19995-85 dated 24.2.2022,2022_PWD_57346_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,07-Mar-2022 10:00 AM,21-Mar-2022 11:30 AM,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,NA ,NA ,07-Mar-2022 10:00 AM,21-Mar-2022 11:00 AM,28-Mar-2022 03:00 PM,Periodical Maintenance of Dadh Jhikla (Durga Mata Mandir) to Khatehar road via Harizan Basti Km 0/00 to 2/500 under (Village Roads) (HP0402VR008919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous Concrete with Paver finisher in Km 1/00 to 2,Periodical Maintenance of Dadh Jhikla (Durga Mata Mandir) to Khatehar road via Harizan Basti Km 0/00 to 2/500 under (Village Roads) (HP0402VR008919302) (AMP 2022-23) Phase-I (SW- P/L 30 mm thick Bituminous Concrete with Paver finisher in Km 1/00 to 2,Please refer Tender documents. ,NA ,"11,49,056",Civil Works - Roads,NA ,Rate Contract,120.0,90.0,Palampur,176061.0,NA ,NA ,NA ,EE DIVISION HPPWD Palampur,No ,No,1.0,ICICI BANK,"23,000",No,fixed,,Nil,Nil,Executive Engineer,Palampur Division HPPWD Palampur,1.0,Fee/PreQual/Technical,.pdf,Copy of online receipt of EMD and Cost of tender form,AOC
,,,,,2.0,268914.0,M/s Kamala Enterprises,20-Mar-2022 08:09 AM,Rejected-Finance,Bidder is L-2,31-Mar-2022 12:00 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,Contractor Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit that the information submitted with the bid are true,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding not more than two works in hand,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit regarding near relative working in the PWD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery and Equipment as per SBD,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Form 7/8 duly signed by the Contractor,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Employee Provident Fund( EPF) registration number,AOC
