Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated On :,Financial Bid Opening Date:,Document :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :,Summary :,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.2,Updated On :.2,Document :.2,Tender Stage,S.No,Bank Name,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Stage
Ranjana Sarmah CGM CR M S,Internal,,Kaustav Barbaruah,15-Mar-2022 04:31 PM,16-Mar-2022 02:00 PM,techsummary_37174.pdf (805.66 KB),Assam Power Distribution Company Ltd||CGM - (CR - M and S),2022_APDCL_24225_1,APDCL/CGM_CRMS/CCC/2022/01,Appointment of an agency for the operation of the APDCL Customer Call Centre,1,133341,Alankit Limited,28-Feb-2022 01:10 PM,Rejected-Technical,No relevant work experience as per clause No 4.3 of Tender documents.,15-Mar-2022 04:31 PM,Finance,Price Bid Opened on 16.03.2022,Nakul Chandra Das,16-Mar-2022 05:22 PM,finance_37174.pdf,BOQ Comparative Chart,Technical,Bid is opened on 1400 hrs on 01.03.22. 11 nos. of Bidders have participated in the bid. All the 11 bidders are admitted for techno-commercial evaluation.,Kaustav Barbaruah,01-Mar-2022 03:34 PM,technical_37174.pdf,AOC,1.0,SBI Bank,Assam Power Distribution Company Ltd||CGM - (CR - M and S),APDCL/CGM_CRMS/CCC/2022/01,2022_APDCL_24225_1,Yes,Open Tender,Turn-key,Services,2.0,No,No,Online,No,No,No,1.0,Date Corrigendum,Date,,"10,00,000",Yes,fixed,,Nil,Nil,Appointment of an agency for the operation of the APDCL Customer Call Centre,Appointment of an agency for the operation of the APDCL Customer Call Centre,Please refer Tender documents. ,NA ,,Manpower Supply,NA ,Tender,180.0,730.0,Guwahati,781001.0,Guwahati ,Bijulee Bhawan Guwahati ,11-Feb-2022 02:00 PM ,Bijulee Bhawan Guwahati,No ,No,Chief General Manager CRMS,Office of the CGM CRMS APDCL Bijulee Bhawan Guwahati,1.0,Fee/PreQual/Technical,.rar,Technical and commercial documents,"7,080",Nil,Nil,Yes,05-Feb-2022 10:00 AM,01-Mar-2022 02:00 PM,05-Feb-2022 10:00 AM,28-Feb-2022 05:00 PM,05-Feb-2022 10:00 AM ,10-Feb-2022 05:00 PM ,21-Feb-2022 10:00 AM,28-Feb-2022 05:00 PM,16-Mar-2022 02:00 PM,AOC
,,,,,,,,,,,2,133649,ARADHANA AGENCY,28-Feb-2022 04:42 PM,Rejected-Technical,Price Bid is submitted along with techical bid.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,2.0,Tie Breaker,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Price Bid Schedule,,,,,,,,,,,,,,AOC
,,,,,,,,,,,3,133665,Baishnab Technologies Private Limited,28-Feb-2022 04:53 PM,Rejected-Technical,No relevant work experience as per clause No 4.3 of Tender documents.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,3.0,Corrigendum for Turnover,Technical Bid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,4,133161,CYFUTURE INDIA PVT. LTD.,24-Feb-2022 11:32 AM,Rejected-Technical,GST status found suspended during evaluation. Bank Solvency not valid. Self attested copies of tender documents were not submitted.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,5,133624,Dolphin Security and Advertising,28-Feb-2022 12:15 PM,Rejected-Technical,No relevant work experience as per clause No 4.3 of Tender documents.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,6,133211,IFFCO Kisan Sanchar Limited,28-Feb-2022 04:40 PM,Rejected-Finance,Average commission claimed is less than 25 percent as per annexure D of RFP. Financially Unresponsive.,20-Apr-2022 03:46 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,7,133462,Insight Customer Call Solutions Limited,28-Feb-2022 04:42 PM,Rejected-AOC,H2 Bidder.,30-May-2022 11:42 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,8,133652,L & K SERVICES,28-Feb-2022 04:29 PM,Rejected-Technical,Price Bid is submitted along with techical bid.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,9,133605,M/s Infotech Solution,28-Feb-2022 03:30 PM,Rejected-Technical,No relevant work experience as per clause No 4.3 of Tender documents.,15-Mar-2022 04:31 PM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,10,133429,Pecon Software Ltd,26-Feb-2022 05:43 PM,Accepted-AOC,H1 Bidder.,30-May-2022 11:42 AM,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
