Cover No,Cover,Document Type,Description,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Name,Address,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage
1.0,Fee/PreQual/Technical,.pdf,Earnest Money as mentioned in NIT,Providing sewerage system with primary treatment unit for KalaAmb Moginand area in Tehsil Nahan,"Laying, jointing and testing of sewerage network, Manholes and supporting system From RD 0 to 390 i.e. from police station to CETP",Please refer Tender documents. ,NA ,"12,58,805",Pipe Laying Works,NA ,Tender,120.0,90.0,Nahan,173001.0,NA ,NA ,NA ,Nahan,No ,No,400.0,Executive Engineer Jal Shakti Division Nahan,Nahan,No,"HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",NHN-SMROO-722- 17354-434 dt 04-03-2022,2022_HPIPH_57459_2,Yes,Open Tender,Item Rate,Works,2.0,No,No,Both(Online/Offline),No,No,No,Executive Engineer Jal Shakti Division Nahan,Executive Engineer Jal Shakti Division Nahan,1.0,ICICI BANK,04-Mar-2022 05:00 PM,11-Mar-2022 11:30 AM,04-Mar-2022 05:00 PM,11-Mar-2022 11:00 AM,NA ,NA ,04-Mar-2022 05:00 PM,11-Mar-2022 11:00 AM,15-Mar-2022 01:00 PM,"25,200",Yes,fixed,,Executive Engineer Jal Shakti Division Nahan,Nahan,AOC,ER Ashish Rana EE,Internal,TA Supdt HDM DAO EE,Ashish Rana,05-May-2022 05:11 PM,finsummary_86701.pdf (139.03 KB),1.0,269146.0,BHAW SINGH KAPOOR CONTRACTOR,INR,"1,440,713","HP Irrigation and Public Health||Nahan Circle,Irrigation and Public Health,HP||Nahan,Irrigation and Public Health,HP",2022_HPIPH_57459_2,NHN-SMROO-722- 17354-434 dt 04-03-2022,Providing sewerage system with primary treatment unit for KalaAmb Moginand area in Tehsil Nahan,Er Ashish Rana EE,Internal,TA Supdt HDm DAo EE,Ashish Rana,15-Mar-2022 12:57 PM,15-Mar-2022 01:00 PM,techsummary_86701.pdf (316.08 KB),1.0,269146.0,BHAW SINGH KAPOOR CONTRACTOR,10-Mar-2022 08:39 PM,Accepted-AOC,AOC,05-May-2022 05:14 PM,05-May-2022,"INR 1,258,805",90.0,Ashish Rana,05-May-2022 05:14 PM,AOc.pdf (680.00 KB),Award to Contractor,Finance,Financial Summary,Ashish Rana,15-Mar-2022 01:05 PM,finance_86701.pdf,BOQ Comparative Chart,Technical,Technical Summary,Ashish Rana,15-Mar-2022 12:55 PM,technical_86701.pdf,AOC
,,.pdf,Cost of Tender Form as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,2.0,269147.0,dhanveer singh,10-Mar-2022 08:02 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Mar-2022 12:55 PM,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Registration in JSV as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,3.0,268889.0,tanushree trader,09-Mar-2022 09:55 PM,Not Admitted-Fee/PreQual/Technical,Not Complied with technical specification,15-Mar-2022 12:55 PM,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,EPF Registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,4.0,268891.0,vineet kshetri,09-Mar-2022 10:20 PM,Rejected-Finance,Reject,05-May-2022 05:11 PM,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,PAN No and GST registration as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking joint venture is not allowed as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking carefully study all terms and conditions as mentioned in NIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Affidavit specifying that the benefit availed under earnest money exemption has not been exhausted s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,.pdf,Undertaking that the he will comply with the provision of contract Labour (Regulation of Abolition),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
