S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.2,Updated on :.1,Document :.1,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,BOQ Comparative Chart :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,Tender Stage,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Name,Address,S.No,Bank Name,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,EMD Amount in ₹,EMD through BG/ST or EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No.1,Corrigendum Title,Corrigendum Type,View,Tender Stage
1.0,102660.0,Shalaka Infra-Tech (I) Pvt. Ltd.,INR,158591248.0,1,102807,Agrawal Power Private Limited,02-Feb-2021 01:05 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:58 PM,15-Mar-2022,INR 354607802,730.0,Jyotirupa Sarmah,02-May-2022 01:43 PM,TEC_B_LOA.pdf (260.00 KB),Construction of new 33/11 kv substation in Tezpur Electrical Circle B on turnkey basis,"MD, APDCL",Internal,,Jyotirupa Sarmah,07-Jul-2021 05:58 PM,09-Jul-2021 12:00 PM,techsummary_30606.pdf (755.18 KB),"MD, APDCL",Internal,,Jyotirupa Sarmah,06-Aug-2021 05:05 PM,finsummary_30606.pdf (3771.32 KB),Finance,Financial Bid Opening Summary Report,Bhaskarjyoti Neog,09-Jul-2021 05:16 PM,finance_30606.pdf,BOQ Comparative Chart,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,2020_APDEA_19734_1,APDCL/DSELR/TEC B/01,Construction of new 33/11 kv substation in Tezpur Electrical Circle B on turnkey basis,Technical,Bid Opening Summary Sheet,DeepakKumar Das,05-Feb-2021 01:43 PM,technical_30606.pdf,AOC,Construction of new 33/11 kv substation in Tezpur Electrical Circle B on turnkey basis,Construction of new 33/11 kv substation in Tezpur Electrical Circle B on turnkey basis,Please refer Tender documents. ,NA ,"42,42,90,000",Electrical Works,NA ,Tender,120.0,730.0,Tezpur,784001.0,"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan ","O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan ",04-Jan-2021 11:00 AM ,"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan",No ,No,22-Dec-2020 03:00 PM,04-Feb-2021 11:00 AM,22-Dec-2020 03:00 PM,02-Feb-2021 03:00 PM,NA ,NA ,11-Jan-2021 11:00 AM,02-Feb-2021 03:00 PM,09-Jul-2021 12:00 PM,CPM(PIU),"O/O the CPM(PIU),APDCL,2nd Floor,Bijulee Bhawan",1.0,SBI Bank,1.0,Fee/PreQual/Technical,.rar,Techno-Commercial Bid,"20,000",Nil,Nil,No,"43,00,000",Yes,fixed,,Nil,Nil,Assam Power Distribution Company Limited- Externally Aided Project||Project Planning and Development- PPnD||Project Implementation Unit -AIIB,APDCL/DSELR/TEC B/01,2020_APDEA_19734_1,Yes,Open Tender,Turn-key,Works,2.0,No,No,Online,No,No,No,1.0,Extension Notice for TEC B,Date,,AOC
2.0,103066.0,Sri Gopikrishna Infrastructure Pvt Ltd,INR,196016554.0,2,104616,Jayanta Khaund,01-Feb-2021 03:45 PM,Rejected-AOC,Not L1 bidder,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,Financial Bid,,,,,,,,,,,,,,,,,,,,,,,,,2.0,EMD_CORRIGENDUM_TEC_B,Fee,,AOC
,,,,,3,103069,Lumino Industries Limited,01-Feb-2021 06:20 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Letter of Price Bid,,,,,,,,,,,,,,,,,,,,,,,,,3.0,Corrigendum Notice for TEC B,Other,,AOC
,,,,,4,102776,Mega Electricals,01-Feb-2021 06:52 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,Corrigendum Tezpur Electrical Circle B,Technical Bid,,AOC
,,,,,5,104025,NK POWER AND INFRASTRUCTURE PRIVATE LIMITED,02-Feb-2021 01:58 PM,Rejected-Technical,Techno-Commercially Non-Responsive,07-Jul-2021 05:58 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,6,102660,Shalaka Infra-Tech (I) Pvt. Ltd.,01-Feb-2021 10:16 PM,Accepted-AOC,L1 bidder for Lot II,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,7,103066,Sri Gopikrishna Infrastructure Pvt Ltd,02-Feb-2021 01:06 PM,Accepted-AOC,L1 bidder for Lot I,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,8,103194,S. T. ELECTRICALS PVT. LTD.,02-Feb-2021 12:38 PM,Rejected-AOC,Not L1 bidder,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,9,104640,Vijai Electricals Limited,02-Feb-2021 11:56 AM,Rejected-AOC,Not L1 bidder,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,10,104615,VIKRAN Engineering and Exim Pvt. Ltd.,02-Feb-2021 01:35 AM,Rejected-AOC,Not L1 bidder,02-May-2022 01:43 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
