S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.1,Updated On :,Financial Bid Opening Date:,Document :.1,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.2,Updated on :.1,AOC document :,AOC Description :,Type :,Summary :,Updated By :.3,Updated On :.1,Document :.2,Type :.1,Summary :.1,Updated By :.4,Updated On :.2,Document :.3,BOQ Comparative Chart :,Tender Stage,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Tender Stage
1.0,253544.0,competent associates,INR,"68,200,000","HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",2021_HPIPH_54921_1,EE JSD SNR Tender 2021-14384-435 dt. 22.12.2021,Providing LWSS for GO Panchayats Sojha Boi Bandli Dhanyara in Tehsil Nihri Distt Mandi HP,Dr. Dharmendra Gill CE,Internal,Desh Bandhu Sharma AC Shweta Singh AE Design Er. Rajat Kumar EE Design Er. Anil Verma EE SNR Er. B.S. Thakur SE Design Er. Upender Vaidya SE SNR,Anil Verma,25-May-2022 02:55 PM,finsummary_82359.pdf (1046.31 KB),1.0,253544.0,competent associates,03-Jan-2022 01:36 PM,Accepted-AOC,Work awarded to lowest bidder,25-May-2022 02:57 PM,Dr. Dharmendra Gill,Internal,"Er. Upender Vaidya SE SNR, Er. B.S. Thakur SE Design, Er. Parveen Gupta EE Design, Er. Anil Verma EE SNR Er. Sweta Singh AE Design, Sh. Desh Bandhu Sharma AC, Sh. Surjeet Singh Planning officer",Anil Verma,28-Feb-2022 11:41 AM,28-Feb-2022 12:00 PM,techsummary_82359.pdf (1046.31 KB),25-May-2022,"INR 46,066,221",365.0,Anil Verma,25-May-2022 02:57 PM,AwardLetter.pdf (652.00 KB),Work awarded to lowest bidder,Technical,Two bidders found eligible out of two bidders,Anil Verma,28-Feb-2022 11:36 AM,technical_82359.pdf,Finance,Two BOQ and BOQ comparative Chart has been successfully generated and downloaded,Anil Verma,25-May-2022 02:50 PM,finance_82359.pdf,BOQ Comparative Chart,AOC,1.0,ICICI BANK,22-Dec-2021 05:00 PM,04-Jan-2022 11:00 AM,22-Dec-2021 05:00 PM,03-Jan-2022 05:00 PM,NA ,NA ,22-Dec-2021 05:00 PM,03-Jan-2022 05:00 PM,28-Feb-2022 12:00 PM,Providing LWSS for GO Panchayats Sojha Boi Bandli Dhanyara in Tehsil Nihri Distt Mandi HP,CO Civil works PL Rising mains Pumping machinery Gravity mains and Distribution System,Please refer Tender documents. ,NA ,"4,60,66,221",Civil Works - Water Works,NA ,Tender,120.0,365.0,Sundernagar,175002.0,NA ,NA ,NA ,Sundernagar,No ,No,Executive Engineer Jal Shakti Division Sundernagar,Executive Engineer Jal Shakti Division Sundernagar,"HP Irrigation and Public Health||S Nagar Circle,Irrigation and Public Health,HP||S.nagar,Irrigation and Public Health,HP",EE JSD SNR Tender 2021-14384-435 dt. 22.12.2021,2021_HPIPH_54921_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,"4,93,200",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Scan copy proof of Cost of Tender form as per NIT,"2,500",Nil,Nil,No,AOC
,,,,,,,,,,,,,,,2.0,253638.0,Tek Singh Raghav,03-Jan-2022 04:42 PM,Rejected-Finance,Other than lowest,25-May-2022 02:55 PM,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy proof of EMD as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of contractor registration as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of affidavit that I have studied all terms and condition as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of PAN GST Registration and EPF registration as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of authorization certificate of DSC as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of annual financial turn over during last 3 years ending 3/2021 as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of experience of similar work completed last 7 years as per NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Joint Venture is not allowed as NIT,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Scan copy of Make/ model of pumping machinery alongwith characteristic curves as per NIT,,,,,AOC
