S.No,Bank Name,Name,Address,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Cover No,Cover,Document Type,Description,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,Tender Stage,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :,Updated on :,Document :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Type :,Summary :,Updated By :.1,Updated On :,Document :.1,Type :.1,Summary :.1,Updated By :.2,Updated On :.1,Document :.2,BOQ Comparative Chart :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,Tender Stage
1.0,ICICI BANK,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog","Office of Sr. Executive Engineer,ED Karsog","13,223",No,fixed,,Nil,Nil,1.0,Fee/PreQual/Technical,.pdf,Cost of Tender form,"1,180",Nil,Nil,No,"Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA 22/0.4 kV Karganu 1st , 25 kVA Karganu 2nd under Electrical Sub-Division HPSEBL Chhatri.","Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA 22/0.4 kV Karganu 1st , 25 kVA Karganu 2nd under Electrical Sub-Division HPSEBL Chhatri.",please refer tender document  ,N/A ,"5,28,918",Supply and Erection,Electrical Works ,Tender,180.0,90.0,CHHATRI,175047.0,NA ,NA ,NA ,"Office of Sr. Executive Engineer,ED Karsog",No ,No,20-Apr-2022 04:50 PM,28-Apr-2022 12:00 PM,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,NA ,NA ,21-Apr-2022 11:00 AM,28-Apr-2022 10:30 AM,04-May-2022 11:30 AM,HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,184619/DB/2022-23-363-70 Dated 19.04.2022,2022_HPSEB_59726_1,Yes,Open Tender,Item Rate,Services,2.0,No,No,Online,No,No,No,AOC,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,17-May-2022 02:37 PM,finsummary_90349.pdf (440.53 KB),1.0,279665.0,Koyla Engineering Works,INR,"398,442.34",HPSEBL||CE(OP) CZ Mandi||SE(OP) Bilaspur||Sr. Xen (E) Karsog,2022_HPSEB_59726_1,184619/DB/2022-23-363-70 Dated 19.04.2022,"Tender for replacement of 40 Nos rotten wooden poles from existing 63 kVA 22/0.4 kV Karganu 1st , 25 kVA Karganu 2nd under Electrical Sub-Division HPSEBL Chhatri.",Technical,attached,Sushil Kumar,04-May-2022 10:44 AM,technical_90349.pdf,Finance,attached,Sushil Kumar,17-May-2022 02:22 PM,finance_90349.pdf,BOQ Comparative Chart,17-May-2022,"INR 528,918",90.0,Sushil Kumar,17-May-2022 03:03 PM,Award_jobNo_10_2022_23karganu.pdf (1577.00 KB),Awarded to Koyla Engineering Works (L-1) Which found lowest,1.0,279608.0,DEEP ELECTRICAL SERVICES,27-Apr-2022 06:01 PM,Rejected-Finance,L-5,17-May-2022 02:37 PM,"Er. Sushil Kumar, Sr. Executive Engineer,ED Karsog",Internal,attached,Sushil Kumar,04-May-2022 10:46 AM,04-May-2022 11:30 AM,techsummary_90349.pdf (474.79 KB),AOC
2.0,ICICI NEFT/RTGS,,,,,,,,,,,.pdf,EMD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,279648.0,Gupta Agencies,28-Apr-2022 07:48 AM,Rejected-Finance,L-8,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,A Class Electrical License from competent authority as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,279665.0,Koyla Engineering Works,28-Apr-2022 08:15 AM,Accepted-AOC,found lowest,17-May-2022 03:03 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Certificate of turnover from CA as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,279671.0,NEW INDIA ELECTRICALS CO,27-Apr-2022 08:59 PM,Rejected-Finance,L-6,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Work experience/ work done certificate as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,279548.0,sanjeev kumar,27-Apr-2022 02:57 PM,Rejected-Finance,L-2,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Affidavit of non blacklisting as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,279552.0,SUNEEL THAKUR ELECTRICAL,28-Apr-2022 09:35 AM,Rejected-Finance,L-3,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Undertaking of no litigation in Govt./ Semi Govt. institution as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,279698.0,TILAK RAJ,28-Apr-2022 09:38 AM,Rejected-Finance,L-4,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,"Registration of PAN , GST, EPF and insurance policies for work man as per bid document",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.0,278936.0,VINAY ENTERPRISES,27-Apr-2022 07:18 AM,Rejected-Finance,L-7,17-May-2022 02:37 PM,,,,,,,,AOC
,,,,,,,,,,,,.pdf,Cancelled Check as per bid document,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,2.0,Finance,.xls,BOQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
