Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding,S.No,Bank Name,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Cover No,Cover,Document Type,Description,Tender Stage,Type :,Summary :,Updated By :,Updated On :,Document :,BOQ Comparative Chart :,S.No,Bid Number,Bidder Name,Awarded Currency,Awarded Value,S.No.1,Bid Number.1,Bidder Name.1,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated On :.2,Financial Bid Opening Date:,Document :.2,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :,AOC document :,AOC Description :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated on :.1,Document :.3,Tender Stage
Construction of parking below Metropole adjoining the road leading to HP High Court under Smart City project).,Construction of parking below Metropole adjoining the road leading to HP High Court under Smart City project).,As per SBD ,NA ,"81,13,314",Civil Works - Buildings,NA ,Tender,75.0,210.0,Metropole Shimla,171002.0,NA ,NA ,NA ,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",No ,No,"1,63,000",No,fixed,,Nil,Nil,"E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3","E. E. SHIMLA DIVISION NO. III, HPPWD, Shimla-3",PWD,SD-III-39068-39085 dt. 24-03-2022,2022_PWD_58624_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No,1.0,ICICI BANK,25-Mar-2022 06:00 PM,31-Mar-2022 02:00 PM,25-Mar-2022 06:00 PM,31-Mar-2022 01:00 PM,NA ,NA ,25-Mar-2022 06:30 PM,31-Mar-2022 01:00 PM,01-Apr-2022 06:10 PM,"2,000",Nil,Nil,No,1.0,Fee/PreQual/Technical,.pdf,Cost of tender document as per schedule F (6.3) Earnest Money as per schedule F (6.5) on line mode o,AOC,Finance,Finance,Parveen Kumar Verma,02-Apr-2022 12:01 PM,finance_88649.pdf,BOQ Comparative Chart,1.0,273650.0,Rajinder Sharma,INR,"7,473,935",1.0,273982.0,Devi Prakash Sharma,31-Mar-2022 10:53 AM,Rejected-Finance,Due to L2,02-Apr-2022 01:30 PM,Technical,Bid opening summary,Parveen Kumar Verma,01-Apr-2022 06:00 PM,technical_88649.pdf,EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,01-Apr-2022 06:05 PM,01-Apr-2022 06:10 PM,techsummary_88649.pdf (382.03 KB),PWD,2022_PWD_58624_1,SD-III-39068-39085 dt. 24-03-2022,Construction of parking below Metropole adjoining the road leading to HP High Court under Smart City project).,22-Apr-2022,"INR 8,113,314",210.0,Parveen Kumar Verma,09-May-2022 12:11 PM,AOC.pdf (371.00 KB),AOC,EESHIMLADIVISIONNOIII,Internal,ShHarnamSinghSrAssistantDivisionNoIIIShRSThakurSupdttDivisionNoIIIShPadamSharmaDHDDivisionNoIII,Parveen Kumar Verma,02-Apr-2022 01:30 PM,finsummary_88649.pdf (269.14 KB),AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,,,,,,,,,,,,,,.pdf,Contractor registration as per general Rule 23 and as per invitation of bid.,AOC,,,,,,,,,,,,2.0,273650.0,Rajinder Sharma,29-Mar-2022 01:20 PM,Accepted-AOC,L1,09-May-2022 12:11 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST registration as per General Rule No 21. Copy of GST No./ Copy of Tin No. and Copy of PAN Card.,AOC,,,,,,,,,,,,3.0,273727.0,Ramesh Chand Rana,29-Mar-2022 02:25 PM,Rejected-Technical,reject,01-Apr-2022 06:05 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of registration under Employees Provident Funds and Miscellaneous Provision Act. 1952.,AOC,,,,,,,,,,,,4.0,274153.0,Sandeep Chandel,31-Mar-2022 11:22 AM,Rejected-Finance,Due to L2,02-Apr-2022 01:30 PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,HP.PWD Form No-8 with full address and Mobile No.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit of Gazetted and non-Gazetted HPPWD employees related to him (General Rule No 16).,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,"Affidavit of no relative working in PWD, Information furnished in the bid is correct in all respect.",AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Proof of Machinery Tools plant and ownership as per sr. No. 6.19 of schedule F Clause 18.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Minimum Turnover for last Five years as given by CA.,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work done certificate as per schedule F (6.9) and Work in hand certificate as per schedule F (6.10),AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Mobile Number and Full Address,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,Finance,.xls,BOQ,AOC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AOC
