Type :,Summary :,Updated By :,Updated On :,Document :,S.No,Bid Number,Bidder Name,Submitted Date,Status,Remarks,Status Updated On,Type :.1,Summary :.1,Updated By :.1,Updated On :.1,Document :.1,BOQ Comparative Chart :,S.No.1,Bid Number.1,Bidder Name.1,Awarded Currency,Awarded Value,Committee Chairperson/Co-ordinator Name :,Committee Chairperson/Co-ordinator Type :,Committee Members :,Updated By :.2,Updated on :,Document :.2,Contract Date :,Contract Value :,Work Completion Period in days :,Updated By :.3,Updated on :.1,AOC document :,AOC Description :,Organisation Chain :,Tender ID :,Tender Ref No :,Tender Title :,Committee Chairperson/Co-ordinator Name :.1,Committee Chairperson/Co-ordinator Type :.1,Committee Members :.1,Updated By :.4,Updated On :.2,Financial Bid Opening Date:,Document :.3,EMD Amount in ₹,EMD Exemption Allowed,EMD Fee Type,EMD Percentage,EMD Payable To,EMD Payable At,Name,Address,Title,Work Description,Pre Qualification Details,Independent External Monitor/Remarks,Tender Value in ₹,Product Category,Sub category,Contract Type,Bid Validity(Days),Period Of Work(Days),Location,Pincode,Pre Bid Meeting Place,Pre Bid Meeting Address,Pre Bid Meeting Date,Bid Opening Place,Should Allow NDA Tender,Allow Preferential Bidder,S.No.2,Corrigendum Title,Corrigendum Type,View,S.No.1.1,Bank Name,Cover No,Cover,Document Type,Description,Publish Date,Bid Opening Date,Document Download / Sale Start Date,Document Download / Sale End Date,Clarification Start Date,Clarification End Date,Bid Submission Start Date,Bid Submission End Date,Financial Bid Opening Date,Tender Fee in ₹,Fee Payable To,Fee Payable At,Tender Fee Exemption Allowed,Organisation Chain,Tender Reference Number,Tender ID,Withdrawal Allowed,Tender Type,Form of contract,Tender Category,No. of Covers,General Technical Evaluation Allowed,ItemWise Technical Evaluation Allowed,Payment Mode,Is Multi Currency Allowed For BOQ,Is Multi Currency Allowed For Fee,Allow Two Stage Bidding
Technical,Tech bid opened,SHASHI PAL,07-Apr-2022 05:23 PM,technical_87774.pdf,1.0,274850.0,Davinder kumar,03-Apr-2022 07:32 PM,Rejected-Finance,Not L-1,12-Apr-2022,Finance,Fin bid opened,SHASHI PAL,12-Apr-2022 03:25 PM,finance_87774.pdf,BOQ Comparative Chart,1.0,273402.0,RAFEEK MOHAMMAD,INR,"1,228,134",Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,12-Apr-2022 03:29 PM,finsummary_87774.pdf (561.49 KB),04-May-2022,"INR 1,228,134",60.0,Dev Raj,06-Apr-2023 01:30 PM,2.pdf (1227.00 KB),Award,PWD,2022_PWD_58133_1,No.BGN/2020-21-15331-60 dated 10.03.2022Job13,Periodical Maintenance on Charara Arloo via Bagi road ( VR Code-HP1201VR010051103),Er.S.P.Dhiman EE,Internal,Supdt. HDM DAO,SHASHI PAL,07-Apr-2022 05:25 PM,08-Apr-2022 10:30 AM,techsummary_87774.pdf (579.19 KB),"18,400",Yes,fixed,,Nil,Nil,Executive Engineer HPPWD Division Bangana,Executive Engineer HPPWD Division Bangana,Periodical Maintenance on Charara Arloo via Bagi road ( VR Code-HP1201VR010051103),P/L 30mm thick Bituminious Concrete including profile correction in Km 2/000 to 3/000,Please refer Tender documents. ,NA ,"9,19,082",Civil Works - Roads,NA ,Tender,120.0,60.0,Bangana Division,174307.0,NA ,NA ,NA ,Executive Engineer HPPWD Division Bangana,No ,No,1.0,Corrigendum,Date,,1.0,ICICI BANK,1.0,Fee/PreQual/Technical,.pdf,Earnest Money (Online mode),17-Mar-2022 11:00 AM,05-Apr-2022 06:00 PM,17-Mar-2022 11:30 AM,04-Apr-2022 06:00 PM,NA ,NA ,17-Mar-2022 11:30 AM,04-Apr-2022 06:00 PM,08-Apr-2022 10:30 AM,350.0,Nil,Nil,No,PWD,No.BGN/2020-21-15331-60 dated 10.03.2022Job13,2022_PWD_58133_1,Yes,Open Tender,Item Rate,Works,2.0,No,No,Online,No,No,No
,,,,,2.0,273402.0,RAFEEK MOHAMMAD,04-Apr-2022 02:28 PM,Accepted-AOC,L1,06-Apr-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,ICICI NEFT/RTGS,,,.pdf,Contractor Registration,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.0,274984.0,Rajinder Kumar,04-Apr-2022 01:51 PM,Rejected-Finance,Not L-1,12-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,GST Registration and latest assessment and PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,4.0,274811.0,Shiv Kumar Govt Contractor,04-Apr-2022 03:14 PM,Rejected-Finance,Not L-1,12-Apr-2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Similar nature Work Done Certificate on prescribed format without Liquidated Damage or compensation,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Work in hand certificate on prescribed format given in bidding document duly countersigned by the EE,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of machinery tool and plant with proof of ownership or legal tie-up,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,List of Both Gazetted and Non Gazetted officer HPPWD employees related to him,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,An affidavit that information furnished with the bid (Name of work) is correct in all respect,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,Affidavit Reg. no pending litigation with the Department,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,.pdf,E.P.F. No. and copy of latest return file,,,,,,,,,,,,,,,,,,,,,,,,,,,
